artificial	natural
atonal	tonal
cardinal	ordinal
contralateral	ipsilateral
dorsal	ventral
equatorial	polar
extramural	intramural
extraterritorial	territorial
filial	parental/parental
formal	informal/informal
horizontal	vertical
inferior	superior
informal	formal/formal
instrumental	vocal
intramural	extramural
ipsilateral	contralateral
irregular	regular/regular
legato	staccato
maternal	paternal
multidimensional	unidimensional
natural	artificial
off-line	on-line
on-line	off-line
ordinal	cardinal
parental	filial/filial
paternal	maternal
polar	equatorial
regular	irregular/irregular
staccato	legato
superior	inferior
territorial	extraterritorial
tonal	atonal
unidimensional	multidimensional
ventral	dorsal
vertical	horizontal
vocal	instrumental

