absorbency	hidrófilo/absorvente
acessibilidade	acessível/disponível/indisponível/inacessível/inacessível
acurácia	acurado/exacto/exato/preciso/justo
adequação	inadequado/adequado/capaz/escasso
admissibilidade	admissível/inadmissível/lícito/aceitável
alegria	feliz/feliz/contente/contente/infeliz/infeliz/triste/triste
alfabetismo	iletrado/analfabeto
alfabetização	iletrado/analfabeto
alma	vívido
alteridade	outro
altitude	deprimido/alto
altivez	certo/incerto/inseguro
altura	deprimido/alto/alto/baixo
amabilidade	amável/benigno
ambição	ambicioso
amizade	amistoso/amigável/amigo
anchura	estreita/estreito/largo/amplo
animação	vivo/vivo/semvida/semvida/morto/morto
aprumo	certo/incerto/inseguro
ascendência	maior
aspiração	ambicioso
asseio	sujado/suja/limpo/sujo
atitude	vertical
atividade	ativo/agencioso/inativo/ativo
audibilidade	audível/inaudível
audácia	arrojado/audacioso/audaz/corajoso/bravo/destemido
beleza	feia/feio/belo/formoso/lindo/bonito
belo	feia/feio/formoso/lindo/bonito
bem-estar	doentio/adoentado/insalubre/salubre/doente/são/saudável
benevolência	benigno
bondade	boa!/boa/bom
calibre	superior/inferior
calor	caloroso/forgoso/fresco/quente/frio/frio
capacidade	capaz/capaz/incapaz/incapaz/capaz
castidade	casta/casto
certeza	certo/certo/incerto/incerto/incerto/inseguro/inseguro
chance	impossível/possível
cheiro	inodoro
civilidade	educado/polido/cortês/grosseiro
ciência	científica/científico
classe	dominante/subordinada/subordinado
cobardia	cobarde/covardemente/covarde
colocação	adventício/externo/interno/interno/posterior/rabo/traseiro
comercialismo	comercial
complexidade	complexo/intrincado/singelo/simples
comércio	comercial
condição	dominante/subordinada/subordinado
confiança	confiante/tímido/inseguro
conforto	confortável/incómodo/desconfortável/incômodo
conhecimento	ciente/informado
consciência	ciente/informado
consistência	espesso/rala
consternação	receoso/alarmante/inquietante/destemido
continuidade	contínuo
contorno	escuso/torto/reto
conveniência	conveniente/incoveniente
convenção	corriqueiro/convencional
cor	colorido/colorido
coragem	afoito/brava/valoroso/arrojado/valente/corajoso/bravo
correcção	correto/certo/justo/incorreto/errado
corretude	correto/certo/justo/incorreto/errado
correção	acurado/exacto/exato/preciso/justo
corrupção	corrupto
cortesia	gentil/impolido/indelicado/descortês/cortês
covardia	cobarde/covardemente/covarde
credibilidade	inacreditável/incrível/acreditável/crível
criatividade	criador/criador/criativo/criativo/original/original
crise	crítico
cronometragem	precoce/temporão/atual/cedo/presente/passado/mediano/tardio/futuro
curso	extrovertido
denodo	afoito/brava/valoroso/arrojado/valente/corajoso/bravo
desembaraço	certo/incerto/inseguro
diferença	diferente
dificuldade	intrincado/árduo/difícil
dimensão	grande/pequeno
disponibilidade	acessível/disponível/indisponível/inacessível/inacessível
disposição	relutante
distinção	outro
distância	longe/longe/vizinho/vizinho/longínquo/longínquo/perto/perto/distante/distante/distante/distante/próximo/próximo/próximo/próximo
diversidade	vário
domesticação	manso
duração	curto
efetividade	efetivo/eficaz/eficiente/inútil/vão
eficiência	efetivo/eficaz/eficiente/inútil/vão
eficácia	efetivo/eficaz/eficiente/potente/ineficaz/impotente/eficaz/eficaz/eficiente/eficiente/inútil/vão
equanimidade	injusto
eqüidade	injusto
espessura	espesso/grosso/fino
estado	dominante/subordinada/subordinado
estatura	alto/baixo
estupefação	alarmante/inquietante
exactidão	acurado/exacto/exato/preciso/justo
exatidão	acurado/exacto/exato/preciso/justo
excitamento	emocionante/excitante
excitação	emocionante/excitante
existência	existente/existente
extinção	apagado/liquidado/revogado/extincto/extinto
facilidade	fácil
fama	respeitável
familiaridade	familiar/desconhecido/estranho
felicidade	feliz/feliz/contente/contente/infeliz/infeliz/triste/triste
fertilidade	improdutivo/improdutivo/infértil/infértil/estéril/estéril/fecundo/fecundo/fértil/fértil
fidelidade	infiel
formalidade	formal/informal/ceremonioso/formal/informal
força	débil/delicado/potente/ineficaz/impotente/forte
frescura	fresco/recente
fundura	desinteressante/raso/profundo/fundo/profunda/superficial
função	funcional
fé	certo/incerto/inseguro
generalidade	geral/específico
generosidade	tacanho/ávaro/ávido/liberal
grandeza	mensurável
grau	suave/intensivo/intenso/alto/baixa/baixo
gritaria	berrante/estrepitante/alta/suave/alto
grossura	espesso/espesso/grosso/rala/fino
gula	comilão/guloso
gênero	sexual/assexual/varão/macho
habilidade	capaz/incapaz/incapaz/capaz/capaz
honestidade	honroso/honrado/correto/correto/justo/justo/corrupto/corrupto/desonesto/desonesto/desonroso/imoral
honra	respeitável
humanidade	desumano/inumano/humanitário/humano/humano
humidade	molhado/seco
idade	maturo/maduro/velho/novo/nao-maduro/imaturo/jovem/velho/antigo
ideologia	conservador/liberal
igualdade	parelho/igual/análogo/idêntico
imediatez	imediato
imediação	imediato
importância	importante
independência	dependente/independente
individualidade	individual
individualismo	individual
integralidade	totalizado/integral/completo/incompleto
integridade	partido/quebrado/integral/inteiro/fracionário/parcial
inteireza	totalizado/integral/completo/incompleto
inteligência	intelectual/lerdo/inteligente/estúpido
invariabilidade	plano/desnivelado/despadronizado/desuniforme
ironia	sarcástico
justiça	injusto
largura	estreita/estreito/largo/amplo
lealdade	leal/fiel/infiel
legalidade	legal/ilegal/lícito/ilegal
levante	oriental
liberdade	livre/dependente/independente
limpeza	sujado/suja/limpo/sujo
local	esquerdo/direita/direito
localização	adventício/externo/interno/interno/posterior/rabo/traseiro
lucidez	confuso
lugar	esquerdo/direita/direito
luminosidade	iluminado/escuro/vivído/maçante/radiante/luminoso/brilhante/claro
lógica	lógico
magnetismo	atrativo/atrativo/magnético/magnético
magnitude	grande/pequeno/mensurável/importante
maioria	maior
maioridade	maior
mal	maléfico/mau/malvado/ruim
maldade	maléfico/mau/malvado/ruim
matiz	acromático/cromático
maturidade	maturo/maduro/imaturo
medida	grande/padrão/pequeno
medo	receoso/alarmante/inquietante/destemido
mercantilismo	comercial
moderação	moderado
modernidade	moderno/contemporâneo
modéstia	modesto
momento	precoce/temporão/atual/cedo/presente/passado/mediano/tardio/futuro
moral	puro/imoral
moralidade	moral/puro/imoral
movimento	movente/imóvel
mutabilidade	inalterável/mutável/imutável/variável
nascente	oriental
naturalidade	antinatural/afetado/natural
natureza	lhano/afável/amável/gentil
necessidade	necessário/essencial/desnecessária/desnecessário
nobreza	nobre
normalidade	anormal/normal
norte	boreal/boreal/nortista/setentrional/setentrional/setentrional/nórdico
nuança	acromático/cromático
número	mensurável
obediência	obediente/desobediente
odor	inodoro
opacidade	opaco
orientação	horizontal/vertical/perpendicular/inclinado
oriente	oriental/oriental
originalidade	original
ortodoxia	ortodoxo
ousadia	arrojado/audacioso/audaz/corajoso/bravo/destemido
perfeição	aprimorado/perfeito/imperfeito
permanência	permanente/temporário/duradouro
persistência	contínuo
personalidade	individual
peso	magro/esbelto/leve/gordo/pesado
plenitude	abrangente/detalhado/pleno/totalizado/exaustivo/cheio/lotado/extenso/integral/completo/amplo/vazio/incompleto
poder	poderoso/impotente/capaz
polidez	gentil/impolido/indelicado
popularidade	popular
pose	certo/incerto/inseguro
posição	adventício/dominante/externo/interno/interno/esquerdo/subordinada/subordinado/direita/vertical/posterior/direito/rabo/traseiro
possibilidade	impossível/possível
postura	vertical
potencia	potente/ineficaz/impotente
potenciabilidade	possível/potencial
potencial	possível
potencialidade	capaz/incapaz
potência	potente/ineficaz/impotente
precisão	acurado/exacto/exato/preciso/justo
preparação	prestes/disposto/pronto/preparado
presença	ausente/presente
probabilidade	provável/improvável
profundeza	desinteressante/raso/profundo/fundo/profunda/superficial
profundidade	desinteressante/raso/profundo/fundo/profunda/superficial
prolixidade	conciso/lacónico/lacônico/prolixo/sucinto
prontidão	prestes/disposto/pronto/preparado
propósito	funcional
pudor	modesto
pureza	casta/casto
qualidade	superior/inferior/positivo/vantajoso/ruim/bom
quantia	padrão
quantidade	basto/copioso/deficiente/lauto/abastado/farto/suficiente/abundante/insuficiente/bastante/bastante/padrão/escasso/insuficiente
quantitativo	padrão
rapidez	prestes/disposto/lento/devagar/pronto/preparado/rápida/veloz/rápido
realidade	existente/existente/efectivo/efetivo/irreal/irreal/verdadeiro/real
realismo	existente/irreal
regularidade	regular
renome	respeitável
reputação	respeitável
responsabilidade	responsável
rigor	acurado/exacto/exato/preciso/justo
saber	ciente/informado
sabor	insípido
santidade	sagrada/santa/sagrado/santo
sarcasmo	sarcástico
saúde	doentio/adoentado/insalubre/salubre/doente/são/saudável
segurança	certo/incerto/inseguro
semelhança	parecido/similar/semelhante/similar/mesmo/diferente/diferente
senioridade	júnior/sênior
sensatez	razoável
sensibilidade	sensível/sensível
separação	separado
ser	existente
seriedade	frívolo/fútil/sério
sexo	homo/homossexual/gay/sexual/assexual/hetero/heterossexual/varão/macho
sexualidade	sexual/assexual/varão/macho
significado	significante/significativo/importante
significação	significante/significativo/importante
similardidade	parecido/similar/semelhante/similar/mesmo/diferente/diferente
similitude	parecido/similar/semelhante/diferente
simplicidade	fácil
solidez	dura/macio/duro
status	dominante/subordinada/subordinado
suficiente	escasso
suficiência	escasso
sul	meridional/sulista
susceptibilidade	susceptível/suscetível
suscetibilidade	susceptível/suscetível
sátira	sarcástico
talento	capaz/incapaz/capaz
tamanho	grande/pequeno
temor	receoso/destemido
temperamento	relutante
temperança	moderado
temperatura	caloroso/caloroso/forgoso/forgoso/fresco/fresco/quente/quente/frio/frio/frio/frio
terror	receoso/destemido
textura	fino
tez	flavo/loiro/brunícoma/castanícoma/fuscícoma/marronícoma/obscurícoma/morena/colorido
tolerância	permissivo
tom	acromático/cromático
tonalidade	acromático/cromático
transa	homo/homossexual/gay/hetero/heterossexual
transparência	confuso
tédio	desinteressante/monótono/chato
umidade	molhado/seco
união	boreal/setentrional
utilidade	impróprio/inapto/inútil/útil/vão
valência	bivalente/polivalente
velocidade	lento/devagar/rápida/veloz/rápido
verdade	existente/falso/verdadeiro/errado/irreal
vida	vívido/vivo/semvida/morto
virgindade	casta/casto
virtude	moral/puro/casta/casto/imoral/boa/bom
viscosidade	espesso/rala
volume	berrante/estrepitante/alta/suave/alto
ânimo	afoito/brava/valoroso/arrojado/valente/corajoso/bravo
éxito	bem-sucedido/próspero
êxito	bem-sucedido/próspero
índole	lhano/afável/amável/gentil

