abecásia	abcaz/abecásio/abcásio/abecázio
afeganistão	al-qaeda/al-qaida
africa	safari/safári/emir/namibia/namíbia/negra/negro
alemanha	margrave/minden/panzer/pietismo/raf/suástica/svástica/teutões/alemão/trilhão
américa	alfândega/polegada/dólar/cara-pálida/hedeoma/totem/união/xamanismo/cola/gringo/ianque/mestiço/norte/perdiz/bilhão/coca/nortista/trapézio/trilhão/bocal/focinho/tribo/condado/bandido
arábia	emir
assiria	ishtar/nusku/shamash
assíria	ishtar/nusku/shamash
austrália	australiano/colega
babilonia	adad/adapa/anshar/anu/anunnaki/ishtar/marduque/nabu/ningishzida/ninurta/niña/shamash/babilónia/babilônia
babilónia	adad/adapa/anshar/anu/anunnaki/ishtar/marduque/nabu/ningishzida/ninurta/niña/shamash/babilônia
babilônia	adad/adapa/anshar/anu/anunnaki/ishtar/marduque/nabu/ningishzida/ninurta/niña/shamash/babilónia
bangladeche	hinduismo/madraçal/hinduísmo
bangladesh	hinduismo/madraçal/hinduísmo
bulgaria	pleven
bulgária	pleven
bélgica	ypres
canada	toronto
canadá	toronto
caucaso	circassiano
ceilão	hinduismo/hinduísmo
china	acupuntura/hangzhou/ki/qui/chinês
cáucaso	circassiano
e.u.a.	alfândega/polegada/dólar/cara-pálida/hedeoma/totem/união/xamanismo/cola/gringo/ianque/mestiço/norte/perdiz/bilhão/coca/nortista/trapézio/trilhão/bocal/focinho/tribo/condado/bandido
eeuu	alfândega/polegada/dólar/cara-pálida/hedeoma/totem/união/xamanismo/cola/gringo/ianque/mestiço/norte/perdiz/bilhão/coca/nortista/trapézio/trilhão/bocal/focinho/tribo/condado/bandido
escandinávia	lutefisk/troll
escocia	curling/haggis/pouquinho/cânion/pãozinho/ravina/escocês/criança
escócia	curling/haggis/pouquinho/cânion/pãozinho/ravina/escocês/criança
espanha	auto-de-fé/galego/grapo/inquisidor-geral/paeja/paelha/paella/sangria/castelhano/conquistador/eta/catalão/espanhol
eua	alfândega/polegada/dólar/cara-pálida/hedeoma/totem/união/xamanismo/cola/gringo/ianque/mestiço/norte/perdiz/bilhão/coca/nortista/trapézio/trilhão/bocal/focinho/tribo/condado/bandido
europa	mercantilismo/woland/mercantilismo/servo/escravo
fenícia	astarte/dagon/fenício
filipinas	corregidor/leyte
frança	bastilha/bonheur/legionário/orleães/poitiers/soissons/somme/tricolor/deputado/distrito/patrão/trilhão/francês/departamento
georgia	atlanta
groenlândia	subcontinente
gronelandia	subcontinente
gronelândia	subcontinente
groênlandia	subcontinente
grã-bretanha	biscoito/botequim/cookie/parlamento/pub/râguebi/rúgbi/alfândega/bolacha/boteco/polegada/taberna/bar/anoraque/bilião/bosquezinho/charnecas/condestável/estagiária/fisiognomia/fisionomia/guido/kedgeree/lady/macintosh/mi6/mod/nous/pai-nosso/pancadaria/parca/preceptor/rod/sir/skiffle/stone/thatcherismo/trepa-trepa/almirantado/bicicleta/dedo-duro/estagiário/fedor/lavabo/macacão/maçaneta/melaço/merenda/preceptor/pudim/secateurs/sobremesa/taxas/vale/avó/bilhão/chanceler/charneca/cientista/custos/deputado/gafe/ministro/podadeira/trilhão/anglo-saxão/avaliador/escritório/joaninha/reitor/residente/chá/condado/farinha/pia/presídio/sesta/face/par/salão/prisão/colega/barra/rosto/sala/cadeia/estrada
grécia	baco/ditirambo/leuctra/mantineia/midas/panteão/peã/queroneia/souvlaki/sísifo/termópilas/trojan/grego
havaí	luau/ukulele/golfinho/havaiano
india	ashram/chapati/hinduismo/nababo/subcontinente/hinduísmo
inglaterra	chulo/proxenetismo/safado/sherwood/cafetão/puritanismo/proxeneta
irlanda	banshee/danu/lug/morrigan/morrígan/patronímico/gaélico/irlandês
israel	fatah/haganah/haganá/kibboutz/kibutz/moshav/mossad/shabak
italia	basilicata/calabria/calábria/cannae/polenta/ravenna/salerno/calamar/italiano
itália	basilicata/calabria/calábria/cannae/polenta/ravenna/salerno/calamar/italiano
japão	camicase/caratê/futon/go/harakiri/jiu-jitsu/jiu-jítsu/kamikaze/karatê/missô/origami/saqué/saquê/sashimi/shogi/suchi/sumô/sushi/tempurá/wasabi/yakuza/saqué/distrito/japonês
jordania	fatah
jordânia	fatah
líbano	hizbollah/tabule
mesopotamia	acádio/babilonia/namtar/nanna/nergal/ningal/tiamat/acadiano/babilónia/babilônia
mesopotâmia	acádio/babilonia/namtar/nanna/nergal/ningal/tiamat/acadiano/babilónia/babilônia
médio-oriente	falafel/pita
méxico	burrito/chapultepec/chili/enchilada/mexicano-americano/puebla/tamal/tortilla/conquistador/torrada/mexicano/taco
nepal	hinduismo/hinduísmo
palestina	fatah/fdlp/fplp
paquistão	al-qaeda/al-qaida/lashkar-e-taiba/madraçal
polinesia	tabu/tabú
polinésia	tabu/tabú
portugal	inquisidor-geral/português
reino-unido	biscoito/botequim/cookie/parlamento/pub/râguebi/rúgbi/alfândega/bolacha/boteco/polegada/taberna/bar/anoraque/bilião/bosquezinho/charnecas/condestável/estagiária/fisiognomia/fisionomia/guido/kedgeree/lady/macintosh/mi6/mod/nous/pai-nosso/pancadaria/parca/preceptor/rod/sir/skiffle/stone/thatcherismo/trepa-trepa/almirantado/bicicleta/dedo-duro/estagiário/fedor/grã-bretanha/lavabo/macacão/maçaneta/melaço/merenda/preceptor/pudim/secateurs/sobremesa/taxas/vale/avó/bilhão/chanceler/charneca/cientista/custos/deputado/gafe/ministro/podadeira/trilhão/anglo-saxão/avaliador/escritório/joaninha/reitor/residente/chá/condado/farinha/pia/presídio/sesta/face/par/salão/prisão/colega/barra/rosto/sala/cadeia/estrada
roma	agoureiro/baco/catacumba/centurião/gladiador/panteão/solicitador/áugures/cruzamento
rússia	estepe/kolkhoz/kvas/russo
sicília	siracusa
sri-lanka	hinduismo/hinduísmo
sudoeste	ribeiro
suméria	enki/enlil/enquidu/gilgamish/inanna/nammu/namtar/ninhursag/ninurta/gilgamesh
urss	estepe/kolkhoz/kvas/russo
áfrica	safari/safári/emir/namibia/namíbia/negra/negro
árabia	emir
índia	ashram/chapati/hinduismo/nababo/subcontinente/hinduísmo
