aeronave	avionar/pilotar/voar
aeroplano	assento/cadeira/lugar/avionar/pilotar/voar
agricultura	semear/plantar/produzir/fazer/amanhar/cultivar/cultivo/plantar
animal	corpo/microorganismo/microrganismo
arte	exposições/pincelar/pintar/desenhar/exposição/plasmar/amoldar/belas-artes/linguagem/pintar/discurso/modelar/língua/estilo/representar
avião	assento/cadeira/lugar/avionar/pilotar/voar
baile	dançar
barco	capialço
besta	corpo/microorganismo/microrganismo
bicho	corpo/microorganismo/microrganismo
biologia	espécie/ontogenia/ontogénese/célula/espécies/crescimento/espécie/cultura/filo/filo/mutante/mutantes/mutação/procriar/reproduzir/gerar/género/família/classe
cinema	filmar
ciência	matematica/matemática
colectas	encargo/imposto/taxa
comercialismo	empenhar/comprar/vender/obter/adquirir/atingir/comerciar/tramitar/transaccionar/transacionar
comércio	empenhar/comprar/vender/obter/adquirir/atingir/astucidade/comerciar/gerenciamento/tramitar/transaccionar/transacionar/sagacidade/astúcia/capitalista/gestão/empresa/estabelecimento/negócio/administração
cozinha	enlatar/frigir/fritar/tostar/conservar/ferver/reduzir/diminuir
criatura	corpo/microorganismo/microrganismo
crime	corromper/raptar/seqüestrar/subornar/sequestrar
culinária	enlatar/frigir/fritar/tostar/conservar/ferver/reduzir/diminuir
cultivo	semear/plantar/produzir/fazer/amanhar/cultivar/plantar
dança	dançar
discurso	linguagem/idioma/língua/estilo
dramaturgia	assento/cadeira/lugar/teatro/casa
embarcação	capialço
empresa	astucidade/gerenciamento/sagacidade/astúcia/capitalista/gestão/estabelecimento/negócio/administração
esporte	passear/caminhar/esquiar/chutar/jogo
exército	tanques/campanha/espião/tanque/manobra/combate/combate/operação/batalha/batalha/ataque/luta/guerra/defesa/manobra/militar/proteção/oficial/companhia/corpo/ordem
filme	filmar
flora	vegetação/microorganismo/microrganismo/comensalismo/parasita
fé	consagração/ortodoxia/perseguição
física	molécula/átomo/magnete/íman/colisão/solidificar/ímã/difusão/gelar/onda/energia/luz/congelar/força
humano	corpo
idioma	linguagem/discurso/língua/estilo
imposto	encargo/taxa
impostos	encargo/imposto/taxa
industria	astucidade/gerenciamento/sagacidade/astúcia/capitalista/gestão/empresa/estabelecimento/negócio/administração
jogo	rodada/vez/turno/tempo
jurisprudência	acta/conúbio/decreto/matrimónio/matrimônio/testificar/legislação/atestar/casal/constituição/dono/evidenciar/jurista/sentença/testemunhar/advogado/proprietário/registro/julgamento/casamento/provar/mostrar/leis/legislação/revogação/lei/ato/parte
lago	orla/costa/litoral/água
lei	acta/conúbio/decreto/matrimónio/matrimônio/testificar/legislação/atestar/casal/constituição/dono/evidenciar/jurista/sentença/testemunhar/advogado/proprietário/registro/julgamento/casamento/provar/mostrar/leis/legislação/revogação/ato/parte
linguagem	discurso/idioma/língua/estilo
língua	linguagem/discurso/idioma/estilo
manufatura	indústria
matematica	função/assimetria/cáculo/computar/simetria/calcular/conjunto/operação/plano
matemática	função/assimetria/cáculo/computar/simetria/calcular/conjunto/operação/plano
mercantilismo	empenhar/comprar/vender/obter/adquirir/atingir/comerciar/tramitar/transaccionar/transacionar
música	musico/músico/músico/cantar/tocar/tacto/linguagem/seção/discurso/baixar/língua/estilo/parte/cair
narcótico	fornecedor/conexão
navio	capialço
navios	capialço
negócio	astucidade/gerenciamento/sagacidade/astúcia/capitalista/gestão/empresa/estabelecimento/administração
ofensa	corromper/raptar/seqüestrar/subornar/sequestrar
pecuária	semear/plantar/produzir/fazer/amanhar/cultivar/cultivo/plantar
película	filmar
planta	flora/vegetação/microorganismo/microrganismo/comensalismo/parasita
preparação	enlatar/frigir/fritar/tostar/conservar/ferver/reduzir/diminuir
produção	filmar
psicologia	costume/hábito/comportamento
quimica	molécula/átomo/desoxidar/valência/radical/incluir/solução/mistura/cadeia/limpar
química	molécula/átomo/desoxidar/valência/radical/incluir/solução/mistura/cadeia/limpar
religião	consagração/ortodoxia/perseguição
rio	curva/orla/costa/litoral/água
ser	corpo/microorganismo/microrganismo
serviço	igrejas/igreja/templo
taxa	encargo/imposto
taxação	encargo/imposto/taxa
teatro	assento/cadeira/lugar/casa
tributo	encargo/imposto/taxa
vegetal	flora/vegetação/microorganismo/microrganismo/comensalismo/parasita
vertebrado	sangue/sangue

