aeronave	piloto
aeroplano	desvio/assento/passageiro/piloto/cadeira/lugar
agricultura	semear/plantar/produzir/fazer
animal	arapuca/sacrificio/armadilha/pastar/sacrifício/gregário/corpo/rede
arte	chinês/exposições/cine/pincelar/cinema/teórico/pintar/desenhar/exposição
auto	tracção/túnel/tração/passageiro
automóvel	tracção/túnel/tração/passageiro
avião	desvio/assento/passageiro/piloto/cadeira/lugar
baile	dançar
barco	desvio/passageiro
batel	passageiro
besta	arapuca/sacrificio/armadilha/pastar/sacrifício/gregário/corpo/rede
bicho	arapuca/sacrificio/armadilha/pastar/sacrifício/gregário/corpo/rede
biologia	cepa/espécie/evolução/filogenia/filogênese/ontogenia/ontogénese/estirpe/célula/evolução/variante/espécies/crescimento/espécie/cultura/duradouro
bote	passageiro
boxe	murro/soco
calculadora	formatação/informática/formato
carro	tracção/túnel/tração/passageiro
ciência	matematica/matemática/teórico
comercialismo	comercializar/empenhar/exportar/importar/comprar/vender/obter/adquirir/atingir
computador	formatação/informática/formato
comércio	chinês/cine/comercializar/empenhar/exportar/cinema/importar/comprar/vender/cadeia/obter/adquirir/atingir
concerto	ensaio
concertos	ensaio
construção	erigir/construir
cozinha	bater
criatura	arapuca/sacrificio/armadilha/pastar/sacrifício/gregário/corpo/rede
crime	plagiar/remir/abduzir/raptar/seqüestrar/sequestrar/resgatar
culinária	bater
cultivo	semear/plantar/produzir/fazer
dança	dançar
dramaturgia	actuar/assento/cadeira/atuar/lugar/representar/fazer
edificação	erigir/construir
embarcação	desvio
empresa	chinês/cine/cinema/cadeia
escaler	passageiro
esporte	juiz/passear/árbitro/patinar/caminhar
exército	armada/assédio/bombardeiro/cerco/conscrição/marinha/prontidão/tanques/alistamento/general/baixa/rapidez/campanha/espião/sítio/capitão/inimigo/tanque/manobra/marcha/preparação/combate/combate/operação/batalha/batalha/ataque/luta
flora	vegetação/domar/domesticar/naturalizar/cultivar
fé	submundo/inferno
física	gravitação/isotropia/molécula/reactor/reactores/átomo/gravidade
humano	corpo
industria	chinês/cine/cinema/cadeia
jogo	jogada
jurisprudência	acta/adoção/argüido/conúbio/decreto/divorcio/divórcio/emprisonar/encarcerar/engaiolar/incarcerar/licenciamentos/litígio/matrimónio/matrimônio/passaportes/pleitear/pleito/querelante/sufrágio/testamento/testificar/veredicto/veredito/acusado/anistia/bancarrota/coima/curador/falência/fiança/legislação/mandado/réu/adoção/advogar/atestar/casal/constituição/dono/evidenciar/jurisdição/jurista/juízo/multa/passaporte/sentença/aprisionar/contrato/suspeito/testemunhar/voto/advogado/judiciário/perdão/processo/processo/processo/proprietário/registro/condenar/julgamento/julgamento/testemunha/ato/licença/casamento/causa/causa/direito/título/maior/provar/mostrar/prender
lei	acta/adoção/argüido/conúbio/decreto/divorcio/divórcio/emprisonar/encarcerar/engaiolar/incarcerar/licenciamentos/litígio/matrimónio/matrimônio/passaportes/pleitear/pleito/querelante/sufrágio/testamento/testificar/veredicto/veredito/acusado/anistia/bancarrota/coima/curador/falência/fiança/legislação/mandado/réu/adoção/advogar/atestar/casal/constituição/dono/evidenciar/jurisdição/jurista/juízo/multa/passaporte/sentença/aprisionar/contrato/suspeito/testemunhar/voto/advogado/judiciário/perdão/processo/processo/processo/proprietário/registro/condenar/julgamento/julgamento/testemunha/ato/licença/casamento/causa/causa/direito/título/maior/provar/mostrar/prender
linguística	gramática
lingüística	gramática/gramática
matematica	equaçao/equações/matrizes/equação/demonstração/evidência/matriz/fórmula/prova/função/regra
matemática	equaçao/equações/matrizes/equação/demonstração/evidência/matriz/fórmula/prova/função/regra
mercantilismo	comercializar/empenhar/exportar/importar/comprar/vender/obter/adquirir/atingir
música	musico/músico/músico/tema/cantar/compor/escrever/rápido/tocar
narcótico	dependência
navio	desvio
navios	desvio
negócio	chinês/cine/cinema/cadeia
ofensa	plagiar/remir/abduzir/raptar/seqüestrar/sequestrar/resgatar
pecuária	semear/plantar/produzir/fazer
planta	flora/vegetação/domar/domesticar/naturalizar/cultivar
preparação	bater
psicologia	molecular/stress/fadiga/inibição/costume/hábito/tensão
pugilismo	murro/soco
quimica	molécula/absorção/átomo
química	molécula/absorção/átomo
religião	submundo/inferno
rio	curva/canal
ser	arapuca/sacrificio/armadilha/pastar/sacrifício/gregário/corpo/rede
serviço	pregação/prédica/igrejas/sermão/igreja/templo
show	ensaio
teatro	actuar/assento/cadeira/atuar/lugar/representar/fazer
vegetal	flora/vegetação/domar/domesticar/naturalizar/cultivar
vertebrado	sangue/costela/sangue
veículo	tracção/túnel/tração/passageiro
viatura	tracção/túnel/tração/passageiro
xadrez	xeque/rei/cavalo

