aeronave	piloto
aeroplano	desvio/assento/passageiro/piloto/cadeira/lugar/circum-navegação/circumnavegação/titanio/titânio
agricultura	cultivo
animal	arapuca/sacrificio/armadilha/sacrifício/corpo/rede/microorganismo/microrganismo/rastreamento/rastreio/verruga/humanidade/nariz/olfato/lado
arte	chinês/exposições/cine/cinema/teórico/exposição/estética/belas-artes/estética/avaliador/linguagem/discurso/língua/estilo
auto	tracção/túnel/tração/passageiro/alternador/aluguel/aluguel/arrendamento
automóvel	tracção/túnel/tração/passageiro/alternador/aluguel/aluguel/arrendamento
avião	desvio/assento/passageiro/piloto/cadeira/lugar/circum-navegação/circumnavegação/titanio/titânio
barco	desvio/passageiro/amarra/capialço/enfermagem/enfermaria
batel	passageiro/amarra
besta	arapuca/sacrificio/armadilha/sacrifício/corpo/rede/microorganismo/microrganismo/rastreamento/rastreio/verruga/humanidade/nariz/olfato/lado
bicho	arapuca/sacrificio/armadilha/sacrifício/corpo/rede/microorganismo/microrganismo/rastreamento/rastreio/verruga/humanidade/nariz/olfato/lado
biologia	cepa/espécie/evolução/filogenia/filogênese/ontogenia/ontogénese/estirpe/célula/evolução/variante/espécies/crescimento/espécie/cultura/biologista/biólogo/cibernética/cibernética/coarctação/deiscência/espécie-tipo/filo/filo/gênero/isogamia/isomorfismo/mem/meme/mutante/pleomorfismo/subclasse/subespécie/superclasse/superordem/homogeneidade/mutantes/osmose/putrefação/mutação/regeneração/taxonomia/valência/decomposição/especialização/espécies/tribo/gênero/gênero/reprodução/variedade/género/género/família/ordem/classe/classe
bote	passageiro/amarra
boxe	murro/soco
calculadora	formatação/informática/formato/console/lutter/plotter/throughput/módulo
carro	tracção/túnel/tração/passageiro/alternador/aluguel/aluguel/arrendamento
casademoinho	uptime
ciência	matematica/matemática/teórico
colectas	recolhedor/cobrador/coletor/encargo/imposto/taxa/renda/rendimento
computador	formatação/informática/formato/console/lutter/plotter/throughput/módulo
comércio	chinês/cine/cinema/cadeia/astucidade/gerenciamento/sagacidade/astúcia/capitalista/gestão/sócio/empresa/estabelecimento/negócio/participante/administração/parte
concerto	ensaio
concertos	ensaio
cozinha	caril/caril/curry/calamar
crescimento	isometria
criatura	arapuca/sacrificio/armadilha/sacrifício/corpo/rede/microorganismo/microrganismo/rastreamento/rastreio/verruga/humanidade/nariz/olfato/lado
culinária	caril/caril/curry/calamar
damas	rei/negro/branco
discurso	sotaque/linguagem/acento/idioma/língua/estilo
dramaturgia	assento/cadeira/lugar/anfiteatro/teatro/casa
droga	anafilaxia
electricidade	terra
eletricidade	terra
embaraço	amniocentese/endométrio
embarcação	desvio/capialço/enfermagem/enfermaria
empresa	chinês/cine/cinema/cadeia/astucidade/gerenciamento/sagacidade/astúcia/capitalista/gestão/sócio/estabelecimento/negócio/participante/administração/parte
engenharia	código-fonte/enchente/fonte
entorpecente	anafilaxia
escaler	passageiro/amarra
esporte	juiz/árbitro/lance/olheiro/tacada/posse/treinador/impedimento/agente/falta/técnico/jogo/posição
exército	armada/assédio/bombardeiro/cerco/conscrição/marinha/prontidão/tanques/alistamento/general/baixa/rapidez/campanha/espião/sítio/capitão/inimigo/tanque/manobra/marcha/preparação/combate/combate/operação/batalha/batalha/ataque/luta/aide-de-acampamento/ajudante-de-ordens/artilharia/auto-metralhadora/autometralhadora/blitzkrieg/blitzkrieg/cadete/capitão-de-corveta/capitão-tenente/circuitaria/comodoro/continência/coronel/fuzileiros/general-de-exército/geschwader/guarda-marinha/guarda-marinha/guarnição/infantaria/latrina/major/major-general/marechal/milícia/mucambo/paraquedistas/pelotão/pm/reservista/retaguarda/sapador/segundo-tenente/tenente-brigadeiro/tenente-coronel/tiragem/trem-hospital/tropas/táticas/alferes/almirante/ambulância/artilharia/bloqueio/brigadeiro/cavalaria/cavalaria/comando/comando/falange/ferida/ferragens/general/graduação/privada/quinquilharia/silos/arsenal/contingente/desertor/desertor/estratégia/guerra/injuria/preguiçoso/quartel/quartel/ranger/tenente/tenente/armamento/barraca/blindado/caça/comissão/defesa/paraquedista/recruta/retirada/retirada/aviação/camuflagem/capitão/comandante/comandante/expedição/missão/voluntário/arma/coluna/emissão/manobra/militar/proteção/teatro/acampamento/acampamento/apelo/oficial/combate/batalha/campo/companhia/corpo/luta/ordem/classe/posição
flora	vegetação/fitoterapia/fitoterapia/fotossintese/fotossíntese/fotossíntese/microorganismo/microrganismo/nitrificação/peroxidase/comensalismo/circulação/coca/parasita
futebol	fullback/meio-campo/placekicker/punter/beque/zagueiro/ponteiro/ponta
fábrica	uptime/gás
fé	submundo/inferno/conformista/consagração/incensário/lúcifer/noviciado/numina/ortodoxia/pudicícia/recato/satanás/satã/turíbulo/castidade/celibato/claustro/vigília/diabo/frade/meditação/perseguição/irmão/tolerância/hábito
física	gravitação/isotropia/molécula/reactor/reactores/átomo/gravidade/absorbância/absortividade/atractor/espalação/magnete/pertubação/quark/supersimetria/transiente/vibração/vibração/vibrações/íman/absorção/coesão/colisão/desaceleração/métrica/quantum/ímã/difusão/dualidade/inércia/oscilação/paridade/aceleração/lápis/onda/potência/fluxo/energia/luz/tensão/tensão/força/físico
gravidez	amniocentese/endométrio
guerra	assaltante
hemípteros	holometabolismo
humano	corpo/polidactilia/sindactilia/lado
idioma	sotaque/linguagem/discurso/acento/língua/estilo
imposto	recolhedor/cobrador/coletor/encargo/taxa/renda/rendimento
impostos	recolhedor/cobrador/coletor/encargo/imposto/taxa/renda/rendimento
industria	chinês/cine/cinema/cadeia/astucidade/gerenciamento/sagacidade/astúcia/capitalista/gestão/sócio/empresa/estabelecimento/negócio/participante/administração/parte
insecto	holometabolismo
insectos	holometabolismo
inseto	holometabolismo
insetos	holometabolismo
invertebrado	exoesqueleto/exosqueleto
invertebrados	exoesqueleto/exosqueleto
jogo	jogada/rodada/vez/repetição/turno/tempo
jurisprudência	acta/adoção/argüido/conúbio/decreto/divorcio/divórcio/licenciamentos/litígio/matrimónio/matrimônio/passaportes/pleito/querelante/sufrágio/testamento/veredicto/veredito/acusado/anistia/bancarrota/coima/curador/falência/fiança/legislação/mandado/réu/adoção/casal/constituição/dono/jurisdição/jurista/juízo/multa/passaporte/sentença/contrato/suspeito/voto/advogado/judiciário/perdão/processo/processo/processo/proprietário/registro/julgamento/julgamento/testemunha/ato/licença/casamento/causa/causa/direito/título/amnistia/carta-patente/chateação/codicilo/common-law/condicional/contratador/debênture/derivativo/derivativos/desacato/desapropriação/dolo/encarceramento/estatuo/fbi/indulto/injunção/intimação/intimação/jurisconsulto/justiça/legalização/legitimação/leis/leis/libelo/litigante/notário/pertubação/premeditação/procurador-geral/quitação/recolheràgaragem/rescisão/sequestros/seqüestro/tabelião/usufruto/uxor/advocacia/alegação/alegação/apelação/bigamia/cidadania/depoimento/ditame/estatuto/honorário/legado/legado/legislador/legislador/legislação/mandado/moléstia/procurador/procuração/revogação/seqüestro/vigência/álibi/anulação/arbitragem/condenação/constituinte/distúrbio/domicílio/interdição/jurista/mandato/mandato/presunção/privilégio/proibição/rapto/sentença/servidão/tribunal/cliente/contrariedade/defensor/evidência/júri/patrimônio/preempção/promotor/promotor/promotor/sequestro/advogado/advogado/advogado/citação/citação/conspiração/cópia/perdão/prescrição/testemunho/testemunho/vigor/declaração/julgamento/lei/lei/prova/testemunha/apelo/ato/incômodo/justiça/direito/execução/execução/herança/herança/opinião/limitação/recurso/corte/parte/casa
lago	orla/costa/litoral/água
legislação	justiça/justiça
lei	acta/adoção/argüido/conúbio/decreto/divorcio/divórcio/licenciamentos/litígio/matrimónio/matrimônio/passaportes/pleito/querelante/sufrágio/testamento/veredicto/veredito/acusado/anistia/bancarrota/coima/curador/falência/fiança/legislação/mandado/réu/adoção/casal/constituição/dono/jurisdição/jurista/juízo/multa/passaporte/sentença/contrato/suspeito/voto/advogado/judiciário/perdão/processo/processo/processo/proprietário/registro/julgamento/julgamento/testemunha/ato/licença/casamento/causa/causa/direito/título/amnistia/carta-patente/chateação/codicilo/common-law/condicional/contratador/debênture/derivativo/derivativos/desacato/desapropriação/dolo/encarceramento/estatuo/fbi/indulto/injunção/intimação/intimação/jurisconsulto/justiça/legalização/legitimação/leis/leis/libelo/litigante/notário/pertubação/premeditação/procurador-geral/quitação/recolheràgaragem/rescisão/sequestros/seqüestro/tabelião/usufruto/uxor/advocacia/alegação/alegação/apelação/bigamia/cidadania/depoimento/ditame/estatuto/honorário/legado/legado/legislador/legislador/legislação/mandado/moléstia/procurador/procuração/revogação/seqüestro/vigência/álibi/anulação/arbitragem/condenação/constituinte/distúrbio/domicílio/interdição/jurista/mandato/mandato/presunção/privilégio/proibição/rapto/sentença/servidão/tribunal/cliente/contrariedade/defensor/evidência/júri/patrimônio/preempção/promotor/promotor/promotor/sequestro/advogado/advogado/advogado/citação/citação/conspiração/cópia/perdão/prescrição/testemunho/testemunho/vigor/declaração/julgamento/prova/testemunha/apelo/ato/incômodo/justiça/direito/execução/execução/herança/herança/opinião/limitação/recurso/corte/parte/casa
linguagem	sotaque/discurso/acento/idioma/língua/estilo
linguística	gramática/aférese/alofone/alofonia/descritivismo/fonologia/posposição/radical/fonema/sintaxe/sintaxe/derivado/radical/raiz/tom
lingüística	gramática/gramática/aférese/aférese/alofone/alofone/alofonia/alofonia/descritivismo/descritivismo/fonologia/fonologia/posposição/posposição/radical/radical/fonema/fonema/sintaxe/sintaxe/sintaxe/sintaxe/derivado/derivado/radical/radical/raiz/raiz/tom/tom
língua	sotaque/linguagem/discurso/acento/idioma/estilo
mamífero	amniota/córion
manufatura	uptime/indústria
matematica	equaçao/equações/matrizes/equação/demonstração/evidência/matriz/fórmula/prova/função/regra/aritmética/aritmética/arredondamento/assimetria/binómio/binômio/calculo/cardinalidade/cáculo/cálculo/expressão/fatoração/fractal/geodésica/geometria/infinitesimal/invariante/invariância/polinómio/polinómios/polinômio/polinômio/reflexiva/topologia/topologia/transitiva/trigonometria/trigonometria/álgebra/álgebra/extrapolação/interpolação/métrica/paralela/simetria/subgrupo/análise/recíproco/transformação/diagonal/fórmula/operador/série/conjunto/cálculo/matemático/raio/imagem/operação/corpo/domínio/plano
matemática	equaçao/equações/matrizes/equação/demonstração/evidência/matriz/fórmula/prova/função/regra/aritmética/aritmética/arredondamento/assimetria/binómio/binômio/calculo/cardinalidade/cáculo/cálculo/expressão/fatoração/fractal/geodésica/geometria/infinitesimal/invariante/invariância/polinómio/polinómios/polinômio/polinômio/reflexiva/topologia/topologia/transitiva/trigonometria/trigonometria/álgebra/álgebra/extrapolação/interpolação/métrica/paralela/simetria/subgrupo/análise/recíproco/transformação/diagonal/fórmula/operador/série/conjunto/cálculo/matemático/raio/imagem/operação/corpo/domínio/plano
medicamento	anafilaxia
microorganismo	bacteremia/bacterémia/virulência/virulência
microrganismo	bacteremia/bacterémia/virulência/virulência
mitologia	annwn/annwn/arjuna/arjuna/brünnhild/brünnhild/nibelungos/nibelungos/siegfried/siegfried/sigurd/sigurd/woland/woland/difusão/difusão
música	musico/músico/músico/tema/afinação/arioso/charanga/fanfarra/realejo/sintetizador/sintetizadores/tacto/tonica/transposição/tónica/tônica/uníssono/vibrato/andamento/fermata/ligadura/recapitulação/sanfona/partitura/suíte/timbre/adágio/dominante/gama/linguagem/pauta/seção/discurso/piano/corda/som/órgão/língua/estilo/parte
narcótico	dependência/drogadição/toxicomania/toxicomania/fornecedor/conexão
navio	desvio/capialço/enfermagem/enfermaria
navios	desvio/capialço/enfermagem/enfermaria
