aeronave	avionar/pilotar/voar
aeroplano	assento/cadeira/lugar/avionar/pilotar/voar
agricultura	semear/plantar/produzir/fazer/amanhar/cultivar/cultivo/plantar
animal	corpo/microorganismo/microrganismo
armada	marina
arquitectura	arco
arquitetura	arco
arte	exposições/pincelar/pintar/desenhar/exposição/plasmar/amoldar/belas-artes/linguagem/pintar/discurso/modelar/língua/estilo/representar
avião	assento/cadeira/lugar/avionar/pilotar/voar
basebol	rebatida/jogada/andada/apanhar/batida/turno/capturar
beisebol	rebatida/jogada/andada/apanhar/batida/turno/capturar
besta	corpo/microorganismo/microrganismo
bicho	corpo/microorganismo/microrganismo
cinema	filmar
ciência	matematica/matemática
colectas	encargo/imposto/taxa
comercialismo	empenhar/comprar/vender/obter/adquirir/atingir/comerciar/tramitar/transaccionar/transacionar
comércio	empenhar/comprar/vender/obter/adquirir/atingir/astucidade/comerciar/gerenciamento/tramitar/transaccionar/transacionar/sagacidade/astúcia/capitalista/gestão/empresa/estabelecimento/negócio/administração
criatura	corpo/microorganismo/microrganismo
crime	corromper/raptar/seqüestrar/subornar/sequestrar
cultivo	semear/plantar/produzir/fazer/amanhar/cultivar/plantar
didáctica	pedagogia
discurso	linguagem/idioma/língua/estilo
dramaturgia	assento/cadeira/lugar/teatro/casa
economia	consumo/produção
educação	pedagogia
electrónica	pulsação
eletronica	pulsação
eletrónica	pulsação
eletrônica	pulsação
empresa	astucidade/gerenciamento/sagacidade/astúcia/capitalista/gestão/estabelecimento/negócio/administração
ensinamento	pedagogia
ensino	pedagogia
esporte	passear/caminhar/esquiar/chutar/jogo
estatística	universo
estatísticas	universo
filme	filmar
flora	vegetação/microorganismo/microrganismo/comensalismo/parasita
formação	pedagogia
fotografia	fotografar/colorido/registro
fé	consagração/ortodoxia/perseguição
física	molécula/átomo/magnete/íman/colisão/solidificar/ímã/difusão/gelar/onda/luz/energia/congelar/força
história	crónica/crônica
humano	corpo
idioma	linguagem/discurso/língua/estilo
imposto	encargo/taxa
impostos	encargo/imposto/taxa
industria	astucidade/gerenciamento/sagacidade/astúcia/capitalista/gestão/empresa/estabelecimento/negócio/administração
informática	hardware/software/calculadora/computador/programa/hard-drive/pixel/píxel/acessar/operação
instrução	pedagogia
jogo	rodada/vez/turno/tempo
jurisprudência	acta/conúbio/decreto/matrimónio/matrimônio/testificar/legislação/atestar/casal/constituição/dono/evidenciar/jurista/sentença/testemunhar/advogado/proprietário/registro/julgamento/casamento/provar/mostrar/leis/legislação/revogação/lei/ato/parte
lago	orla/costa/litoral/água
lei	acta/conúbio/decreto/matrimónio/matrimônio/testificar/legislação/atestar/casal/constituição/dono/evidenciar/jurista/sentença/testemunhar/advogado/proprietário/registro/julgamento/casamento/provar/mostrar/leis/legislação/revogação/ato/parte
linguagem	discurso/idioma/língua/estilo
língua	linguagem/discurso/idioma/estilo
manufatura	indústria
marinha	marina
matematica	função/assimetria/cáculo/computar/simetria/calcular/conjunto/operação/plano
matemática	função/assimetria/cáculo/computar/simetria/calcular/conjunto/operação/plano
medicina	amputar/administrar/operar/dispensar
mercantilismo	empenhar/comprar/vender/obter/adquirir/atingir/comerciar/tramitar/transaccionar/transacionar
música	musico/músico/tocar/tacto/linguagem/seção/discurso/baixar/língua/estilo/parte/cair
negócio	astucidade/gerenciamento/sagacidade/astúcia/capitalista/gestão/empresa/estabelecimento/administração
oceano	orla/costa/litoral/água
ofensa	corromper/raptar/seqüestrar/subornar/sequestrar
pecuária	semear/plantar/produzir/fazer/amanhar/cultivar/cultivo/plantar
película	filmar
planta	flora/vegetação/microorganismo/microrganismo/comensalismo/parasita
produção	filmar
psicologia	costume/hábito/comportamento
quimica	molécula/átomo/desoxidar/valência/radical/incluir/solução/mistura/cadeia/limpar
química	molécula/átomo/desoxidar/valência/radical/incluir/solução/mistura/cadeia/limpar
religião	consagração/ortodoxia/perseguição
rio	curva/orla/costa/litoral/água
ser	corpo/microorganismo/microrganismo
taxa	encargo/imposto
taxação	encargo/imposto/taxa
teatro	assento/cadeira/lugar/casa
tributo	encargo/imposto/taxa
vegetal	flora/vegetação/microorganismo/microrganismo/comensalismo/parasita
