aeronave	piloto
aeroplano	desvio/assento/passageiro/piloto/cadeira/lugar
agricultura	semear/plantar/produzir/fazer
almoeda	oferecer
animal	arapuca/sacrificio/armadilha/pastar/sacrifício/gregário/corpo/rede
arquitectura	coluna/pilar/coluna
arquitetura	coluna/pilar/coluna
arrematação	oferecer
arte	chinês/exposições/cine/pincelar/cinema/teórico/pintar/desenhar/exposição
auto	tracção/túnel/tração/passageiro
autocarro	passageiro
automóvel	tracção/túnel/tração/passageiro
avião	desvio/assento/passageiro/piloto/cadeira/lugar
barco	passageiro
batel	passageiro
besta	arapuca/sacrificio/armadilha/pastar/sacrifício/gregário/corpo/rede
bicho	arapuca/sacrificio/armadilha/pastar/sacrifício/gregário/corpo/rede
bote	passageiro
calculadora	formatação/informática/formato
caminhos-de-ferro	passageiro
carro	tracção/túnel/tração/passageiro
cirurgia	operação
ciência	matematica/matemática/teórico
comboio	passageiro
comercialismo	comercializar/empenhar/exportar/importar/comprar/vender/obter/adquirir/atingir
computador	formatação/informática/formato
comércio	chinês/cine/comercializar/empenhar/exportar/cinema/importar/comprar/vender/cadeia/obter/adquirir/atingir
concerto	ensaio
concertos	ensaio
criatura	arapuca/sacrificio/armadilha/pastar/sacrifício/gregário/corpo/rede
crime	plagiar/remir/abduzir/raptar/seqüestrar/sequestrar/resgatar
cultivo	semear/plantar/produzir/fazer
dramaturgia	actuar/assento/cadeira/atuar/lugar/representar/fazer
economia	consumo
eleição	contagem/maioria
empresa	chinês/cine/cinema/cadeia
escaler	passageiro
esporte	juiz/passear/árbitro/patinar/caminhar
estatística	média/média/norma/norma
estatísticas	média/norma
filosofia	filósofo
flora	vegetação/domar/domesticar/naturalizar/cultivar
fotografia	aumentar
fé	submundo/inferno
física	gravitação/isotropia/molécula/reactor/reactores/átomo/gravidade
hasta	oferecer
história	crónica/crónica/crônica/crônica/historiador/historiador/historiografo/historiografo/cronista/cronista
humano	corpo
incisão	amputar/sanar/narcotizar/sarar/dopar/drogar/curar
industria	chinês/cine/cinema/cadeia
informática	hardware/software/calculadora/impressora/iteração/computador/menu/código/trilha/repetição/programa/programa
jogo	jogada
jurisprudência	acta/adoção/argüido/conúbio/decreto/divorcio/divórcio/emprisonar/encarcerar/engaiolar/incarcerar/licenciamentos/litígio/matrimónio/matrimônio/passaportes/pleitear/pleito/querelante/sufrágio/testamento/testificar/veredicto/veredito/acusado/anistia/bancarrota/coima/curador/falência/fiança/legislação/mandado/réu/adoção/advogar/atestar/casal/constituição/dono/evidenciar/jurisdição/jurista/juízo/multa/passaporte/sentença/aprisionar/contrato/suspeito/testemunhar/voto/advogado/judiciário/perdão/processo/processo/processo/proprietário/registro/condenar/julgamento/julgamento/testemunha/ato/licença/casamento/causa/causa/direito/título/maior/provar/mostrar/prender
lei	acta/adoção/argüido/conúbio/decreto/divorcio/divórcio/emprisonar/encarcerar/engaiolar/incarcerar/licenciamentos/litígio/matrimónio/matrimônio/passaportes/pleitear/pleito/querelante/sufrágio/testamento/testificar/veredicto/veredito/acusado/anistia/bancarrota/coima/curador/falência/fiança/legislação/mandado/réu/adoção/advogar/atestar/casal/constituição/dono/evidenciar/jurisdição/jurista/juízo/multa/passaporte/sentença/aprisionar/contrato/suspeito/testemunhar/voto/advogado/judiciário/perdão/processo/processo/processo/proprietário/registro/condenar/julgamento/julgamento/testemunha/ato/licença/casamento/causa/causa/direito/título/maior/provar/mostrar/prender
leilão	oferecer
locomotivas	passageiro
matematica	equaçao/equações/matrizes/equação/demonstração/evidência/matriz/fórmula/prova/função/regra
matemática	equaçao/equações/matrizes/equação/demonstração/evidência/matriz/fórmula/prova/função/regra
medicina	amputar/amputar/sanar/sanar/narcotizar/narcotizar/sarar/sarar/dopar/dopar/drogar/drogar/curar/curar
mercantilismo	comercializar/empenhar/exportar/importar/comprar/vender/obter/adquirir/atingir
música	musico/músico/músico/tema/compor/escrever/rápido/tocar
negócio	chinês/cine/cinema/cadeia
ofensa	plagiar/remir/abduzir/raptar/seqüestrar/sequestrar/resgatar
pecuária	semear/plantar/produzir/fazer
planta	flora/vegetação/domar/domesticar/naturalizar/cultivar
psicologia	molecular/stress/fadiga/inibição/costume/hábito/tensão
quimica	molécula/absorção/átomo
química	molécula/absorção/átomo
religião	submundo/inferno
remédio	amputar/sanar/narcotizar/sarar/dopar/drogar/curar
rio	curva/canal
ser	arapuca/sacrificio/armadilha/pastar/sacrifício/gregário/corpo/rede
show	ensaio
teatro	actuar/assento/cadeira/atuar/lugar/representar/fazer
trem	passageiro
vegetal	flora/vegetação/domar/domesticar/naturalizar/cultivar
veículo	tracção/túnel/tração/passageiro
viatura	tracção/túnel/tração/passageiro
ônibus	passageiro

