aba	acostamento/berma/bainha/margem/borda
abalo	zanga/consternação/espírito/ira/cólera/temor/raiva/terror/humor/medo/alegria/ânsia/reverência/ódio/ansiedade/temor/aversão/preocupação/afeição/amor
abastecimento	logistica/logística/rega/envio/alimentação/subvenção/fornecimento/emissão
abatimento	dessensibilização/atrito/declínio/decadência/diminuição
abelha	abelha-macha/abelhão/mamangaba/zangão
abertura	escapatória/racha/saída/fresta/janela/porta/buraco/capialço/intersticio/braguilha/fenestra/furo/nádegas/cano/colarinho/fresta/janela/vão/buraco/corte/fenda
abjuração	retirada
abominação	revulsão/repulsa/aversão/detestação/execração/horror/repulsão/asco/enjôo/repugnância/náusea/ódio/repulsa/aversão
abordagens	boca/entrada
abrigo	morada/apartamento/aposento/moradia/domicílio/residência/habitação/lar/casa/caravanas/condominio/condomínio/estalagem/hostelalbergue/quartos/albergue/apartamento/moradia/habitação/acampamento
abstinência	inibição/abstemia/jejum/pudicícia/recato/castidade/celibato
abstracto	absoluto/coisa/professor/direito
abstracção	absoluto/coisa/professor/direito
abstrato	absoluto/coisa/professor/direito
abstração	mensagem/comunicação/agrupação/quantia/atributo/predicado/quantitativo/característica/medida/conjunto/quantidade/conexão/propriedade/relação/grupo
abundancia	opulência/suntuosidade/sumptuosidade/luxo/riqueza
abuso	perseguição/crueldade
acadêmico	catedrático/professor
acendedor	fósforo/encendedor/isqueiro
aceno	numeral/vareta/símbolo/selo/número/diese/identificador/marcadores/monograma/nutação/prémio/prêmios/galardão/sigla/simbolismo/sustenido/estigma/nariz/prémio/coroa/dólar/prêmio/ícone/marca/mancha/selo/variável/tipo
acesso	boca/entrada
acidente	coincidência/colisión/naufrágio/colisão/ferimento/loteria/chance
