abalroar	assentar
abandonar	demitir-se/quitar/resignar/renunciar/prescindir/perder
abarcar	abranger/incluir/compreender/conter/ter/circundar/englobar/subsumir/acarretar/involver/subordinar/incluir/classificar/compreender/conter
abastecer	apetrechar/aparelhar/equipar/suprir/alimentar/servir/carregar/dar/abrigar/acortinar/alfabetizar/amparar/encortinar/envidraçar/estocar/legendar/mobiliar/reflectorizar/sanitarizar/transistorizar/calhar/computadorizar/estofar/indulgir/informatizar/nutrir/ofertar/armar/armazenar/condicionar/constitucionalizar/equipar/hidratar/regalar/aguar/articular/capitalizar/datar/despejar/encharcar/forrar/hospedar/molhar/assentar/associar-se/esquentar/prover/regar/aquecer/canalizar/derramar/renovar/acomodar/arranjar/fornecer/sinalizar/suprir/arrumar/ajudar/satisfazer/alimentar/estender/oferecer/encontrar/servir/dar
abater	derrubar/cortar
abocanhar	roer/trincar/mordiscar/morder
abordar	endereçar/lidar/tratar/falar/cobrir
aborrecer	enfadar/tormentar/retalhar/atormentar/crucificar/importunar/incomodar
abreviar	expurgar/condensar
abrigar	sediar/acolher/hospedar
abrir	alavancar/desarrolhar/desfechar/deslacrar/lancetear/quarar/reabrir/destrancar/arrombar/destravar/desatar
absolver	purgar/vindicar/acobertar
absorver	interessar/fascinar/envolver/esgotar/consumir
abster	jejuar/evitar
abster-se	jejuar/evitar
acabar	arrematar/aposentar-se/retirar-se/cumprir/efetuar/executar/desistir/realizar/terminar/parar/abandonar/atingir
acariciar	cocegar/mimosear/afagar
acasalar	deflorar/desflorar/desvirginar/foder/pinar/copular/meter/sodomizar/transar/trepar/montar/comer/cobrir
aceitar	resignar-se/submeter-se/adoptar/reconciliar/resignar/consentir/adotar/submeter/permitir/concordar/deixar/homenagear/honrar/prestigiar/readmitir/respeitar/crer/involver/sucumbir/abraçar/reajustar/ceder/consentir/validar/induzir/acreditar/aprovar/ajustar/desistir/julgar/reconhecer/admitir/iniciar/receber
acelerar	correr/borboletear/esvoaçar
acender	explodir/pegar
acentuar	incidir/re-enfatizar/topicalizar/grifar/sublinhar/enfatizar/clarificar/focar
acercar	atracar/chegar
acertar	estapear/sintonizar/chibatar/açoitar/chicotear/afinar/regular/ajustar/bater/bicar/descompactar/despressurizar/linearizar/zerar/aprumar/arrombar/conciliar/golpear/graduar/pressurizar/reconciliar/urbanizar/afinar/alinhar/calibrar/reajustar/socar/focalizar/modular/proporcionar/compatibilizar/focar/sincronizar/regular/ajustar/arrumar/temperar/combinar/cortar/bater
acessar	conectar-se/logar/endereçar
achar	prezar/respeitar/venerar/enumerar/situar/localizar/contar/descobrir/encontrar/coisificar/indentificar-se/redeterminar/reificar/relativizar/repensar/reputar/sentir-se/desrespeitar/idealizar/reconsiderar/refratar/sequenciar/suspeitar/abstrair/favorecer/valorizar/capitalizar/identificar/incluir/chamar/gostar/retificar/acreditar/localizar/sentir/apreciar/descobrir/julgar/esperar/receber/considerar/ver/manter/fazer
achatar	rolar
acobertar	disfarçar/mascarar/encobrir/esconder/espreitar/sepultar/soterrar/tapar/enterrar/ocultar/encobrir/esconder/cobrir
acompanhar	escoltar/levar
aconselhar	advocar/recomendar/atestar/urgir/promover/cantar/submeter/propor/declarar/dizer
