abanar	soprar
abandonar	aposentar-se/exonerar-se/demitir-se/encalhar/largar/resignar/renunciar/deixar/cair
abarcar	abranger/incluir/compreender/conter/ter/circundar/englobar/subsumir/acarretar/involver/subordinar/incluir/classificar/compreender/conter
abastecer	apetrechar/aparelhar/equipar/suprir/carregar/abrigar/acortinar/alfabetizar/amparar/encortinar/envidraçar/estocar/legendar/mobiliar/reflectorizar/sanitarizar/transistorizar/computadorizar/estofar/informatizar/ofertar/armar/armazenar/condicionar/constitucionalizar/equipar/hidratar/aguar/articular/capitalizar/datar/despejar/molhar/assentar/associar-se/esquentar/prover/regar/aquecer/canalizar/derramar/renovar/fornecer/sinalizar/suprir/alimentar/estender/oferecer/dar
abençoar	ungir/untar
abocanhar	roer/trincar/mordiscar/morder
abolir	ab-rogar/abrogar/revogar/anular
aborrecer	assediar/molestar/importunar/irritar/provocar/incomodar/enfadar/inimizar/tormentar/antagonizar/retalhar/atormentar/corroer/crucificar/magoar/importunar/irritar/incomodar
abraçar	entrelaçar-se/encadear/acariciar/agarrar
abreviar	expurgar/condensar
abrir	alavancar/desarrolhar/desfechar/deslacrar/lancetear/reabrir/destrancar/arrombar/destravar
absolver	purgar/vindicar/acobertar
absorver	sugar/chupar
acabar	arrematar/aposentar-se/retirar-se/cumprir/efetuar/executar/desistir/realizar/terminar/parar/abandonar/atingir
acalmar	tranqüilizar/aquietar/silenciar/tranquilizar/recompor/apaziguar/aplacar/reassegurar/serenar/sossegar/tranqüilizar/aquietar/pacificar/tranquilizar/compor/aliviar
acamar	prostar
acariciar	entrelaçar-se/encadear/agarrar
aceitar	readmitir/involver/induzir/admitir/iniciar
acender	ignitar/conflagrar/flamejar/fumar/reacender/incendiar/clarear
acentuar	incidir/re-enfatizar/topicalizar/grifar/sublinhar/enfatizar/clarificar/focar
acercar	atracar/chegar
acertar	sintonizar/afinar/regular/ajustar/descompactar/despressurizar/linearizar/zerar/aprumar/conciliar/graduar/pressurizar/reconciliar/urbanizar/afinar/alinhar/calibrar/reajustar/focalizar/modular/proporcionar/compatibilizar/focar/sincronizar/regular/ajustar/arrumar/temperar/combinar
achar	repensar/reputar/sentir-se/basear/acreditar/localizar/adquirir/considerar/ver/manter
aclamar	vivar
acobertar	disfarçar/mascarar/encobrir/esconder/espreitar/sepultar/soterrar/tapar/enterrar/ocultar/encobrir/esconder/cobrir
acompanhar	escoltar/levar
aconselhar	advocar/recomendar/atestar/urgir/promover/cantar/submeter/propor/declarar/dizer
acontecer	coincidir/materializar/re-ocorrer/reincidir/calhar/recrudescer/intervir/recorrer/resultar/ocorrer/sincronizar/surgir/prosseguir/suceder/repetir/brilhar/ser/desenvolver/vir/ir/passar/cair/dar
acorrer	assistir/ajudar/servir/desenrascar/zelar/facilitar/socorrer/acelerar/apressar/cuidar/aliviar
acrescentar	acirrar/altear/conglomerar/elevar-se/revalorizar/acrescer/aglomerar/amontoar/aprofundar/somar/intensificar/acumular/ganhar/adicionar/apreciar/crescer/subir/aumentar
acrescer	acirrar/altear/conglomerar/elevar-se/revalorizar/aglomerar/amontoar/aprofundar/somar/intensificar/acumular/acrescentar/ganhar/adicionar/apreciar/crescer/subir/aumentar
acumular	coleccionar/computarizar/entesourar/informatizar/amontoar/colecionar/empilhar/juntar/reunir
acusar	tributar/queixar/taxar/reclamar
adaptar-se	condizer/obedecer/igualar/corresponder/combinar/aclimar/aclimatar/ambientar/ambientar-se/readaptar/enfocar/reajustar/focalizar
adequar-se	condizer/obedecer/igualar/corresponder/combinar/aclimar/aclimatar/ambientar/ambientar-se/readaptar/enfocar/reajustar/focalizar
aderir	ligar
adiar	delongar/pospor/postergar/protelar/prorrogar/procrastinar/atrasar/procrastinar/vacilar/enrolar/segurar
adivinhar	pressentir/prognosticar/apostar/predizer/prever/augurar/suspeitar/calcular/prognosticar/ler/predizer/prever
admirar	invejar
admitir	repatriar/readmitir/involver/descartar/confessar/induzir/conceder/iniciar
adquirir	beneficiar-se/re-adquirir/beneficiar/herdar/reconquistar/reganhar/auferir/colecionar/lucrar/recolher/apanhar/comprar/recuperar/coletar/ganhar/capturar/obter/encontrar/reunir/atingir/pegar/readquirir/reaver/compartir/fretar/reganhar/topar/apurar/partilhar/alugar/assinar/conseguir/exprimir/comprar/recuperar/extrair/isolar/expressar/ganhar/obter/tomar/receber/encontrar/aceitar/atingir/achar/dividir/fazer
advertir	ameaçar/alarmar/admoestar/alertar/prevenir/avisar
afagar	lamber/acariciar
afetar	desconfortar/hidrolizar/influir/repercutir/sujeitar/influenciar/arriscar/comprometer/colorir/estimular/atacar/incomodar/atingir
aforrar	desencadear/soltar
afundar	submergir
agarrar	apreender/apanhar/furtar/roubar/prender/segurar/engalfinhar/intercetar/pescar/interceptar/capturar/esconder/segurar/pegar
agasalhar	encamisar/encasacar/calçar/fantasiar/vestir/vestido/cobrir
agastar	assediar/aborrecer/molestar/importunar/irritar/provocar/incomodar/inimizar/antagonizar/aborrecer/corroer/magoar/importunar/irritar/incomodar
agir	troçar/caçoar/devassar/desesperar/optimizar/esfriar/romantizar/sentimentalizar/vulgarizar/gozar/presumir/reagir/simular/conquistar/endurecer/fingir/brincar/desmoronar/adquirir/jogar/seguir/fazer
agitar	abanar/flabelar/ventilar/estremecer/tremular/tiritar/tremer/concussar/debulhar/esbordoar/menear/sovar/trilhar/chocalhar/palpitar/sacudir/tremer
agradar	encarecer/encantar
agradecer	apreciar/reconhecer
agredir	estuprar/violentar/assaltar/desonrar/atacar/dessacralizar/profanar/assediar/arremeter/molestar/violar/atacar
aguardar	emboscar
aguentar	gerenciar/engolir/aceitar/improvisar/consentir/sobreviver/corresponder/satisfazer
ajudar	assistir/servir/desenrascar/zelar/facilitar/socorrer/acelerar/apressar/cuidar/aliviar
ajustar	condizer/sintonizar/obedecer/afinar/igualar/corresponder/regular/combinar/aclimar/aclimatar/ambientar/ambientar-se/descompactar/despressurizar/linearizar/readaptar/zerar/aprumar/enfocar/conciliar/graduar/pressurizar/reconciliar/urbanizar/afinar/alinhar/calibrar/reajustar/focalizar/modular/proporcionar/compatibilizar/focar/sincronizar/regular/arrumar/temperar/combinar
alastrar	publlicar/popularizar/semear/vulgarizar/plantar
alcançar	culminar/obter/chegar/atingir/começar
alertar	ameaçar/alarmar/admoestar/prevenir/avisar/advertir
alforriar	desencadear/soltar
alimentar	pastar/aleitar/amamentar/lactar/mal-alimentar/subnutrir/super-alimentar/nutrir/regurgitar/injetar/jantar/patrocinar/suportar
aliviar	tranqüilizar/aquietar/silenciar/tranquilizar/acalmar/aquietar/pacificar/acalmar
alongar	prolongar-se/durar
alterar	alargar/ativar/comercializar/desvirar/impactar/aperfeiçoar/endireitar/inverter/acertar/completar/afetar/modelar/investir/causar/formar/manchar/substituir/ajustar/corrigir/melhorar/encher/estender/trocar/reduzir/diminuir/abrandar/acostumar-se/acromatizar/adequar/adiantar/agudizar/amalgamar/amaneirar/animizar/aprontar/arrendondar/arterializar/assear/automatar/avelhentar/averbar/avianizar/avolumar/bestializar/centralizar/cevar/circularizar/colorizar/convencionalizar/demonizar/demulsificar/deodorizar/depravar/desabilitar/desactivar/desafinar/desamolar/desantificar/desarmonizar/descentralizar/desconcentrar/desenfatizar/desensitivizar/desinflar/desmitificar/desordenar/despersonalizar/despolarizar/dessensibilizar/diabolizar/efeminar/endemoninhar/enfeiar/engrossar/erotizar/estatizar/eterealizar/evaziar/externar/femininizar/fortalecer/glamorizar/habilitar/habituar/habituar-se/hidrogenar/humanizar/imaterializar/inabilitar/indispor/inseminar/intransitivizar/madurar/magnetizar/nazificar/objectificar/obnubilar/ocidentalizar/oportunizar/orientalizar/ornar/paganizar/perverter/politizar/radicalizar/rarificar/restorar/sanear/satanizar/sexualizar/simetrizar/simplificar/tenderizar/tontear/transitivizar/transubstanciar/uniformizar/verbificar/volatizar/acetilar/acostumar/activar/adaptar/afectar/afrancesar/afrouxar/agravar/alcalinizar/alegorizar/alhear/americanizar/ampliar/atear/automatizar/avariar/barbarizar/bolhar/civilizar/complicar/comunizar/corromper/decimalizar/democratizar/desamarrar/desativar/desembaralhar/desestabilizar/desmagnetizar/desnaturalizar/desobstruir/desqualificar/digitalizar/dinamizar/dissonar/embaçar/empetecar/emprestar/emulsionar/energizar/engordar/equiparar/espessar/estabilizar/estranhar/eternizar/europeizar/exacerbar/externalizar/fecundar/fertilizar/imortalizar/inativar/incapacitar/internacionalizar/islamizar/isomerizar/liberalizar/liquidificar/masculinizar/militarizar/mitologizar/nacionalizar/normalizar/objetivar/obscurecer/oficializar/ofuscar/opalescer/opalizar/ossificar/oxidar/personalizar/plastificar/privatizar/prostrar/redigir/sanitizar/saponificar/saturar/sensibilizar/sensitivizar/suburbanizar/sutilizar/transfigurar/transmudar/vascularizar/viciar/vitalizar/vitrificar/vivificar/alcoolizar/alumiar/amaciar/amadurecer/amansar/arredondar/brutalizar/cegar/chorar/coagular/comedir/concentrar/conformar/constitucionalizar/descolorir/desintegrar/despertar/desvirtuar/diversificar/domar/domesticar/dopar/emagrecer/encerrar/enfeitar/envelhecer/escurecer/esfriar/esquematizar/estreitar/gelatinizar/industrializar/ionizar/lubrificar/macular/mecanizar/mitificar/ornamentar/padronizar/polarizar/possibilitar/pressurizar/purgar/recombinar/reconstruir/refrigerar/resfriar/restabelecer/restaurar/retardar/revolucionar/romantizar/santificar/secar/sentimentalizar/subverter/tensionar/territorializar/turvar/urbanizar/vulgarizar/amolar/assimilar/bagunçar/calcificar/calibrar/castigar/clarificar/coalhar/consertar/contaminar/contribuir/desacelerar/editar/embelezar/enlamear/enrijecer/especializar/fortificar/gelar/invalidar/molhar/oxigenar/progredir/rachar/refazer/socializar/sujar/visualizar/aerar/alienar/amortecer/aviltar/condensar/converter/danificar/debilitar/embaralhar/esquentar/esvaziar/glorificar/intensificar/mover/naturalizar/refrescar/remodelar/suavizar/sublimar/traduzir/unificar/validar/acelerar/afetar/afiar/aquecer/atrasar/balançar/colorir/compatibilizar/deformar/desvalorizar/disciplinar/elevar/enxugar/expandir/igualar/neutralizar/purificar/racionalizar/refinar/sincronizar/apertar/apressar/clarear/endurecer/envenenar/ferver/irradiar/isolar/moderar/piorar/reformar/retificar/adornar/causar/compensar/decorar/enfraquecer/manchar/marcar/produzir/regenerar/suspender/acordar/baixar/finalizar/mexer/preparar/transportar/adicionar/ajustar/atrair/capturar/corrigir/revelar/temperar/transformar/animar/apagar/derrubar/sacudir/concluir/confundir/esconder/excitar/encher/estender/trazer/unir/misturar/terminar/trocar/levar/provocar/colocar/deixar/limpar/reduzir/virar/carregar/conduzir/mudar/quebrar/tocar/diminuir/cair/aumentar/fazer
altercar	porfiar
aludir	invocar/desenterrar/mencionar/citar/referir/lembrar/apresentar/levantar
alugar	sublocar
alçar	bombear/hastear/içar/levitar/erguer/levantar/aumentar
amadurecer	achar-se/encontrar-se
amassar	provar
ameaçar	oferecer
amedrontar	terrificar/horripilar/aterrorizar/consternar/horrorizar/assustar/intimidar/impressionar
amolar	assediar/aborrecer/molestar/importunar/irritar/provocar/incomodar/inimizar/antagonizar/aborrecer/corroer/magoar/importunar/irritar/incomodar
amolecer	descongelar
ampliar	globalizar/territorializar/estender
andar	engatinhar/gatinhar/rastejar/rastejar-se/retroceder/serpear/vadiar/vagabundear/vaguear/boiar/pisar/retirar-se/devolver/pisotear/regressar/ascender/escorregar/nadar/recuar/errar/marchar/passear/perambular/vagar/deslizar/voar/apressar/retornar/acompanhar/atravessar/pular/saltar/caminhar/dirigir/correr/seguir/ir/subir/passar/cair/apressar-se/baldear/coxear/deambular/descarrilar/despachar-se/esgueirar/esquiar/ganir/joeirar/mancar/percorrer/sobrevoar/sonambular/tropicar/vadear/cavalgar/descarrilhar/desfilar/flanquear/pisar/ziguezaguear/peneirar/pisotear/retrogradar/rondar/sulcar/ascender/flutuar/nadar/navegar/progredir/recuar/avançar/cruzar/embaralhar/errar/marchar/passear/perambular/perseguir/preceder/propagar/tropeçar/vagar/acelerar/rodar/viagem/voar/apressar/descer/montar/prosseguir/amassar/baixar/brincar/circular/empurrar/viajar/atravessar/espalhar/vir/caminhar/continuar/trocar/seguir/virar/ir/subir/passar/cair
ansiar	suspirar/desejar/ambicionar/cobiçar/esperançar/invejar/aguardar/perseguir/querer/esperar/procurar/desejar
