ab-rogação	revogação
aba	acostamento/berma/braguilha/bainha/margem/língua/borda
abade	abbade
abadessa	mãe
abaixo-assinado	aplicacao/cobrança/apelação/arrecadação/candidatura/demanda/solicitação/apelo/recurso
abalo	zanga/consternação/espírito/ira/cólera/temor/raiva/terror/humor/medo/alegria/ânsia/reverência/ódio/ansiedade/temor/aversão/preocupação/afeição/amor
abandono	apostasia
abastecimento	logistica/logística/rega/envio/alimentação/subvenção/fornecimento/emissão
abatimento	dessensibilização/atrito/consumo/declínio/decadência/diminuição
abbadessa	mãe
abc	abecedário/abecê/rudimentos
abelha	abelha-africana/abelha-italiana/abelha-macha/abelhão/mamangaba/zangão
abelharuco	chapim-azul
abertura	pupila/escapatória/racha/saída/fresta/janela/porta/buraco/capialço/estomato/estômato/intersticio/teaser/braguilha/fenestra/furo/nádegas/poro/cano/colarinho/fresta/janela/vão/buraco/corte/fenda
abjuração	retirada
ablação	apendicectomia/colecistectomia/esplenectomia/estapedectomia/histerectomia/laminectomia/mastectomia/nefrectomia/ooforectomia/pneumonectomia/prostatectomia/salpingectomia/tiroidectomia/vasectomia/vulvectomia
ablução	chuveiro/banho
abominação	revulsão/repulsa/aversão/detestação/execração/horror/repulsão/asco/enjôo/repugnância/náusea/ódio/repulsa/aversão
abono	dividendo/prêmio
abordagens	boca/entrada
abortamento	aborto
abortação	aborto
abrasivo	lixa
abraço	carícia
abreviatura	apócope/abreviação
abreviação	apócope
abridor	abre-latas
abrigo	morada/seguros/apartamento/aposento/moradia/domicílio/residência/habitação/lar/seguro/casa/caravanas/casota/condominio/condomínio/estalagem/hostelalbergue/quartos/albergue/apartamento/canil/moradia/toldo/habitação/acampamento
absentista	expatriado
absolvição	indulgência
abstinência	inibição/abstemia/jejum/pudicícia/recato/castidade/celibato
abstracto	absoluto/coisa/professor/direito
abstracção	absoluto/coisa/professor/direito
abstrato	absoluto/coisa/professor/direito
abstração	mensagem/comunicação/agrupação/quantia/atributo/predicado/quantitativo/característica/medida/conjunto/quantidade/conexão/propriedade/relação/grupo
abundancia	opulência/suntuosidade/sumptuosidade/luxo/riqueza
abundância	cornucópia/fartura/riqueza
abuso	invectiva/vitupério/perseguição/crueldade
abóbora	cabaceiro-amargoso
academia	yeshiva/yeshivá
acadiano	cajun
acadianos	cajun
