abandonar	perder
abarcar	abranger/incluir/compreender/conter/ter
abastecer	apetrechar/aparelhar/equipar/suprir/servir/dar/abrigar/amparar/mobiliar/armar/despejar/prover/derramar/fornecer/suprir/ajudar/satisfazer/alimentar/servir/dar
abordar	endereçar/lidar/tratar/falar/cobrir
aborrecer	assediar/molestar/importunar/irritar/provocar/incomodar
abrigar	sediar/acolher/hospedar
acabar	estourar/cumprir/efetuar/executar/desistir/realizar/queimar/terminar/parar/abandonar/atingir
acariciar	cocegar
acasalar	foder/pinar/copular/meter/transar/trepar/montar/comer
aceitar	consentir/permitir/deixar/crer/involver/acreditar/admitir
acelerar	correr
acertar	bater
acessar	conectar-se/logar
achar	prezar/respeitar/venerar/enumerar/contar/reputar/valorizar/incluir/gostar/planejar/apreciar/julgar/admitir/considerar/ver/manter
achatar	rolar
acobertar	disfarçar/mascarar/encobrir/esconder/sepultar/soterrar/enterrar
acompanhar	co-ocorrer
aconselhar	exortar/impelir/urgir/advocar/recomendar/urgir/promover
acontecer	materializar/re-ocorrer/reincidir/calhar/recorrer/ocorrer/prosseguir/suceder/repetir/ir
acordar	firmar/conciliar/reconciliar/concordar/providenciar/arranjar/conceder
acorrer	facilitar/aliviar
acostar	cumprimentar/saudar
acreditar	crer
acrescentar	conglomerar/pontuar/acrescer/aglomerar/amontoar/aprofundar/somar/intensificar/incluir/acumular/adicionar/combinar/crescer/unir/misturar/reunir/aumentar
acrescer	conglomerar/pontuar/aglomerar/amontoar/aprofundar/somar/intensificar/incluir/acumular/acrescentar/adicionar/combinar/crescer/unir/misturar/reunir/aumentar
adaptar-se	obedecer
adequar-se	obedecer
adiar	delongar/pospor/postergar/protelar/prorrogar/procrastinar/atrasar/vacilar
adicionar	pontuar/incluir/combinar/unir/misturar/reunir
adivinhar	estimar
admitir	involver/confessar/conceder
adornar	colorir/pendurar
adquirir	beneficiar-se/re-adquirir/beneficiar/reconquistar/reganhar/auferir/lucrar/comprar/recuperar/ganhar/obter/encontrar/atingir/enlistar/compartir/fretar/reganhar/topar/partilhar/alugar/empregar/engajar/ganhar/receber/encontrar/aceitar/atingir/achar/dividir
advertir	alarmar/alertar
afagar	cocegar/acariciar
afectar	estressar/tensionar/energizar/estimular/animar/excitar
afetar	estressar/disturbar/tensionar/emocionar/perturbar/influir/energizar/influenciar/estimular/animar/excitar/atacar/atingir
afligir-se	prantear/lamentar
afrouxar	desaparafusar
agarrar	abocanhar/apreender/beliscar/mordiscar/espremer/morder/apertar/capturar/prender/segurar/pegar/capturar/tomar/segurar/pegar
agastar	assediar/aborrecer/molestar/importunar/irritar/provocar/incomodar
agir	atrever/atrever-se/ousar/participar/virar-se/voluntariar/compartilhar/aguentar/lidar/sobreviver/tentar/procurar/oferecer/efectivar/interagir/perpetrar/proceder/atrever/atrever-se/cometer/efectuar/efetivar/ousar/reiterar/comportar-se/disturbar/esfriar/performar/reagir/aguardar/efetuar/acelerar/conquistar/lidar/apressar/endurecer/prosseguir/surpreender/repetir/permanecer/interromper/perturbar/reter/adquirir/criar/esperar/resistir/continuar/correr/seguir/conduzir/começar/fazer
agitar	estremecer/tremular/tiritar/tremer
agravar	irritar
aguardar	adiar
ajudar	acorrer/socorrer/assistir/auxiliar/facilitar/encorajar/promover/estimular/aliviar
ajuntar	catar/colher/apanhar/respigar/colher
ajustar	obedecer
alegrar	animar-se/rejubilar/alegrar-se/exultar/animar
alegrar-se	animar-se/rejubilar/exultar/alegrar/animar
aleijar	lesionar/lesar/ferir/machucar
alertar	alarmar
alinhar	jogar
alisar	lixar
alocar	presentear/premiar/outorgar/conceder
alongar	extender/prorrogar/prolongar/esticar
alterar	transmutar/impactar/aperfeiçoar/acertar/completar/afetar/modelar/formar/substituir/ajustar/corrigir/transformar/melhorar/encher/trocar/reduzir/mudar/diminuir/acostumar-se/adequar/amalgamar/aprontar/assear/cevar/depravar/desabilitar/desordenar/desoxidar/estabilizar-se/evaziar/fortalecer/habituar/habituar-se/iluminar-se/indispor/inrijecer/inseminar/perverter/transubstanciar/vestir-se/acostumar/adaptar/afectar/afrouxar/agravar/ampliar/aprumar/arrumar-se/avariar/corromper/desativar/desobstruir/emprestar/engordar/equiparar/exacerbar/fecundar/fertilizar/incapacitar/transmudar/viciar/alumiar/amenizar/descolorir/desvirtuar/encerrar/escurecer/esfriar/estreitar/incorrer/inverter/largar/macular/nivelar/purgar/refrigerar/resfriar/secar/subverter/amanhecer/bagunçar/contaminar/contribuir/enrijecer/fortificar/gelar/iluminar/molhar/progredir/reverter/sujar/amortecer/aviltar/converter/danificar/esquentar/esvaziar/refrescar/traduzir/unificar/afetar/aquecer/colorir/deformar/enxugar/igualar/tornar/apertar/clarear/endurecer/piorar/enfraquecer/manchar/marcar/baixar/finalizar/preparar/vestir/adicionar/ajustar/experimentar/sofrer/transformar/concluir/desenvolver/obter/adquirir/sair/encher/receber/trazer/misturar/terminar/partir/abandonar/deixar/limpar/virar/carregar/conduzir/mudar/dividir/separar/pegar/cair/aumentar/fazer
aludir	desenterrar/apresentar/levantar
amalgamar	mesclar/combinar/misturar
amanhar	produzir/fazer
amarrar	atar
amolar	assediar/aborrecer/molestar/importunar/irritar/provocar/incomodar
amparar	sediar/acolher/hospedar
ampliar	alongar/elevar/aumentar
analizar	comparar/checar/pesquisar/conferir
andar	engatinhar/gatinhar/rastejar/rastejar-se/serpear/vadiar/vagabundear/vaguear/boiar/pisar/ascender/escorregar/nadar/errar/passear/perambular/vagar/deslizar/voar/apressar/acompanhar/atravessar/caminhar/dirigir/correr/seguir/ir/subir/passar/apressar-se/coxear/despachar-se/esgueirar/esquiar/mancar/vadear/cavalgar/desfilar/progredir/avançar/marchar/perambular/perseguir/tropeçar/vagar/acelerar/rodar/voar/apressar/descer/montar/prosseguir/baixar/circular/viajar/atravessar/espalhar/vir/caminhar/continuar/seguir/ir/passar/cair
anexar	fixar/amarrar/atar/prender/anilhar/etiquetar/inserir/rotular/suplementar/colar/pregar/introduzir/prender/pegar
angustiar	excruciar/torturar/atormentar
animar	rejubilar/alentar/exultar/encorajar
animar-se	rejubilar/exultar
ansiar	suspirar/desejar/esperançar/aguardar/querer/esperar/desejar
antecipar	conjecturar/hipotetizar/teorizar/pressupor/presumir/especular/supor/assumir/supor/pensar/esperar/achar
anunciar	divulgar/reportar/relatar
aparecer	mostrar-se
aperceber	enxergar/ouvir/doer/escutar/cheirar/sentir/olhar/ver/avistar/divisar/sonhar/perceber/ver
aperceber-se	enxergar/ouvir/doer/escutar/cheirar/sentir/olhar/ver/avistar/divisar/sonhar/perceber/ver
aperfeiçoar	reparar/emendar/lustrar/consertar/polir/refinar/embonecar/perfazer/atenuar/empetecar/amenizar/embelezar/polir/acordar/resolver/aliviar/melhorar
apertar	comprimir/contrair
apinhar	pulular
aplainar	rolar
apoiar	acorrer/socorrer/assistir/auxiliar/ajudar/encorajar/promover/estimular
apontar	direcionar/dirigir
aporrinhar	assediar/aborrecer/molestar/importunar/irritar/provocar/incomodar
apostar	jogar
apreciar	reconhecer
apresenta	possuir/portar/ter/carregar
apresentar	manifestar/demonstrar/expor/exibir/revelar/descobrir/mostrar/trazer/tocar/mostrar
apressar	correr/acelerar/correr
apressar-se	correr
aprofundar	agilizar/acelerar/apressar
aprovar	consentir/permitir/deixar
aproximar	estimar
aprumar	levantar-se
aquecer	tostar
arranjar	regularizar/alienar/dispor/arrumar/ordenar
arredar	arrastar/tremer
arruinar	destruir
arrumar	organizar
arrumar-se	caber/vestir/pôr/usar/trocar/colocar/mudar
articular	enrolar
ascender	galgar/trepar/montar/subir/emergir
assaltar	sitiar/cercar/emboscar/invadir/ocupar
