abaixar	subordinar/subjugar/submeter/dominar
abalroar	acidentar/assentar
abanar	soprar
abandonar	desamparar/aposentar-se/demitir-se/quitar/desertar/resignar/renunciar/deixar/exonerar-se/prescindir/demitir-se/encalhar/largar/resignar/renunciar/perder/deixar/cair
abarcar	abranger/incluir/compreender/conter/ter/circundar/englobar/subsumir/acarretar/involver/subordinar/incluir/classificar/compreender/conter
abastecer	apetrechar/aparelhar/equipar/suprir/alimentar/servir/carregar/dar/abrigar/acortinar/alfabetizar/amparar/encortinar/envidraçar/estocar/legendar/mobiliar/reflectorizar/sanitarizar/transistorizar/calhar/computadorizar/estofar/indulgir/informatizar/nutrir/ofertar/armar/armazenar/condicionar/constitucionalizar/equipar/hidratar/regalar/aguar/articular/capitalizar/datar/despejar/encharcar/forrar/hospedar/molhar/assentar/associar-se/esquentar/prover/regar/aquecer/canalizar/derramar/renovar/acomodar/arranjar/fornecer/sinalizar/suprir/arrumar/ajudar/satisfazer/alimentar/encher/estender/oferecer/encontrar/servir/dar
abater	derrubar/cortar
abeirar	margear
abençoar	ungir/untar
abocanhar	roer/trincar/mordiscar/morder
abolir	ab-rogar/abrogar/revogar/anular
abordar	endereçar/lidar/tratar/falar/cobrir
aborrecer	assediar/molestar/importunar/irritar/provocar/incomodar/enfadar/inimizar/tormentar/antagonizar/retalhar/atormentar/corroer/crucificar/magoar/importunar/irritar/incomodar
abrandar	amolecer
abrasar	chamuscar
abraçar	entrelaçar-se/encadear/adotar/acariciar/agarrar
abreviar	expurgar/encapsular/condensar
abrigar	sediar/acolher/hospedar
abrir	alavancar/desarrolhar/desfechar/deslacrar/lancetear/quarar/reabrir/destrancar/fundar/arrombar/destravar/desatar/inaugurar/estabelecer/lançar
absolver	excusar/eximir/isentar/purgar/vindicar/acobertar
absorver	interessar/sugar/assimilar/chupar/fascinar/envolver/esgotar/consumir
abster	jejuar/evitar
abster-se	jejuar/evitar
abusar	fraturar
acabar	pifar/quebrar/cair/arrematar/enguiçar/esvair/aposentar-se/retirar-se/estourar/cumprir/efetuar/fechar/culminar/interromper/executar/desaparecer/desistir/realizar/queimar/terminar/parar/abandonar/atingir
acabrunhar	atribular/estressar/entristecer/esgotar
acalentar	gostar
acalmar	tranqüilizar/aquietar/silenciar/tranquilizar/recompor/apaziguar/aplacar/reassegurar/serenar/sossegar/tranqüilizar/aquietar/pacificar/tranquilizar/compor/aliviar
acalorar	sobreaquecer/superaquecer/queimar
acamar	prostar
acariciar	cocegar/entrelaçar-se/encadear/mimosear/beijar/afagar/agarrar
acasalar	deflorar/desflorar/desvirginar/foder/pinar/copular/meter/sodomizar/transar/trepar/montar/comer/cobrir
acautelar	embalsamar
aceitar	resignar-se/submeter-se/adoptar/reconciliar/resignar/consentir/adotar/submeter/permitir/concordar/deixar/homenagear/honrar/prestigiar/readmitir/render-se/respeitar/crer/involver/sucumbir/abraçar/reajustar/ceder/consentir/testar/validar/induzir/acreditar/aprovar/ajustar/desistir/julgar/reconhecer/admitir/iniciar/receber/cair
acelerar	correr/borboletear/esvoaçar
acender	ignitar/conflagrar/flamejar/fumar/reacender/incendiar/clarear/explodir/agitar/pegar
acentuar	incidir/re-enfatizar/topicalizar/grifar/sublinhar/enfatizar/clarificar/focar
acercar	atracar/chegar
acertar	estapear/sintonizar/chibatar/açoitar/chicotear/afinar/regular/ajustar/bater/bicar/descompactar/despressurizar/linearizar/zerar/aprumar/arrombar/conciliar/golpear/graduar/pressurizar/reconciliar/urbanizar/afinar/alinhar/calibrar/reajustar/socar/focalizar/modular/proporcionar/compatibilizar/focar/sincronizar/regular/ajustar/arrumar/temperar/combinar/cortar/bater
acessar	conectar-se/logar/endereçar
achar	prezar/constatar/respeitar/venerar/averiguar/enumerar/situar/localizar/contar/descobrir/encontrar/coisificar/indentificar-se/redeterminar/reificar/relativizar/repensar/reputar/sentir-se/silogizar/basear/depreender/desrespeitar/idealizar/instanciar/reconsiderar/refratar/sequenciar/suspeitar/abstrair/desenterrar/favorecer/generalizar/valorizar/aprender/capitalizar/inferir/preocupar-se/deduzir/identificar/incluir/induzir/chamar/gostar/retificar/acreditar/localizar/planejar/perceber/sentir/apreciar/concluir/descobrir/julgar/admitir/adquirir/esperar/receber/considerar/entender/sacar/ver/pegar/manter/fazer
achatar	rolar
acirrar	amplificar/aguçar/intensificar/afiar/aumentar
aclamar	vivar/ovacionar/clamar/aplaudir/louvar/animar
acobertar	disfarçar/mascarar/encobrir/esconder/espreitar/sepultar/soterrar/tapar/enterrar/ocultar/encobrir/esconder/cobrir
acomodar	sentar
acompanhar	co-ocorrer/escoltar/trotar/marchar/reger/levar
aconselhar	dissuadir/exortar/impelir/urgir/contraindicar/desaconselhar/extraviar/admoestar/advocar/prevenir/recomendar/atestar/urgir/consultar/avisar/informar/promover/advertir/cantar/submeter/propor/declarar/dizer
acontecer	coincidir/materializar/re-ocorrer/reincidir/calhar/recrudescer/agregar/intervir/recorrer/resultar/ocorrer/sincronizar/surgir/descer/prosseguir/suceder/repetir/brilhar/ser/desenvolver/vir/ir/passar/cair/dar
acoplar	sovietizar/alinhavar/casar/conectar/emparelhar/montar/compor/reunir
acordar	firmar/conciliar/reconciliar/concordar/subscrever/providenciar/arranjar/resolver/conceder/concluir/trazer
acorrentar	algemar
acorrer	assistir/ajudar/servir/desenrascar/zelar/facilitar/socorrer/acelerar/apressar/cuidar/aliviar
acostar	cumprimentar/convidar/saudar/indicar
acostumar	fisgar/cauterizar/costumar/ensinar/viciar/instruir
acostumar-se	fisgar/acostumar/costumar/ensinar/viciar/instruir
acreditar	crer/engulir/crer/inferir/engolir/entender/cair
