aba	fronteira/limite
abagunçar	desordenar/bagunçar
abalroar	deslocar/mover
abandonar	descontinuar/cessar/ceder/finalizar/desistir/acabar/terminar/parar/deixar/entregar/passar/dar/descartar/alterar/mudar
abastecer	entregar/entregar/dar/dar
abastecimento	atividade/ocupação
abatimento	alteração/modificação/variação/mudança
abdome	anatomia
abdómen	anatomia
abdômen	anatomia
abelha	himenópteros
abertura	artefato
abespinhar	encolerizar/irar/zangar/enraivecer
abjuração	negação
abocanhar	agarrar/segurar
abominação	aversão
abordagens	via/estrada/caminho
abordar	discutir
abortar	encerrar/finalizar/concluir/terminar
abranger	abarcar/incluir/conter
abreviar	reduzir/diminuir
abrigar	prover/abastecer/fornecer/suprir
abrigo	edifício/tecido/estrutura
abrilhantar	estar/ser
abrir	tornar/virar/mudar
abside	nicho
absolver	pronunciar/rotular/julgar
absorver	interessar
abstracto	conceito/concepção/idéia/ideia
abstracção	conceito/concepção/idéia/ideia
abstrato	conceito/concepção/idéia/ideia
abstração	entidade
absurdidade	bobeira
abuso	maltrato
abóbada	telhado/teto
acabar	encerrar/encerrar/encerrar/finalizar/finalizar/finalizar/concluir/concluir/concluir/terminar/terminar/terminar
acadêmico	educacionista/pedagogo/educador
acalmar-se	tornar/virar/mudar
acampamento	alojamento/abrigo/casa/reunião
acampamentos	reunião
acariciar	afagar
acasalar	juntar/unir
aceitar	consentir/comprar/permitir/obter/adquirir/receber/deixar/balizar/topar/encerrar/finalizar/avaliar/estar/ser/concluir/julgar/receber/receber/terminar
acelerar	apressar/viajar/caminhar/correr/ir/andar/aprofundar/agir/intensificar/atuar/fazer
aceleração	traslado/deslocamento/movimento
acenar	gesticular
acendedor	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
acender	tornar/virar/mudar
aceno	sinal/inclinação
acentuar	exprimir/expressar/mostrar
acercar	vir
acertar	modificar/alterar/mudar/tornar/virar/mudar
acessar	re-adquirir/reconquistar/reganhar/recuperar/encontrar
acesso	via/estrada/caminho
achar	antecipar/comprar/obter/pensar/adquirir/receber/balizar/conceitualizar/conceber/avaliar/julgar
achatar	modelar/formar
acidente	ocorrente/ocorrência/acontecimento
acolher	abrigar/amparar
acolhimento	aquisição
acomodar	estabilizar-se/satisfazer
acompanhamento	inspecionar/examinar
acompanhar	viajar/caminhar/ir/andar
acontecer	ocorrer/suceder/passar
acontecimento	ocorrente/ocorrência/evento/fato
acordar	aperfeiçoar/melhorar/tornar/virar/mudar
acordo	concórdia/harmonia/paz/conformidade
acorrer	apoiar/suportar/ajudar
acostar	vir
acostumar	modificar/alterar/mudar
acostumar-se	modificar/alterar/mudar
acotovelar	propulsionar/empurrar
acovardar	vergar/curvar/dobrar/torcer
acovardar-se	vergar/curvar/dobrar/torcer
acreditar	aceitar
acrescentamento	quantidade/número
acrescentar	acrescer/crescer/aumentar
acrescer	acrescentar/crescer/aumentar
acta	ato
actividade	situação/condição/estado
actor	intérprete
actualidade	tempo
aculturar	lustrar/polir/refinar
acumular	botar/acrescer/acrescentar/crescer/pôr/colocar/carregar/aumentar
acumulação	acúmulo/aumento
acção	feito/ato/ação/acontecimento/evento/fato/situação/condição/estado
acúmulo	colecção/coleção/aglomeração/agrupação/acumulação/conjunto/aumento/grupo
adaptar	modificar/alterar/variar/mudar
adaptar-se	corresponder/combinar/concordar
adepto	seguidor
adequar	modificar/alterar/variar/mudar
adequar-se	corresponder/combinar/concordar
