aba	fronteira/limite
abalo	emoção/sentimento/impressão
abastecimento	atividade/ocupação
abatimento	alteração/modificação/variação/mudança
abdome	anatomia
abdómen	anatomia
abdômen	anatomia
abelha	himenópteros
abertura	artefato
abjuração	negação
abominação	aversão
abordagens	via/estrada/caminho
abrigo	edifício/tecido/estrutura
abside	nicho
abstinência	auto-monitorização/auto-controle
abstracto	conceito/concepção/idéia/ideia
abstracção	conceito/concepção/idéia/ideia
abstrato	conceito/concepção/idéia/ideia
abstração	entidade
absurdidade	bobeira
abuso	maltrato
abóbada	telhado/teto
acadêmico	educacionista/pedagogo/educador
acampamento	alojamento/abrigo/casa/reunião
acampamentos	reunião
aceleração	traslado/deslocamento/movimento
acendedor	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
aceno	sinal/inclinação
acesso	via/estrada/caminho
acidente	ocorrente/ocorrência/acontecimento/azar
acolhimento	aquisição
acompanhamento	inspecionar/examinar
acontecimento	ocorrente/ocorrência/evento/fato
acordo	concórdia/harmonia/paz/conformidade
acrescentamento	quantidade/número
acta	ato
actividade	situação/condição/estado
actor	intérprete
actualidade	tempo
acumulação	ganancia/acúmulo/rendimento/aumento
acção	feito/ato/ação/acontecimento/evento/fato/situação/condição/estado
acúmulo	colecção/coleção/aglomeração/agrupação/acumulação/conjunto/aumento/grupo
adepto	seguidor
aderência	apoio/suporte
adesão	apoio/suporte
adiar	ociosidade
adição	componente/parte
adjudicator	alguém/indivíduo/alma/pessoa
administrador	líder/gerente/cabeça/chefe/liderança/responsável
administração	gestão/comunidade/grupo
admiração	emoção/sentimento/impressão
adoração	atividade/ocupação
adorno	artefato
adoçante	aromatizante/condimento/tempero
adro	praça
adulteração	delito/transgressão
adversário	competidor/contendor
advogado	alguém/indivíduo/alma/pessoa/profissional
aeronave	navio
aeroplano	navio
aeroporto	infra-estrutura/instalação/aeródromo
aeródromo	infra-estrutura/instalação/aeroporto
afastamento	indiferença/apatia
afecção	emoção/sentimento/impressão
afeição	abalo/comoção/emoção/sentimento/camaradagem/objecto/simpatia/emoção/objeto/sentimento/compaixão/objetivo/piedade/impressão
afete	emoção/sentimento/impressão
afetividade	emoção/sentimento/impressão
afeto	emoção/sentimento/impressão
afiguração	criação
afinidade	conexão/relação
afirmação	mensagem/tópico/assunto/conteúdo
aflição	problema
afronta	desfeita/ofensa/injúria
afã	apetite/pretensão/anseio/desejo
agarrão	contato/toque
agencia	empresa
agente	representante
agitação	mudança
aglomeração	colecção/coleção/acúmulo/agrupação/conjunto/grupo
agouro	mensagem/comunicação
agradecimento	reconhecimento
agregação	agrupamento
agressão	acção/atividade/ato/ação
agricultura	cultivo
agrupamento	atividade/ocupação
agrupação	abstração
agudez	inteligência
agudeza	inteligência
agulha	implemento/instrumento/ferramenta
agência	empresa
aia	médico
ajuda	dádiva/auxílio/brinde/dom/socorro/doação/assistência/presente/atividade/ocupação
ajudante	trabalhador
ajustagem	calibração
ajuste	mudança
ala	órgão
alameda	via/estrada/caminho
albergaria	hotel
albergue	alojamento/hotel/abrigo/casa
alcance	grandeza/magnitude/número/ápice/nível/fase/grau
alcantilado	formação
alcar	propulsão/impulsão
aldeia	municipalidade/município/comunidade
alegria	abalo/comoção/espírito/emoção/prazer/sentimento/humor/emoção/sentimento/impressão
aleta	membro
alfaia	mobília/mobiliário/móvel
alga	protoctista/prototista
algas	protoctista/prototista
algibeira	bolsa
algodão	arvoreta/têxteis/arbusto/mato/moita/pano/tecido/fazenda
alguém	causador/causa/organismo/ser
aliança	organização/coalizão/coligação/fusão
alicerce	base
alimentação	nutriente/comida/alimento
alimento	nutriente/comida/substância
alimentos	nutriente/comida/alimento
alinhamento	ajustagem/reajuste/regulação
alma	causador/causa/espirito/organismo/ser
almofada	enchimento
alojamento	edifício/tecido/estrutura
alpendre	edifício/tecido/estrutura
alteração	ocorrente/ocorrência/acontecimento/mudança
alternativa	decisão
altitude	amplidão/dimensão/magnitude/extensão
altivez	certeza/segurança
altura	amplidão/dimensão/magnitude/extensão
alturas	região
aluno	alguém/indivíduo/alma/pessoa/seguidor/estudante
alvorecer	início/começo/princípio
alça	apêndice
ama-seca	médico
amabilidade	acção/atividade/ato/ação
amado	alguém/indivíduo/alma/pessoa
amanhecer	início/começo/princípio
amante	alguém/indivíduo/alma/pessoa/amado
amargura	desgosto/mágoa/tristeza/dor/pesar
ambiente	regiões/situação/condição/região/região
ambição	apetite/pretensão/anseio/disposição/desejo
ambulancia	auto/automóvel/viatura/carro/veículo
ambulância	auto/automóvel/viatura/carro/veículo
ameaça	causador/causa
amiga	alguém/indivíduo/alma/pessoa
amigo	alguém/indivíduo/alma/pessoa/amiga/camarada/conhecido/amizade
amizade	alguém/indivíduo/alma/pessoa/relação/ligação
amo	alguém/indivíduo/alma/pessoa
