abadia	monastério/mosteiro/convento
abanar	sacudir/tremer/agitar
abatimento	alteração/modificação/redução/variação/diminuição/mudança
aboboreira	verdura/hortaliça/legume/vegetal
aborrecer	agastar/aporrinhar/vexar/chatear/amolar/molestar/importunar/perturbar/irritar/incomodar
aborto	abortação/abortamento
abranger	abarcar/incluir/conter
abreviar	reduzir/diminuir
abrigo	alojamento/edifício/tecido/estrutura/casa
abusar	tratar
abóbora	verdura/hortaliça/legume/vegetal
acalmar	consolar/reconfortar/confortar/aliviar
acampamento	locação/sítio/lugar
acatar	obedecer
aceitar	aturar/tolerar/consentir/aguentar/permitir/suportar/deixar
aceitação	aprovaçã0/aprovação
acender	queimar
aceno	sinal
acepção	significância/significação/significado/intenção
acertar	modificar/alterar/mudar
achado	epifania/insight/lampejo
acocorar	sentar-se/sentar
acocorar-se	sentar-se/sentar
acompanhar	viajar/caminhar/ir/andar
acontecer	transmutar/transformar/mudar
acorde	tom/nota
acordes	tom/nota
acordo	consenso
acréscimo	incremento/crescimento/aumento
actor	intérprete
actuar	desempenhar/apresentar/fazer
acumular	dispor/arranjar/reter/guardar/segurar/manter
acumulação	incremento/acréscimo/crescimento/aumento
acusar	clamar/declarar
acusação	asserção
acúmulo	colecção/coleção/aglomeração
adicionar	enumerar/contar
adivinhar	aventurar/supor/pretender
adição	componente/parte
adjudicar	resolver/decidir
administrador	líder/gerente/cabeça/chefe/liderança/responsável
admirar	prezar/respeitar/venerar
admitir	consentir/permitir/deixar
adopção	aprovaçã0/aprovação
adoção	aprovaçã0/aprovação
adquirir	comprar/obter/receber
adulto	alguém/indivíduo/alma/pessoa
adversário	alguém/indivíduo/alma/pessoa
advogado	alguém/indivíduo/alma/pessoa/profissional
afagar	tratar/tocar/bater
aferroar	lesionar/lesar/ferir/machucar
afetar	modificar/alterar/mudar
aficionado	alguém/indivíduo/alma/pessoa
afinar	acertar/ajustar/corrigir
afinidade	atratividade/atração
afirmação	asserção
afogar	perecer/falecer/expirar/morrer
afogar-se	perecer/falecer/expirar/morrer
agachar	sentar-se/sentar
agarrar	capturar/segurar/pegar
agavelar	dispor/arranjar
agenda	listagem/lista
agente	representante
agitar	deslocar/mover/mexer
agonia	dor/tormento/tortura/angústia/martírio/dor
agouro	mensagem/comunicação
aguentar	virar-se/consentir/lidar/sobreviver/permitir/deixar
ajuda	dádiva/auxílio/brinde/dom/socorro/doação/assistência/presente
ajudante	trabalhador
ajudar	acorrer/socorrer/assistir/auxiliar
ajustar	modificar/acertar/alterar/corrigir/mudar
ala	órgão
alagar	completar/encher
alargar	modificar/alterar/mudar
albergaria	hotel
albergue	hotel
albufeira	lago
album	livros/livro
aldeã	habitante/morador
aldeão	habitante/morador
alegria	abalo/comoção/emoção/sentimento
alfabetismo	meta/técnica/habilidade/talento
alfabetização	meta/técnica/habilidade/talento
algodão	têxteis/pano/tecido/fazenda
alguém	causador/causa
aliado	país/república/nação
alma	causador/causa
almoeda	venda
almoço	repasto/refeição
alojamento	edifício/tecido/estrutura
alongar	deslocar/mover/mexer
alpercata	sapato/calçado
altar	edifício/tecido/estrutura
aluguel	contrato/acordo
aluminio	metal/metais
alumnus	estudioso/erudito/especialista/acadêmico
alumínio	metal/metais
aluno	alguém/indivíduo/alma/pessoa
alvo	referência
alvorada	hora
alívio	conforto
amador	alguém/indivíduo/alma/pessoa
amadora	alguém/indivíduo/alma/pessoa
amanhecer	hora
amante	mulher
ambição	apetite/pretensão/anseio/disposição/desejo
ambiência	estado/situação/condição/estado
ambulancia	auto/automóvel/viatura/carro/veículo
ambulância	auto/automóvel/viatura/carro/veículo
ameaçar	alertar/avisar/advertir
amigo	alguém/indivíduo/alma/pessoa
amimar	tratar
amizade	alguém/indivíduo/alma/pessoa
amontoado	massa
amostra	instância/exemplo/representante
amplidão	grandeza/magnitude/número
amuleto	objeto
analisar	seleccionar/selecionar/escolher
anatomia	corpo
anca	membro/perna
ancestral	parente
anchura	amplidão/dimensão/magnitude/extensão
andar	edifício/tecido/estrutura/viajar/caminhar/ir
andróide	mecanismo
anel	cabelo
anexo	adição/melhoria
anfitrião	adulto
anistia	mandado
aniversario	aniversário
ano	etapa/tempo/período
anoitecer	hora
ansiar	querer/desejar
antagonista	alguém/indivíduo/alma/pessoa
antecessor	parente
antecâmara	aposento/quarto/sala
antepassado	parente
antessala	aposento/quarto/sala
análogo	similardidade/semelhança
anúncio	propaganda/promoção/publicidade
apanhar	comprar/agarrar/capturar/obter/adquirir/receber/segurar/pegar
apara	fragmento
aparato	equipamento/ferramenta
aparelhador	alfaia/movéis/mobília/mobiliário/móvel
aparelhar	prover/abastecer/fornecer/suprir
aparelho	equipamento/ferramenta
aparição	psiquê/alma
apartamento	alojamento/abrigo/casa
aparência	semblante/aspecto
apelação	abaixo-assinado/postulação/requerimento/requisição/solicitação/petição/apelo
apelo	abaixo-assinado/postulação/requerimento/requisição/solicitação/petição
aperfeiçoar	modificar/alterar/mudar
apertar	prensar/pressionar/tocar/bater
apetrechar	prover/abastecer/fornecer/suprir
aplicacao	abaixo-assinado/postulação/requerimento/requisição/solicitação/petição/apelo
apoio	auxílio/socorro/ajuda/assistência
aposentar-se	demitir-se/quitar/resignar/renunciar/abandonar
aposento	alojamento/abrigo/casa
apostar	pressentir/prognosticar/adivinhar/predizer/prever
apostila	livro
apoteose	exemplo/modelo
apreender	agarrar/capturar/segurar/pegar
apressar	viajar/caminhar/ir/andar
aprimorar	aperfeiçoar/melhorar
aprisionar	deter/confinar/prender
aprovaçã0	apoio/suporte
aprovação	apoio/suporte
aproximação	cálculo
apunhalar	lesionar/lesar/ferir/machucar
apólice	contrato/acordo
aquietar	consolar/reconfortar/confortar/acalmar/aliviar
ar	estado/situação/condição/estado
aragem	vento
archote	luz
arco	curva/armamento/arma/boca/entrada
areia	solo/terra
arena	edifício/tecido/estrutura
argila	solo/terra
aria	música
arma	aparelho/armamento/instrumento/ferramenta
armadilha	arapuca/rede
armamento	aparelho/instrumento/ferramenta
armazenar	reter/guardar/segurar/manter
armário	alfaia/movéis/mobília/mobiliário/móvel
arquitectura	disciplina/campo/domínio
arquitetura	disciplina/campo/domínio
arranjar	botar/pôr/colocar/carregar
arrastar	arredar/puxar/tirar
arrecadação	abaixo-assinado/postulação/requerimento/requisição/solicitação/petição/apelo
arrematação	venda
arremessar	arremeter/deslocar/mover/mexer/atirar/jogar/lançar
arremeter	atirar/jogar/lançar
arrepender	sentir/experimentar
arrepender-se	sentir/experimentar
arriscar	tentar/procurar
arroz	farinhas/cereal
arte	meta/ofício/técnica/profissão/ocupação/criação/emprego/função/habilidade/talento/serviço/trabalho/lugar
articular	contar/falar/dizer
artigo	notícia/notícias/informação
artista	intérprete
arvoredo	chão/relevo/solo/terra
asa	adição/melhoria/órgão
ascendencia	estado/situação/condição/estado
ascender	viajar/caminhar/ir/andar/subir
asfixiar	comprimir/contrair
asilo	enfermaria/hospital
aspecto	semblante/aparência
aspiração	apetite/pretensão/anseio/disposição/desejo
assalariado	trabalhador
assaltar	agredir/atacar
assalto	furto/roubo
assassino	alguém/indivíduo/alma/pessoa
assediar	agastar/aporrinhar/vexar/chatear/aborrecer/amolar/molestar/importunar/perturbar/irritar/incomodar
assegurar	proteger/defender
assembléia	legislatura
assemelhar	corresponder/combinar/concordar
assemelhar-se	corresponder/combinar/concordar
assento	alfaia/movéis/mobília/mobiliário/móvel/cadeira
asserção	declaração
assessor	autoridade
assinante	freguês/cliente/comprador/consumidor
assinar	redigir/escrever
assinatura	antenome/prenome/nome
assistente	trabalhador
assistir	acorrer/socorrer/auxiliar/ajudar
associar	raciocinar/cogitar/refletir/pensar
associação	organização
assombração	psiquê/alma
assumir	antecipar
asterisco	grafema/letra
atacar	agredir/assaltar
atadura	curativo
ataque	criticismo/crítica/julgamento/manobra/operação
atar	modelar/formar
ataúde	caixa
aterrorizar	atemorizar/amedrontar/assustar/intimidar
atestado	documentação/documento
atingir	comprar/obter/adquirir/receber/tocar/bater
atirar	jogar/lançar
atitude	cognição/noção/conhecimento/compreensão
ativar	modificar/alterar/mudar
atividade	feição/peculiaridade
atmosfera	ambiência/estado/ar/situação/condição/estado
ator	intérprete
atrair	arredar/puxar/tirar
atrapalhar	impossibilitar/obstar/estorvar/impedir/proibir/bloquear/evitar
atrasar	adiar
atravessar	viajar/caminhar/ir/andar
atração	espectáculo/show
atribuição	alocação
atributo	conceito/concepção/idéia/ideia
atrito	recontro/confronto/conflito
atuar	desempenhar/apresentar/fazer
aturar	consentir/permitir/deixar
auferir	comprar/obter/adquirir/receber
aula	didáctica/ensinamento/ensino/pedagogia/educação/instrução/formação
aumentar	desinformar/enganar
aumento	acrescentamento
aurora	hora
ausência	necessidade/carência
auto-alimentação	resposta/resultado
automobilista	conductor/chofer/condutor/motorista
autoridade	alguém/especialista/indivíduo/alma/pessoa
autômato	mecanismo
auxilio	ajuda
avaria	alteração/modificação/variação/mudança
aventura	industria/empresa/negócio/comércio/projeto/tarefa
azar	fenómeno/fenômeno
azul-ferrete	azul
azul-marinho	azul
açoite	aparelho/instrumento/ferramenta
ação	enredo/argumento
bagageira	compartimento
bagunça	estado/situação/condição/estado
baixa	vítima
baixada	depressão
baixar-se	sentar-se/sentar
bala	projéctil/míssil/projétil
balanço	brinquedo
balconista	assalariado/empregado/operário
balcão	edifício/tecido/estrutura
balde	vasilhame/vasilha/vaso
baldeação	transporte/transferência
balear	atirar
baloiço	brinquedo
balsa	batel/bote/escaler/barco
balão	brinquedo
banco	assento/cadeira
bandeira	pendão/estandarte/pavilhão
bangalô	vivenda/habitação/casa
banheira	vasilhame/vasilha/vaso
banheiro	aposento/quarto/sala
banir	expulsar
banqueta	assento/cadeira
banquete	repasto/refeição
banquinho	assento/cadeira
bar	aposento/quarto/sala
barao	homemdenegócios/empresário/negociante/comerciante
barco	embarcações/embarcação/navios/navio
barra	encosto/apoio/suporte
barranco	declive/declives/subida/encosta/costa/ladeira
barril	vasilhame/vasilha/vaso
barro	matéria/substância
base	encosto/apoio/escritório/suporte/fundo
batalha	combate
batel	embarcações/embarcação/navios/navio/barco
bater	cerrar/golpear/deslocar/fechar/mover/mexer/tocar
baterpalmas	ruído
bebericar	beber/tomar
bebida	nutriente/comida/alimento
bebé	criança/filho/menino
bebê	criança/filho/menino
beijar	tocar/bater
beijocar	tocar/bater
bem	possessão/propriedade
bem-estar	eudemonismo/saúde
bem-vindo	saudação
beneficiar	comprar/obter/adquirir/receber
beneficiar-se	comprar/obter/adquirir/receber
benefício	bem
benzina	carburante/combustível
berlinde	bola
berrar	emitir/soltar/gritar
biberão	vasilhame/vasilha/vaso
biblioteca	prédio/edifício
bicha	fila/linha
bife	vianda/carne
biografia	crónica/crônica
biologia	colecção/coleção/aglomeração/acúmulo
biota	colecção/coleção/aglomeração/acúmulo
biscate	ofício/profissão/ocupação/emprego/função/serviço/trabalho/lugar
biscoito	bolo
bloquear	impossibilitar/obstar/estorvar/impedir/proibir/evitar
boato	bisbilhotice/bisbolhetice/fofoca
bocejar	bafejar/espirar/respirar
bochecha	traço
boda	cerimónia/cerimônia/festa
boiar	viajar/caminhar/ir/andar
bola	brinquedo
bolacha	bolo
bolbo	caule/tronco
boleia	passeio
boletim	estória/relato/artigo
bolsa	ajuda
bombardeiro	aeroplano/avião
bombear	alçar/elevar/erguer/levantar
boneca	brinquedo
boneco	brinquedo
boom	prosperidade
borrifar	salpicar/espalhar
bosque	chão/relevo/solo/terra
bote	embarcações/embarcação/navios/navio/barco
botelha	vasilhame/vasilha/vaso
botão	interruptor/chave
boutique	shopping
bradar	berrar/gritar
bramir	emitir/soltar
braço	membro/perna
brilho	inteligência
brincar	jogar
brinde	aquisição
brisa	vento
britar	arrombar/arrebentar
brochura	livro
bronze	escultura
bruma	nevoeiro/névoa/neblina
buffet	repasto/refeição
bule	pote
buzina	alarme
cabana	vivenda/habitação/casa
cabeça	cognição/líder/noção/chefe/conhecimento/compreensão
cabimento	intercorrência/opção/alternativa/eleição/escolha
cabo	toa/corda
cabrita	bode/cabrito/cabra/bode
cabrito	bode/cabra/bode
cache	cobre/divisa/moeda/dinheiro
cacho	cabelo
cachorro-quente	enchidos/lingüiça/salsicha
cadeira	alfaia/movéis/mobília/mobiliário/assento/móvel
cadeirão	assento/cadeira
caderno	livros/livro
