abanar	sacudir/tremer/agitar
abandonar	evadir-se/largar/fugir/desistir/sair/escapar/partir/deixar/deixar
abastecer	entregar/dar
abduzir	capturar/tomar/pegar
abocanhar	agarrar/segurar
aborrecer	agastar/aporrinhar/vexar/chatear/amolar/molestar/importunar/perturbar/irritar/incomodar/desgostar/desagradar
abranger	abarcar/incluir/conter/estender/continuar
abreviar	reduzir/diminuir
absolver	pronunciar/rotular/julgar
abusar	tratar
acabar	encerrar/encerrar/finalizar/finalizar/concluir/concluir/terminar/terminar
acalmar	consolar/reconfortar/confortar/aliviar
acamar	aprumar
acatar	obedecer
aceitar	aturar/tolerar/consentir/aguentar/permitir/suportar/deixar
acenar	gesticular
acender	queimar
acentuar	exprimir/expressar/mostrar
acercar	vir
acertar	modificar/alterar/mudar
achar	balizar/conceitualizar/reganhar/conceber/determinar/avaliar/julgar/encontrar
aclamar	gesticular
acocorar	sentar-se/sentar
acocorar-se	sentar-se/sentar
acomodar	aferrar/enganchar
acompanhar	viajar/caminhar/ir/andar
aconchegar	aferrar/enganchar
aconselhar	declarar
acontecer	transmutar/transformar/mudar
acordar	tornar/virar/mudar
acorrer	apoiar/suportar/ajudar
acovardar	vergar/curvar/dobrar/torcer
acovardar-se	vergar/curvar/dobrar/torcer
actuar	desempenhar/apresentar/fazer
acumular	dispor/arranjar/reter/guardar/segurar/manter
acusar	clamar/declarar/criticar
adaptar-se	alterar/mudar
adequar-se	alterar/mudar
aderir	grudar/juntar
adiar	aguardar/reter/esperar
adicionar	enumerar/contar
adivinhar	aventurar/supor/pretender/especular
adjudicar	resolver/decidir
admirar	prezar/respeitar/venerar
admitir	consentir/consentir/permitir/permitir/deixar/deixar/julgar/declarar
adoptar	topar/tomar/aceitar/levar
adorar	gostar
adotar	topar/tomar/aceitar/levar
adquirir	comprar/obter/receber
advertir	informar
advogar	declarar
afagar	tratar/tocar/bater
aferroar	lesionar/lesar/ferir/machucar
afetar	modificar/alterar/mudar
afinar	acertar/ajustar/corrigir
afogar	perecer/falecer/expirar/morrer
afogar-se	perecer/falecer/expirar/morrer
afundar	descer/baixar/cair
agachar	sentar-se/sentar/vergar/curvar/dobrar/torcer
agarrar	capturar/segurar/pegar/tomar/pegar
agasalhar	tornar/virar/mudar
agastar	desgostar/desagradar
agavelar	dispor/arranjar
agitar	deslocar/deslocar/mover/mover/mexer/mexer/deslocar/mover
agradar	estar/ser/satisfazer
agradecer	transmitir/passar
aguentar	virar-se/consentir/lidar/sobreviver/permitir/deixar/agir/atuar/fazer
ajoelhar-se	repousar/descansar
ajudar	acorrer/socorrer/assistir/auxiliar/apoiar/suportar
ajustar	modificar/acertar/alterar/corrigir/mudar/alterar/mudar
alagar	completar/encher
alargar	modificar/alterar/mudar
alcançar	conseguir/suceder/estar/atingir
alertar	informar
alimentar	provisionar/alentar/prover/abastecer/encorajar/fornecer/servir
aliviar	desimpedir/livrar/remover
alojar	morar/povoar/habitar/viver
alongar	deslocar/mover/mexer/preservar/continuar/manter
