1940s	decênio/década
3d	película/cinema/filme/produção
a	caracter/caractér/carácter/letra
aba	fronteira/limite
abadia	monastério/mosteiro/convento/igrejas/igreja/templo
abandono	rejeição
abatedouro	prédio/edifício
abatimento	decréscimo/alteração/modificação/redução/variação/queda/diminuição/mudança
abc	princípio
abcesso	sintoma
abdicação	renúncia
abducção	mudança
abdução	mudança
abelha	vespa
abelha-macha	abelha/vespa
abelheiro	agricultor/fazendeiro
abelhão	abelha/vespa
abertura	introdução/buraco/mudança
ablação	cirurgia/operação
aboboreira	verdura/hortaliça/legume/vegetal
abolicionismo	doutrina/filosofia
abomaso	estomago/estômago
abortador	dr./doutor/médico
aborteiro	dr./doutor/médico
aborto	abortação/abortamento
abrasivo	materiais
abrasão	ferida/ferimento/lesão
abraçadeira	encosto/apoio/suporte
abreviatura	redução/sumário/diminuição/resumo
abreviação	sumário/resumo
abridor	alguém/indivíduo/alma/pessoa
abrigadouro	sebe/sebes
abrigo	alojamento/edifício/tecido/estrutura/casa
abrogador	autoridade
abscesso	sintoma
absenteísmo	ausência
absentismo	ausência
absolutismo	ascendencia/dominancia/ideologia/superioridade/controle/domínio
absorbância	densidade/densidade/concentração
abstracto	conceito/concepção/idéia/ideia
abstracção	conceito/concepção/idéia/ideia
abstrato	conceito/concepção/idéia/ideia
absurdez	disparate/insensatez/tolice/bobagem/besteira
absurdeza	disparate/insensatez/tolice/bobagem/besteira
absurdidade	disparate/insensatez/tolice/bobagem/besteira
absurdo	disparate/insensatez/tolice/bobagem/besteira/situação/condição
abusador	culpado
abóbada	telhado/teto
abóbora	verdura/hortaliça/legume/vegetal
acabador	trabalhador
academia	estabelecimento/instituição/instituto
acampamento	alojamento/locação/sítio/abrigo/lugar/casa
acantita	minérios/mineral
aceitação	aprovaçã0/atitude/situação/condição/aprovação
aceleração	alteração/modificação/variação/mudança
aceno	sinal
acento	tonicidade/ênfase
acepção	significância/significação/sentido/significado/intenção
acerola	baga/fruto/fruta
acesso	boca/entrada
acessório	componente/parte
achado	epifania/insight/lampejo
aciano	flor
aciaria	casademoinho/fábrica/manufatura/usina
ack-ack-ack	revóvel/revólver/arma
aclive	declive/declives/subida/encosta/costa/ladeira
acompanhamento	protecção/proteção/prato
acorde	tom/nota
acordes	tom/nota
acordo	consenso
acrobata	atleta/desportista
acréscimo	incremento/crescimento/aumento
actor	intérprete
actriz	actor/ator/artista/intérprete
actualização	notícias/informação
acumulação	incremento/acréscimo/crescimento/aumento
acusado	argüido/réu/suspeito
acusação	asserção
acácia	árvore/madeira
acção	feito/ato/ação
acúfeno	sintoma
acúmulo	colecção/coleção/aglomeração
adamantino	carbono
adaptabilidade	habilidade
aderência	apoio/suporte
adesão	apoio/suporte
adiamento	retardar/atraso/interrupção/adiar/suspensão/pausa
adicto	usuário
aditivos	adição/melhoria
adivinha	questão/problema
adivinhação	augúrio/agouro/presságio/questão/problema
adição	componente/parte
adjudicator	alguém/indivíduo/alma/pessoa
adjudicação	critica/juízo/julgamento
administrador	líder/gerente/cabeça/chefe/liderança/responsável
administração	gestão
admirador	alguém/proponente/indivíduo/defensor/advogado/alma/pessoa/representante
admiração	aprovaçã0/aprovação
adobe	argila/greda/tijolo
adobo	tijolo
adocracia	organização
adoptada	alguém/indivíduo/alma/pessoa
adoptado	alguém/indivíduo/alma/pessoa
adopção	aprovaçã0/aprovação
adotante	genitor/progenitor/pai/mãe
adoção	aprovaçã0/aprovação
adriça	toa/corda/cabo
adro	praça
adstringência	medicamento/remédio
aduana	tarifas
adulto	alguém/criatura/animal/besta/bicho/indivíduo/alma/pessoa/ser
adução	mudança
adversário	alguém/indivíduo/alma/pessoa
advogado	alguém/indivíduo/jurista/alma/pessoa/profissional
adágio	locução/provérbio/ditado/expressão/idioma
aerograma	missiva/carta
aeromoça	aeromoço/tafeiro
aeronáutica	física
aeroporto	infra-estrutura/instalação
aeródromo	infra-estrutura/instalação
afeição	abalo/comoção/emoção/sentimento
aficionado	alguém/indivíduo/alma/pessoa
afilhada	bebé/criancinha/nenê/recém-nascido/bebê
afilhado	bebé/criancinha/nenê/recém-nascido/bebê
afinidade	atratividade/parentesco/atração/relação
afirmacão	asserção
afirmação	asserção
aflição	problema
afloramento	rocha/pedra
afluente	córrego/corrente
aforismo	locução/provérbio/ditado/expressão/idioma
africano	alguém/indivíduo/alma/pessoa
afro-asiático	linguagem/idioma/língua
afronta	desfeita/ofensa/injúria
afta	ulceração/úlcera
afã	apetite/pretensão/anseio/desejo
agachamento	mudança
agenda	listagem/caderno/lista
agente	alguém/causador/indivíduo/alma/pessoa/causa/representante
agitação	mudança
agitprop	divulgação/propaganda
aglomeração	colecção/suma/coleção/acúmulo
agnado	parente
agnóstica	alguém/indivíduo/alma/pessoa
agnóstico	alguém/indivíduo/alma/pessoa
agoiro	augúrio/agouro/presságio
agon	celebração/festividade/festa
agonia	dor/tormento/tortura/angústia/martírio/dor
agonista	entorpecente/droga/medicamento/remédio
agora	actualidade/hoje/presente
agouro	augúrio/mensagem/presságio/comunicação
agradabilidade	prazer
agrado	agradecimento
agrafador	maquinaria/máquina
agregado	suma
agregador	alguém/indivíduo/alma/pessoa
agregação	suma
agressividade	disposição
agressor	culpado
agricultor	fazendeiro
agricultura	industria/ofício/empresa/negócio/comércio/profissão/ocupação/emprego/função/serviço/trabalho/lugar
agro-indústria	industria/empresa/negócio/comércio
agronegocio	industria/empresa/negócio/comércio
agronegócio	industria/empresa/negócio/comércio
agronomia	ciência
agrônomo	agricultor/fazendeiro/especialista
aguaceiro	vento/chuva
agudez	inteligência
agudeza	inteligência
agulha	torres/roque/torre
aipo	verdura/hortaliça/legume/vegetal
ajuda	dádiva/auxílio/brinde/dom/socorro/doação/assistência/presente/recurso
ajudante	criado/assistente/servidor/trabalhador
akrobata	atleta/desportista
ala	órgão
alargamento	foto/retrato/fotografia/imagem
alarme	sinal
alarmes	sinal
alavanca	barra
albedo	taxa/razão/proporção
albergaria	hotel
albergue	alojamento/hotel/abrigo/casa
albufeira	lago
album	livros/livro
albuminúria	sintoma
alcachofra	verdura/hortaliça/legume/vegetal
alcaide	magistrado/prefeito/jurista/juiz
alcalinos	metal/metais
alcance	grandeza/magnitude/número
alcaparra	arvoreta/arbusto/mato/moita
alce	cervidae/cervídeo/cervo/veado
alcoice	prédio/edifício
alcoolatra	consumidor
alcunha	antenome/prenome/nome
aldeã	habitante/morador
aldeão	habitante/morador
ale	cerveja
alecrim	erva
alegria	abalo/comoção/espírito/emoção/prazer/sentimento/humor
alelo	gene/genes/guen
alento	ar
aleurona	proteína
alfa	caracter/caractér/carácter/letra
alfabetismo	meta/técnica/habilidade/talento
alfabetização	meta/técnica/habilidade/talento
alfabeto	escrita
alfavaca	erva
alfândega	tarifas
