abacateiro	persea
abcaz	abecásia
abcásio	abecásia
abcázio	abecásia
abecásio	abecásia
abecázio	abecásia
abelha	apoidea
abelha-mestra	apoidea
abelha-operária	apoidea
abelha-rainha	apoidea
abelharuco	coraciiformes/paridae
abelmoschus	malvaceae
abelmosco	abelmoschus
abetarda	gruiformes/otididae
abeto	abies/pinaceae
abies	pinaceae
abricoque	prunus
abricote	prunus
abricó	prunus
abricó-do-pará	mammea
abrocoma	chinchillidae
abrocomidae	abrocoma
abronia	nyctaginaceae
abudefduf	pomacentridae
abutilon	malvaceae
abóbora	cucurbita
acadêmico	academia
acalypha	euphorbiaceae
acanguçu	panthera
acanthopterygii	teleostei
acanthuridae	perciformes
acanthurus	acanthuridae
accipiter	accipitridae
accipitridae	falconiformes
aceraceae	sapindales
aciano	centaurea
acinonyx	felino/felinos/felídeos
acinos	lamiaceae
acokanthera	apocynaceae
acompanhante	compromisso
aconitum	ranunculaceae
acoraceae	araceae
acrididae	orthoptera
acrocomia	arecaceae/palmeira
acrux	crux
actaea	ranunculaceae
actinidia	actinidiaceae
acípitre	accipitridae
acônito	aconitum
adansônia	baoba/baobá
adenanthera	mimosoideae
adlumia	fumariaceae
administração	autoridades/regime/governo
adonis	ranunculaceae
adônis	ranunculaceae
aegiceras	verbenaceae
aegilops	poaceae
aeonium	crassulaceae
aeronave	frota
aeroplano	frota
aesculus	hippocastanaceae
aethionema	brassicaceae
afegão	afeganistão
afrocarpus	podocarpaceae
agalinis	scrophulariaceae
agapornis	papagaio/psittacidae
agaricaceae	agaricales
agaricales	basidiomycota
agaricus	agaricaceae
agastache	lamiaceae
agathis	araucariaceae
agavaceae	liliales
agave	agavaceae
agelaius	icterini
agente	polícia/lei
ageratina	asteraceae
aglaonema	araceae
agnatha	craniata
agropyron	poaceae
agrostemma	caryophyllaceae
agrostis	poaceae
aguapé	pontederiaceae
aguá-viva	cnidarios/cnidários
ailuropoda	procionídeos
airão	ardeidae
aix	anatidae
aizoaceae	caryophyllales
ajuga	lamiaceae
alauda	alaudidae/cotovia
albanesa	albania/albânia
albanés	albania/albânia
albanês	albania/albânia
albricoque	prunus
alcachofra	cynara
alcaparra	capparis
alcatraz	sulidae/sulídeos
alcaçuz	glycirrhiza
alcea	malvaceae
aldebarã	taurus/touro
aldrovanda	droseraceae
alecrim	rosmarinus
alemanha	otan/ue
alemã	alemanha
alemão	alemanha
alerce	larix
aletris	liliaceae
aleurites	euphorbiaceae
alface	lactuca
alfarroba	ceratonia
alfarrobeira	ceratonia
alfavaca	ocimum
algeriano	algéria/argelia/argélia
algodoeiro	malvaceae
algodão	algodoeiro/gossypium
alguém	população/gente/pessoal/povo
algéria	opep
aliado	coalizão/coligação/aliança
alisma	alismataceae
alisso	lobularia
alliaceae	liliaceae
allionia	nyctaginaceae
allium	liliaceae
alma	população/gente/pessoal/povo
almeirão	asteraceae
alnus	betulaceae
alopecurus	poaceae
alosa	clupeidae
alouatta	cebídeos
alpaca	lama
alperce	prunus
alpinia	zingiberaceae
alsobia	gesneriaceae
alstonia	apocynaceae
alstroemeriaceae	liliaceae
altair	aquila
alternanthera	amarantaceae/amaranthaceae
aluno	audiências/ouvintes/público
alvéola	motacillinae
alyssum	brassicaceae
alytes	discoglossidae
amanita	agaricaceae
amante	seguidores
amarantaceae	caryophyllales
amaranthaceae	caryophyllales
amaranto	amarantaceae/amaranthaceae
amarena	eugenia
amargoseira	melia
