alfabeto	caracter/caractér/carácter/letra
algodoeiro	algodão
apoidea	abelha/vespa
armada	frota
arquipélago	ilha
associação	associado
autoridades	legislatura/departamento/divisão
aves	ave/pássaro
batalhão	companhia
biologia	flora/vegetação
biota	flora/vegetação
bosque	árvore
bovinos	bezerro/terneiro/vitelo
caminhos-de-ferro	automotora/locomotiva/vagões/automóvel/locomotivas/trem/vagão/carro/comboio/máquina
canídeos	canídeo/canídeo/cão/cão
cardume	peixe
carnivora	carnívoro
carnívoros	carnívoro/carnívoro
casal	cónjuge/consorte/cônjuge/esposa/esposo/marido/companheiro
casamento	cónjuge/consorte/cônjuge/esposa/esposo/marido/companheiro
cavalo	potro
clã	parente
cnidarios	celenterados
cnidários	celenterados/celenterados
comboio	automotora/locomotiva/vagões/automóvel/locomotivas/trem/vagão/carro/máquina
constelação	estrela
corpo	divisão
corte	júri/júri
cosmo	galáxia/nebulosa
craniata	vertebrado
criação	galáxia/nebulosa
dela	porquinho/leitão
dentadura	dentes/dente
dentama	dentes/dente
dentição	dentes/dente
echinoidea	ouriço-do-mar
eleitorado	voto
empresa	departamento/divisão
enxame	insectos/insetos/hemípteros/insecto/inseto
equidae	equino/equídeo/ungulados
equinoderme	equinodermo/equinodermos
equinodermes	equinodermo/equinodermos
equus	égua/cavalo
equídeos	equino/equídeo/ungulados
exército	militar/corpo/corpo
familia	parente
família	genitor/parente/progenitor/pai/criança/filho/mãe/menino
floresta	árvore
frota	taxi/aeronave/aeroplano/táxi/avião/embarcação/navios/navio/barco
fungi	fungo/fungos
fungos	fungo/fungo
gado	bezerro/ovinos/terneiro/vitelo/ovelha/carneiro
galáxia	estrela
gente	alguém/cidadã/cidadão/indivíduo/alma/pessoa/súdito/audiência/cidadão/espectador
gossypium	algodão
governo	legislatura/departamento/divisão
grei	ovinos/ovelha/carneiro
género	espécie/espécies/espécie
gênero	espécie/espécie/espécies/espécies/espécie/espécie
homem	população/gente/pessoal/povo
homens	time/equipe/partida
hominidae	hominídeo
humanidade	população/gente/pessoal/povo
hymenoptera	himenópteros
juizado	júri/júri
lei	policial/polícia/agente/guarda
lepidoptera	lagarta/larva
locomotivas	automotora/locomotiva/vagões/automóvel/trem/vagão/carro/comboio/máquina
manada	ovinos/ovelha/carneiro
marinha	frota
mata	árvore
molusco	moluscos
moluscos	molusco/molusco
mundo	galáxia/nebulosa/população/gente/pessoal/povo/audiência/espectador
mão-de-obra	time/equipe/partida
nação	província/estado/súdito/cidadão
nebulosa	estrela
nuvem	insectos/insetos/hemípteros/insecto/inseto
ocultismo	espirito
oculto	espirito
ordem	associado/família/classe
organização	associado/associação
ovis	ovinos/anho/cordeiro/ovelha/carneiro
país	província/estado
pessoal	alguém/indivíduo/alma/pessoa
placentalia	mamífero
placentários	mamífero/mamífero
plantae	flora/planta/vegetal
poaceae	ervas/gramínea/gramíneas/erva
polícia	policial/agente/guarda
população	alguém/cidadã/cidadão/indivíduo/alma/pessoa
povo	alguém/cidadã/cidadão/indivíduo/alma/população/gente/pessoa/pessoal/súdito/audiência/cidadão/espectador
primatas	primata/primata
protozoários	protozoário
rebanho	ovinos/ovinos/ovelha/ovelha/carneiro/carneiro
regime	legislatura/departamento/divisão
reino	filo/filo
ruminantia	ruminantes/ruminante
seu	porquinho/leitão
sobrenatural	espirito
sociedade	associado
sororidade	soror/irmã
série	número
terra	província/estado
trem	automotora/locomotiva/vagões/automóvel/locomotivas/vagão/carro/comboio/máquina
tribo	parente
tribunal	júri/júri
universo	galáxia/nebulosa
união	associado
vacas	bezerro/terneiro/vitelo
égua	potro

