accipitridae	águia/águias/águia
alfabeto	caracter/caractér/carácter/letra
aliança	aliado
anatidae	anás/pato/pata
apoidea	abelha/vespa
aranhas	aranha
arecaceae	palma/palmeira
arquipélago	ilha
autoridades	legislatura/departamento/divisão
aves	ave/pássaro
biologia	flora/vegetação
biota	flora/vegetação
boda	noiva
bos	vacas/bovinos/gado
bosque	árvore
bovinos	bezerro/terneiro/vitelo
caminhos-de-ferro	automotora/locomotiva/vagões/automóvel/locomotivas/trem/vagão/carro/comboio/máquina
canis	cachorro/loba/lobo/cão
capra	bode/cabrito/cabra/bode
cardume	peixe
carvalho	carvalho-vermelho
casal	cónjuge/consorte/cônjuge/esposa/esposo/marido/companheiro
casamento	cónjuge/consorte/cônjuge/esposa/esposo/marido/noiva/companheiro
clã	parente
coalizão	aliado
coligação	aliado
columbidae	pomba/pombo
comboio	automotora/locomotiva/vagões/automóvel/locomotivas/trem/vagão/carro/máquina
comité	director/diretor
comitê	director/diretor
companhia	elenco
compromisso	ficante/acompanhante
conselho	director/diretor
corpo	divisão
corte	júri/júri
coruja	bufo/corujas/corujão/estrige/mocho/strigiformes
cosmo	galáxia/nebulosa
criação	galáxia/nebulosa
dela	sus/suíno/porco
dentadura	dentes/dente
dentama	dentes/dente
dentição	dentes/dente
eleitorado	constituintes/eleitor/eleitores/votante/votantes
empresa	departamento/divisão
enxame	insectos/insetos/hemípteros/insecto/inseto
equus	égua/cavalo
espécie	cepa/cepa/estirpe/estirpe/variante/variante
espécies	cepa/estirpe/variante
familia	parente
família	genitor/parente/progenitor/pai/criança/filho/mãe/menino
feminismo	feminista
floresta	árvore
frota	autocarro/taxi/ônibus/aeronave/aeroplano/táxi/avião
gado	bezerro/ovinos/terneiro/vacas/vitelo/bovinos/ovelha/carneiro
gente	alguém/cidadã/cidadão/indivíduo/alma/pessoa
governo	legislatura/departamento/divisão
grei	ovinos/vacas/bovinos/gado/ovelha/carneiro
grupo	livro
género	espécie/espécies/espécie
gênero	espécie/espécie/espécies/espécies/espécie/espécie
homem	população/gente/pessoal/povo
humanidade	população/gente/pessoal/povo
jogo	livro
juizado	júri/júri
junta	director/diretor
lei	policial/polícia/agente/guarda
locomotivas	automotora/locomotiva/vagões/automóvel/trem/vagão/carro/comboio/máquina
lírio	açucena
manada	ovinos/vacas/bovinos/gado/ovelha/carneiro
mata	árvore
matilha	cachorro/cão
mitologia	mito/mito/lenda/lenda
mundo	galáxia/nebulosa/população/gente/pessoal/povo
nação	província/estado
nuvem	insectos/insetos/hemípteros/insecto/inseto
ovis	ovinos/anho/cordeiro/ovelha/carneiro
palmeira	palma
panthera	leão/leopardo/tigre/onça
país	província/estado
pessoal	alguém/elenco/indivíduo/alma/pessoa
piper	pimenta-do-reino/pimenta-preta
plantae	flora/planta/vegetal
polícia	policial/agente/guarda
população	alguém/cidadã/cidadão/indivíduo/alma/pessoa
povo	alguém/cidadã/cidadão/indivíduo/alma/população/gente/pessoa/pessoal
quercus	carvalho-vermelho/carvalho
rebanho	ovinos/ovinos/vacas/bovinos/gado/ovelha/ovelha/carneiro/carneiro
regime	legislatura/departamento/divisão
salmonidae	salmão
seguidores	amante
seu	sus/suíno/porco
solanum	batata
strigiformes	bufo/corujas/corujão/estrige/mocho/coruja
sócios	sócio/parceiro
tabela	coluna/bicha
talpidae	topeira/toupeira
terra	província/estado
toupeira	topeira
trem	automotora/locomotiva/vagões/automóvel/locomotivas/vagão/carro/comboio/máquina
tribo	parente
tribunal	júri/júri
tripulação	equipagem/equipe
universidade	faculdade/instituto/escola
universo	galáxia/nebulosa
vacas	bezerro/terneiro/vitelo

