abecásia	abcaz/abcázio/abecásio/abcásio/abecázio
abelharuco	merops
abelmoschus	abelmosco/quiabeiro/quiabo
abeto	pinheiro
abies	abeto/pinheiro
abissínia	etíope
abrocoma	abrocomidae
abudefduf	castanheta-das-rochas
academia	acadêmico
acanthaceae	graptophyllum/thunbergia
acanthopterygii	perciformes
acanthuridae	acanthurus
accipiter	açor/falcão-do-tanoeiro
accipitridae	águia/águias/águia/accipiter/acípitre/buteo/circaetus/gavião/gavião/gyps/haliaeetus/milhafre/milvus/pernis/aquila/milhafre
aceraceae	dipteronia
acinonyx	chita/guepardo
acipenser	esturjão-branco
aconitum	acônito
acoraceae	açoro
actinidia	quivi
actinidiaceae	actinidia
adenanthera	carolina/carolina
administração	diretoria
aesculus	castanheiro-da-índia
afeganistão	afegão
agapornis	periquito-namorado
agaricaceae	agaricus/amanita/coprinus/pleurotus
agaricales	agaricaceae
agavaceae	agave/cordyline/nolina/pita/polianthes/piteira
aglomeração	nécton/plancton/plâncton
agnatha	anaspida/cyclostomata
agregado	nécton/plancton/plâncton
agregação	nécton/plancton/plâncton
ailuropoda	panda/panda-gigante
aix	pato-carolino
aizoaceae	carpobrotus/mesembryanthemum/pleiospilos/tetragonia
alauda	calhandra/cotovia/laverca/paspalhaça/calandra
alaudidae	alauda
albania	albanesa/albanés/albanês
albânia	albanesa/albanés/albanês
alectoris	perdiz-grega
alemanha	alemã/alemão
alfabeto	caracter/caractér/carácter/letra
algodoeiro	algodão
algéria	algeriano/argelino
aliança	aliado
alismataceae	alisma/sagittaria
alnus	amieiro/amieiro/amieiro
alosa	sável
amarantaceae	alternanthera/amaranto/celosia/gomphrena/amaranto
amaranthaceae	alternanthera/amaranto/celosia/gomphrena/amaranto
amaryllidaceae	amarílis/bomarea/haemanthus
américa	estado-unidense/norte-americano
anacardiaceae	anacardium/astronium/cotinus/pistacia/rhus/schinus/spondias/toxicodendron
anacardium	caju
anas	pato-real/verde-azulado/patinho
anatidae	anás/pato/pata/aix/anas/anser/anserinae/aythya/branta/cisne/gansa/merginae/tadorna/zarro/cisne/ganso
andorinha	delichon/hirundo
andorinhão	collocalia/gaivão/apus
andorra	andorrano/andorrense
angiosperma	angiospérmica/magnoliopsida
angola	hereros/hererós/angolano/angolense
annonaceae	annona/oxandra/xylopia
anoplura	sem-vergonha/piolho
anseriformes	anhimidae/anhimidae/anatidae/anatidae
antígua	antiguano
aphididae	aphis
apiaceae	anthriscus/apium/carum/cicuta/conium/daucus/eryngium/foeniculum/myrrhis/petroselinum/pimpinella/sanicula/sium/oenanthe
apidae	psithyrus
aplysiidae	aplysia
apocynaceae	acokanthera/alstonia/amsonia/apocynum/catharanthus/dipladenia/plumeria/rosa-do-deserto/tabernaemontana/thevetia/trachelospermum/vinca
apodidae	collocalia/gaivão/apus
apodiformes	andorinhão/apodidae/hemiprocnidae
apoidea	abelha/vespa/abelha-mestra/abelha-operária/abelha-rainha/andrenidae/apidae
aptenodytes	pinguim-imperador/pinguim-rei
aquifoliaceae	ilex
aquila	altair/águia-rapace/águia-real
araceae	aglaonema/arisaema/arisarum/calla/colocasia/dieffenbachia/dracunculus/epipremnum/lysichiton/orontium/peltandra/scindapsus/syngonium/xanthosoma/zantedeschia/acoraceae/acoraceae
arachis	amendoim
arales	araceae
araliaceae	meryta/schefflera
aranha	aranha-lobo/lycosidae/theraphosidae/tarântula
aranha-lobo	lycosa
aranhas	aranha/aranha-lobo/lycosidae/theraphosidae/tarântula
araucariaceae	agathis
arctium	bardana
ardeidae	airão/ardea/botaurus/egretta/garça/ixobrychus/nycticorax
arecaceae	palma/palmeira/acrocomia/arenga/attalea/borassus/caryota/ceroxylon/copernicia/corypha/livistona/metroxylon/palha-da-costa/rhapis/roystonea/sabal/thrinax/fénix/fênix
arecidae	arales/pandanales
argelia	algeriano/argelino
argentina	argentino
argélia	algeriano/argelino
ariidae	arius
aristocracia	aristocrata/patrício
aristolochiaceae	aristolochia/asarum
aristolochiales	aristolochiaceae/hydnoraceae/rafflesiaceae
armada	frota
arménia	armênio
armênia	armênio
arquipélago	ilha
artamidae	artamus/cracticus/strepera
artamini	artamus
artocarpus	fruta-pão/jaca/jaca
arundo	cana-do-reino
arábia	árabe
asean	birmânia/brunei/indonesia/indonésia/lao/laos/laus/malasia/malásia/miamar/mianmar/mianmá/miãmar/myanmar/tailândia/vietname/vietnã/camboja/filipinas/sião/cingapura/singapura
aspalathus	rooibos/rooibos
associação	associado
asteraceae	ageratina/amberboa/anacyclus/anaphalis/antennaria/anthemis/arctium/arctotis/argyranthemum/argyroxiphium/baccharis/balsamorhiza/bellis/bidens/boltonia/brickellia/buphthalmum/cacalia/cardo/carduus/carthamus/centaurea/chamaemelum/chrysothamnus/cirsium/cnicus/conoclinium/conyza/cotula/craspedia/crepis/cynara/delairea/dendranthema/doronicum/echinacea/echinops/elephantopus/encelia/enceliopsis/erigeron/eriophyllum/eupatorium/felicia/gerbera/gnaphalium/grindelia/gutierrezia/gynura/gérbera/haplopappus/hazardia/helenium/helichrysum/helipterum/homogyne/hulsea/hyalosperma/hypochaeris/lactuca/lasthenia/layia/leontopodium/leucanthemum/liatris/ligularia/machaeranthera/madia/magydaris/matricaria/matricária/melampodium/mikania/olearia/onopordum/ozothamnus/packera/parthenium/pericallis/petasites/picris/pilosella/prenanthes/pulicaria/ratibida/rudbeckia/santolina/sanvitalia/saussurea/scolymus/senecio/silybum/sonchus/stokesia/tanacetum/townsendia/tripleurospermum/verbesina/almeirão/artemísia/crisântemo/dente-de-leão
asteridae	campanulales/rubiales
atenas	platao/platão/ateniense
atriplex	atríplex
atropa	beladona
audiências	auditor/ouvinte/aluno
australopithecus	lucy
austrália	australiano
autoridades	legislatura/departamento/divisão/burocracia/juizado/administração
aves	ave/pássaro/anseriformes/anseriformes/apodiformes/caprimulgiformes/caprimulgiformes/charadriiformes/ciconiiformes/columbiformes/coraciiformes/cuculiformes/falconiformes/galliformes/gruiformes/pelecaniformes/pelecaniformes/piciformes/procellariiformes/trogoniformes/coruja/podicipedidae/strigiformes
azadirachta	neem
bahrain	bareinita
bahrein	bareinita
balaenoptera	baleia-anã/baleia-azul/baleia-comum/baleia-sei/grande-rorqual/rorqual-azul
balaenopteridae	balaenoptera/baleia-jubarte
balcãs	balcânico
baleia-franca	eubalaena
balistidae	monacanthidae
bangladeche	bangladeshi
bangladesh	bangladeshi
baoba	adansônia/baobabe/baobá/embondeiro
baobá	adansônia/baobabe/embondeiro
baralho	naipe/carta/dama
barbados	barbadiano
bareine	bareinita
barém	bareinita
basidiomycota	agaricales
bassariscus	bassarisco
batalhão	companhia
bathyergidae	bathyergus
belarus	bielorrusso
bellis	mal-me-quer/margarida-vulgar/margaridinha/margarida
belonidae	gar/lepisosteiformes
benelux	bélgica/bélgica/holanda/holanda/holando/holando/neerlândia/neerlândia/luxemburgo/luxemburgo
berberidaceae	berberis/bérberis/caulophyllum/epimedium/mahonia/podophyllum
berberis	bérberis/uva-espim
bermudas	bermudense
beta	beterraba
betulaceae	alnus/carpinus/corylus/ostrya/ostryopsis/bétula
bicuda	gar/lepisosteiformes
bielorrussia	bielorrusso
bielorrússia	bielorrusso
bignoniaceae	bignonia/chilopsis/crescentia
biologia	flora/vegetação/fauna/zoologia
biota	flora/vegetação/fauna/zoologia
birmânia	birmanês
bisâncio	bizantino
bivalves	pectinidae/tridacnidae/unionidae/vieira
bivalvia	pectinidae/tridacnidae/unionidae/vieira
bizâncio	bizantino
blattidae	periplaneta
boda	noiva/namorado/noivo
boehmeria	rami
boidae	jibóia
bolívia	boliviano
bombacaceae	baoba/baobá/bombax/ceiba/durio/pseudobombax
bombax	paineira-vermelha-da-índia
boraginaceae	borago/cordia/cynoglossum/echium/hackelia/lithospermum/mertensia/myosotis
borago	borragem
bos	vacas/bovinos/gado/brâman/iaque/zebu/zebu/auroque/boi/boi/bovinos
bosque	árvore
botsuana	hereros/hererós
botswana	hereros/hererós
bovinos	bezerro/terneiro/vitelo
bovídeos	bos/bovinae/capra/ovis/palanca/tragelaphus/bovinos/búfalo/búfalo
boötes	arcturus
branco	caucasiano
brancos	caucasiano/branco
branta	ganso-do-canadá
brasil	brasileira/brasileiro
brassica	mostarda-castanha/mostarda-preta/mostarda-preta/colza/couve-de-folhas/couve-nabo/brócolis/nabo/repolho/sinapis/couve/couve
brassicaceae	aethionema/alyssum/arabidopsis/arabis/barbarea/biscutella/brassica/cakile/camelina/capsella/cardamine/cheiranthus/cochlearia/crambe/dentaria/descurainia/diplotaxis/erysimum/iberis/isatis/lepidium/lesquerella/lobularia/lunaria/malcolmia/matthiola/raphanus/rorippa/sinapis/stanleya/stephanomeria/subularia/thlaspi/thysanocarpus/wasabi/mastruço/mastruço
bromeliaceae	bromelia/tillandsia
bryophyta	briófita/briófitas/bryopsida
bucerotidae	calau
bucerotiformes	calau
budismo	budistas/budista
bufonidae	sapo
bulgaria	búlgaro
bulgária	búlgaro
burguesia	burguesa/burguês
burseraceae	boswellia/bursera/commiphora/protium
burundi	hutus/hútus/tutsis/tútsis/burundiano
burúndi	burundi/hutus/hútus/tutsis/tútsis/burundiano
butao	butanês
buteo	milhafre
butã	butanês
butão	butanês
buxaceae	buxus
buxus	buxo
bélgica	belga
bérberis	uva-espim
búfalo	búfalo-asiático
cabombaceae	brasenia/cabomba
cacatua	catatua
caeciliidae	gimnofiono/gymnophiona
caenolestidae	caenolestes
caesalpinioideae	bauhinia/brachystegia/caesalpinia/cassia/ceratonia/cercidium/flamboyant/gleditsia/gymnocladus/haematoxylum
cafeeiro	café
calycanthaceae	calycanthus/chimonanthus
camboja	khmer
caminhos-de-ferro	automotora/locomotiva/vagões/automóvel/locomotivas/trem/vagão/carro/comboio/máquina
campanulales	asteraceae/campanulaceae/cucurbitaceae/goodeniaceae
campephilus	pica-pau-bico-de-marfim
canada	canadense/canadiano
canadá	canadense/canadiano
canavalia	feijão-de-porco
canis	cachorro/loba/lobo/cão/chacal
canídeos	canis/canis/canídeo/canídeo/nyctereutes/nyctereutes/raposas/raposas/urocyon/urocyon/vulpes/vulpes/cão/cão
capparis	alcaparra
capra	bode/cabrito/cabra/bode
caprifoliaceae	diervilla/leycesteria/linnaea/lonicera/sabugueiro/symphoricarpos/viburnum
caprimulgiformes	podargidae/podargidae
caprimulgus	noitibó-da-europa
capsella	bolsa-de-pastor
carduelis	pintasilgo
cardume	peixe
carica	mamão
caricaceae	carica/cárica
carina	canopus
carnivora	canídeos/canídeos/felino/felinos/felídeos/mustelídeos/procionídeos/procionídeos/viverrinae/mustelídeos/carnívoro
carnívoros	canídeos/canídeos/canídeos/canídeos/felino/felino/felinos/felinos/felídeos/felídeos/mustelídeos/mustelídeos/procionídeos/procionídeos/procionídeos/procionídeos/viverrinae/viverrinae/mustelídeos/mustelídeos/carnívoro/carnívoro
carpinus	carpino
carpobrotus	chorão-das-praias
carthamus	açafrão-bastardo
carvalho	carvalho-vermelho
carya	nogueira-pecã
caryocaraceae	caryocar
caryophyllaceae	agrostemma/arenaria/cerastium/dianthus/gypsophila/minuartia/moehringia/sagina/saponaria/scleranthus/spergula/spergularia/stellaria
caryophyllales	aizoaceae/amarantaceae/amaranthaceae/caryophyllaceae/nyctaginaceae/phytolaccaceae/portulacaceae
caryophyllidae	caryophyllales
casal	cónjuge/consorte/cônjuge/esposa/esposo/marido/companheiro
casamento	cónjuge/consorte/cônjuge/esposa/esposo/marido/noiva/companheiro/namorado/noivo
castores	castor-gigante/rodízio/castor
castoridae	castor-gigante/rodízio/castor
cathartidae	cathartes
catolicismo	católico
catostomidae	catostomus
cavalaria	companhia
cavalo	potro
caviidae	cavia
cebus	macaco-prego-de-cara-branca
cebídeos	alouatta/aotus/ateles/cebus/titi/uacari
cedrela	cedro-cheiroso
cedro-do-incenso	cedro-do-incenso-da-califórnia
cei	arménia/armênia/azerbaijão/azerbeijão/belarus/bielorrussia/bielorrússia/casaquistão/cazaquistao/cazaquistão/moldávia/quirguistao/quirguistão/quirguizistão/tadjiquistão/tajiquistão/turcomenistão/turquemenistão/ucrania/ucránia/ucrânia/usbequistão/uzbekistan/uzbequistao/uzbequistão/quirguiz/geórgia/rússia
ceilão	cingalês
celastraceae	celastrus/euonymus
celosia	crista
centaurea	aciano
centropomidae	centropomus/lates
cephalotaxaceae	cephalotaxus/torreya
ceratonia	alfarroba/alfarrobeira
ceratopsia	ceratopsidae
certhiidae	certhia
cervus	uapiti/cervo/veados/veado
cestoda	helmintologia/verme
cestrum	jasmim-da-noite
cetáceos	monodontidae/monodontidae
chaetodontidae	pomacanthus
chamaecyparis	cedro-do-oregon
chamaeleo	camaleão-comum
chamaemelum	camomila-romana/camomila-romana/camomila
channidae	cabeça-de-cobra
characidae	paracheirodon/pirambeba
charadriidae	charadrius/pluvialis
charadriiformes	haematopus/torda
charophyceae	charales/desmidiaceae
checoslovaquia	checoslovaco/tchecoslovaco
checoslováquia	checoslovaco/tchecoslovaco
chelicerata	merostomata
chile	chileno
chimpanzé	bonobo/chimpanzé-comum/pongo
china	chinesa/chinês
chinchillidae	abrocoma/lagidium/lagostomus
chipre	chipriano/cipriota
chlamydomonadaceae	chlamydomonas
chlamydomonadales	chlamydomonadaceae/volvocaceae
chlorophyceae	chlamydomonadales/chlorococcales/oedogoniales/ulvales/zygnematales
chlorophyta	charophyceae/chlorophyceae/ulvophyceae
chondrichthyes	elasmobranchii
chrysochloridae	chrysochloris
chrysophyllum	caimito
cichlidae	tilapia
ciconia	cegonha
ciconiiformes	ardeidae/phoenicopteridae/threskiornithidae
cingapura	singapuriano/singapurense
cinnamomum	caneleira/cânfora/canela
cistaceae	cistus/hudsonia
citrullus	melancieira/melancia
classe	arenavirus/arenavírus/bunyaviridae/flaviviridae/gênero/rhabdovirus/rhabdovírus/flavivírus/tribo/gênero/género/ordem
clero	pároco/sacerdote/clérigo/pastor
clethraceae	clethra
clupeidae	alosa
clusiaceae	calophyllum/garcinia/hypericum/mammea/mesua
clã	parente
cnidarios	aguá-viva/anthozoa/celenterados/hydrozoa/scyphozoa/medusa/medusa/pólipo
cnidários	aguá-viva/aguá-viva/anthozoa/anthozoa/celenterados/celenterados/hydrozoa/hydrozoa/scyphozoa/scyphozoa/medusa/medusa/medusa/medusa/pólipo/pólipo
coalizão	aliado
coccinellidae	coccinela/joaninha
coligação	aliado
colombia	colombiano
colubridae	coluber/colubrídeos/natrix/nebelia/sonora
columba	pombo-comum
columbidae	pomba/pombo/columba/rola/rôla/streptopelia
columbiformes	columbidae
colégio	mestre/professor
colómbia	colombiano
colômbia	colombiano
comboio	automotora/locomotiva/vagões/automóvel/locomotivas/trem/vagão/carro/máquina
combretaceae	conocarpus/laguncularia
comissão	comissário
comité	director/diretor/comissário
comitê	director/diretor/comissário
commelinaceae	tradescantia
commelinales	bromeliaceae/commelinaceae/eriocaulaceae/pontederiaceae/rapateaceae/xyridaceae
commelinidae	commelinales
companhia	elenco/pelotão
compromisso	ficante/acompanhante
concílio	vereador
congo-kinshasa	congolense/congolês/zairense
congridae	congro
conium	cicuta
conjugação	verbo
conselho	director/diretor
constelação	asterismo/estrela
construtivismo	construtivista/construtivista
convolvulaceae	argyreia/calystegia/cuscuta/ipomoea
coníferas	araucariaceae/cephalotaxaceae/cupressaceae/pinaceae/podocarpaceae/taxaceae
copernicia	carandá/carnaúba
coracias	rolieiro-europeu
coraciidae	coracias
coraciiformes	abelharuco/bucerotidae/bucerotiformes/coraciidae/juruva/meropidae/momotidae/phoeniculidae/todidae
cordados	cephalochordata/craniata
cordylidae	cordylus
cornaceae	aucuba/cornus/griseliniaceae/helwingiaceae
coro	coralista
coros	coralista
corpo	divisão/milícia/tropas/exército
corte	júri/júri
coruja	bufo/corujas/corujão/estrige/mocho/strigiformes/strigidae/tytonidae
corvidae	pica
corylus	avelã
coryphaenidae	golfinho
cosmo	galáxia/nebulosa
cotingidae	procnias/rupicola
cotovia	alauda
cottidae	cottus
coveite	kuwaiti
coven	bruxa/bruxa/bruxo/bruxo
cracidae	penelope
craniata	agnatha/amniota/aves/channidae/chondrichthyes/gnatostomados/osteichthyes/vertebrado
crassulaceae	aeonium/crassula
crataegus	estrepeiro/pilreteiro/pilriteiro/pirilteiro/possa
creta	cretense
criação	galáxia/nebulosa
cricetidae	arvicola/baiomys/lemingue/lêmingue/lêmingue/mesocricetus/microtus/oryzomys/peromyscus/reithrodontomys
cristianismo	cristã/cristão/cristãos/cristão
croacia	croata/croatas
crocodilianos	crocodilo/jacaré
crocodilo	crocodylus
crocodilos	crocodilo/jacaré
crocodylus	crocodilo
crotalus	cascavel-chifruda
croácia	croata/croatas
crux	acrux/becrux
ctenophora	nuda/tentaculata
cuaite	kuwaiti
cuba	cubano/cubano
cubismo	cubista
cuculiformes	musophagidae/musophagiformes
cucumis	pepino
