abacateiro	abacate
abacaxi	ananás
abampère	ampere/ampere/ampère
abcesso	cabeça
abdome	intestino/intestinos/barriga/umbigo/abdómen/barriga
abdómen	intestino/intestinos/barriga/umbigo/barriga
abdômen	intestino/intestinos/barriga/umbigo/abdómen/barriga
abscesso	cabeça
acesso	portas/umbral/limiar/porta/portão
aciaria	alto-forno
acordo	termo/condição
acromegalia	hiperpituitarismo/hiperpituitarismo
acumulador	anodo/ânodo
acumuladores	anodo/eletrodo/ânodo
adaga	empunhadura/punho/cabo
adar	purim
adjectivo	adjetivo
adjetivo	adjectivo
administração	hierarquia
adn	gene/genes/genes/guen
adolescência	puberdade
adutora	arco/arco
aeroespaço	lugar
aeronave	camarote/focinhos/gondola/tromba/focinho
aeroplano	acelerador/ala/asa/camarote/capô/focinhos/fuselagem/pára-brisa/tromba/capuz/coberta/focinho
aeroporto	hangar/hangar/taxiway/pista
aeródromo	hangar/hangar/taxiway/pista
afeganistão	cabul/herat/hindukush/indocuche/jalalabad/kandahar/pamir
afgani	pul
africa	abissínia/angola/benim/benin/botsuana/botswana/burundi/burúndi/congo-brazzaville/congo-kinshasa/daomé/egipto/etiopia/etiópia/gabao/gabão/gana/guiné/guiné-bissau/gâmbia/lesoto/libéria/líbia/magrebe/malaui/malavi/malawi/mali/malávi/mauritania/mauritânia/moçambique/máli/namibia/namíbia/niger/nigeria/nigéria/quenia/quénia/quênia/rodésia/ruanda/saara/senegal/somalia/somália/suazilandia/suazilândia/sudao/sudão/tanganyika/tanzania/tanzânia/togo/uganda/zimbabué/zimbabwe/zimbábue/zimbábwe/zâmbia/barbária/camarões/djibouti/djibuti/egito/jibuti/madagascar/madagáscar/níger/núbia/chade/chade
agricultura	colheita
agulha	ponta/buraco
aipo	ápio/salsão
al-corão	sura/sura
ala	aileron/pluma/pena
alabama	decatur/mobile/montgomery/selma/birmingham
alasca	aleutas/juneau/skagway/nome
alavanca	fulcro
albania	durrës/tirana/épiro
alberta	calgary/edmonton
albânia	durrës/tirana/épiro
alcorão	sura
alemanha	aachen/aquisgrano/baviera/berlim/bona/bonn/bransvique/braunschweig/bremen/bremerhaven/chemnitz/colónia/colônia/dachau/danúbio/dortmund/dresden/dusseldorf/düsseldorf/essen/estugarda/frankfurt/frankfurt-am-main/hamburg/hamburgo/hamelin/hanóver/hanôver/leipzig/lubeck/lípsia/lübeck/mannheim/nuremberga/potsdam/prussia/prússia/renânia/rostock/solingen/turíngia/weimar/wurtzburgo/reno
alfarrobeira	alfarroba
alfinete	ponta
alfândega	engranzamento/paica/eme
alguidar	cóccix/púbis/púbis/sacro/ílio/ísquio/ilíaco/quadril
alguém	temperamento/anatomia/carne/personalidade/pessoa/corpo
algéria	annaba/argel/blida/hipona/orã/reggane/timgad
alho	alho-porro/alho-porro/alho-porró/alho-porrô/alho-poró/porro
alimentação	mastigação
alimento	comida
alma	temperamento/anatomia/carne/personalidade/pessoa/corpo
alpes	matterhorn
altimetro	aneróide
altímetro	aneróide
alvéolo	favo
alça	mira/visor
ameijoa	amêijoa
ameixa	amêixoa/nêspera
ameixeira	amêixoa/ameixa
ameixoeira	amêixoa/ameixa
amendoeira	amêndoa/mígala
amendoim	ginguba/aráquida
amoreira	amora
américa	alasca/arizona/arkansas/florida/flórida/idaho/illinois/illinóis/kentucky/maine/michigan/minesota/minnesota/mississippi/mississíppi/montana/nebrasca/nebraska/nevada/oregon/utah/vermont/wisconsin/wyoming/arcansas/california/califórnia/connecticut/havaí/luisiana/massachusetts/missouri/oklahoma/sul/virgínia/colorado/delaware/geórgia/indiana/iowa/kansas/maryland/ohio/ohio/pensilvânia/tennessee/alabama/texas/washington/norte
anaheim	disneyland/disneylând/disneylândia
ananás	abacaxi
anatidae	pato
anatolia	bitínia/capadocia/capadócia/eólia/frígia/jonia/jónia/jônia/lícia/lídia/troia/tróia/turquia/éfeso
anatomia	corpo
anatólia	bitínia/capadocia/capadócia/eólia/frígia/jonia/jónia/jônia/lícia/lídia/troia/tróia/turquia/éfeso
anca	fémur/fémur/fêmur/glúteo/quadril
andaluzia	granada
andes	aconcágua/ancohuma/bonete/cachi/huascaran/huascarán/illampu/illimani/llullaillaco/mercedario/tupungato/yerupaja
angiosperma	florada/flor/floração
angiospérmica	florada/flor/floração
angola	huambo/lobito/luanda/zambeze
angstrom	picometro
angström	picometro
animal	cabeça/face/rosto/cara
anis	erva-doce
anjo	ala/asa
ano	sazão/semestre/estação/tempo/período/mês/semestre/trimestre/trimestre
anoitecer	crepúsculo/pôr-do-sol/poente/crepúsculo
ante-braço	cúbito/ulna/rádio
antebraço	cúbito/cúbito/ulna/ulna/rádio/rádio
antigénio	epitopo/epítopo
antilhas	grandesantilhas/pequenasantilhas
antropologia	estruturalismo/estruturalismo/estruturalismo/estruturalismo
antígeno	epitopo/epítopo
anás	pato
aparelhador	gaveta/prateleira/estante/caixa
apartamento	quitinete
apiário	colméia/cortiço
aposento	assoalho/muralha/muro/pavimento/piso/chão/dormitório/parede/teto/cozinha/quarto/banheiro/camarim/gabinete/refeitório/salão/banheiro/sala/sala
apostema	cabeça
apresentação	atuação/representação/interpretação
apulia	bari
apúlia	bari
aqua-lung	cilindro
aqualung	cilindro
aquecimento	caldeira/caldeiras/aquecedor
aqueduto	arco/arco
aquedutos	arco/arco/arco/arco
ar	estratosfera/exosfera/exosfera/ionosfera/mesosfera/termosfera/troposfera
arapuca	ardil/isca
arca	tampa
arcada	arco/arco
arco	flecha/seta/aduela/aduela/aduela/aduela/chave/chave/chave/chave
arena	gramado/campo/arquibancada
argelia	annaba/argel/blida/hipona/orã/reggane/timgad
argentina	aconcágua/andes/bonete/cachi/llullaillaco/mercedario/mörön/paraná/patagónia/patagônia/rosario/rosário/tupungato/córdova
argélia	annaba/argel/blida/hipona/orã/reggane/timgad
aria	frase
arizona	phoenix/colorado
arkansas	arcansas
arma	armamento/tubo/extrator/alça/cano/cartucho/gatilho
armadilha	ardil/isca
armamento	arma
armação	óculos
armário	gaveta/prateleira/prateleira/estante/estante/caixa
arménia	erevan/erevan
armênia	erevan/erevan
arreio	breio/brida/entrave/pôrfreioem/estribo/flange
arruda	ruta
artelho	astrágalo/tálus/tálus/unha
artropode	cuticula/cutícula/carapaça/tórax/concha
artrópode	cuticula/cutícula/carapaça/tórax/concha
artrópodes	cuticula/cutícula/carapaça/tórax/concha
arábia	hejaz/iemen/iémen/iêmen/néjede/oman/omã/catar/qatar
arão	árum
aríete	chifre/corno
asa	aileron/pluma/pena
ascensor	elevador
asfixia	hipercapnia/hipóxia
asma	broncoespasmo/broncoespasmo/broncospasmo/broncospasmo
aspargo	espargo
aspárago	aspargo/espargo
assento	pé/espaldar/cadeira
assiria	assur/ninive/nínive
assíria	assur/ninive/nínive
astronave	camarote/módulo
atacador	agulheta
atadura	gaze
atenas	areópago/partenon/parténon/pártenon
atlas	gazetteer/gazetteer
atlântico	bermudas/groenlândia/gronelandia/gronelândia/groênlandia/islandia/shetland/tenerife/terranova/órcades/islândia
