balançar	embalar/sacudir
cobrir	tratar
dar	deixar
deixar	legar/entregar/passar/dar
embalar	balançar/sacudir
encontrar	reunir/ver
endereçar	tratar
entregar	deixar
expirar	morrer
falar	tratar
falecer	morrer
legar	deixar
levar	transportar/trazer/trazer/tirar
lidar	tratar
morrer	perecer/falecer/expirar
passar	deixar
pedir	reservar/segurar
perecer	morrer
reservar	pedir
reunir	encontrar/ver
sacudir	balançar/embalar
segurar	pedir
tirar	trazer/levar
transportar	trazer/levar
tratar	endereçar/lidar/falar/cobrir
trazer	transportar/levar/levar/tirar
ver	encontrar/reunir

