abalroar	naufragar/afundar
abandonar	ruir/colapsar/desabar/desmoronar/quebrar/olvidar/esquecer/sair/partir/ir
abarcar	endereçar/lidar/tratar/falar/cobrir
abnegar	negar
aborrecer	enervar-se/irritar-se
abster	negar
acabar	perecer/falecer/expirar/morrer/estragar/partir/quebrar
acamar	jazer
acariciar	aconchegar/acomodar
acatar	esposar/adoptar/adotar
aceitar	admitir/admitir/receber
acender	cozinhar/preparar/queimar/arrumar/organizar
acercar	chegar
acertar	colidir/atingir/bater
achar	re-adquirir/reconquistar/reganhar/recuperar/descobrir/encontrar/detectar/constatar/reganhar/aprender/averiguar/verificar/determinar/observar/descobrir/julgar/pensar/compreender/declarar/encontrar/entender/ver
acomodar	aconchegar-se/aconchegar/caber/acariciar/conter
acompanhar	caminhar/ir/andar
aconchegar	acomodar/aconchegar-se/acariciar
aconchegar-se	aconchegar/acomodar
acontecer	calhar/ocorrer/tornar/suceder/desenvolver/ficar/virar/mudar/começar
acordar	ressuscitar/reviver/reanimar/reavivar/renascer/vivificar/reviver/animar/concordar
acrescentar	adicionar
acrescer	adicionar
actuar	performar/atuar/representar/passar/fazer
aderir	grudar/colar/grudar/colar
adiar	insular/isolar
adicionar	somar/acrescer/somar/acrescentar
admitir	aceitar/possibilitar/providenciar/proporcionar/fornecer/permitir/aceitar/deixar
admoestar	alertar/avisar/advertir
adoptar	acatar/conformar/seguir
adornar	ornar/empetecar/enfeitar/ornamentar/embelezar/decorar/temperar
adotar	acatar/conformar/seguir
adquirir	auferir/ganhar/incorrer/comprender/comprar/gerar/formular/ganhar/crescer/desenvolver/obter/receber/ter/entender/pegar/fazer
advertir	alertar/avisar/desaconselhar/admoestar/prevenir/avisar
advir	vir
advogar	publicitar/divulgar/promover/anunciar
aerotransportar	avionar/pilotar/voar
afastar	empurrar
afetar	motivar/propulsar/desempenhar/incentivar/estimular/ser/atacar/provocar/atingir
afiançar	assegurar-se/certificar-se/assegurar/garantir
afigurar	perceber/realizar/compreender/entender/visualizar
afirmar	contar/falar/dizer/reivindicar/reclamar/julgar/considerar/manter
afixar	cobrir
afluir	encostar/tocar
afugentar	empurrar
afundar	naufragar/largar/soltar/abalroar/submergir
agarrar	apanhar/capturar
agasalhar	vestir-se/arrumar-se/vestir
agastar	enervar-se/irritar-se
agir	simular/atuar/fingir
agitar	publicitar/divulgar/promover/anunciar/confundir/incomodar/bater
agradar	satisfazer
agredir	assaltar/atacar
aguardar	antecipar/esperar/carregar
aguentar	sofrer
ajudar	servir/dar/servir
ajustar	combinar
alastrar	circular/espalhar
alcançar	vir/chegar/pegar
aleitar	sugar/chupar
alertar	desaconselhar/admoestar/prevenir/avisar/advertir
aludir	concernir/relacionar/referir/tocar
amaldiçoar	excomungar
amamentar	sugar/chupar
amansar	domar/domesticar
amassar	cultivar/trabalhar
amolar	enervar-se/irritar-se
ampliar	expandir/estender/aumentar
andar	caminhar/ir/cavalgar/deslocar/mover/passear/montar/acompanhar/viajar/soltar/caminhar/dirigir/levar/conduzir/ir
animar	ressuscitar/reviver/acordar
aniquilar	dizimar
antecipar	aguardar/esperar
anunciar	advogar/promover/lutar/agitar
apanhar	agarrar/segurar/flagrar/guardar/pegar
aparelhar	vestir-se/arrumar-se/vestir
aparentar	atuar/fingir
apartar	decepar/dividir/separar/cortar
apartar-se	decepar/dividir/separar/cortar
aperfeiçoar	melhorar
aplicar	emassar/engessar/empregar/utilizar/usar/cobrir/dar
apoiar	respaldar/endossar/secundar/aprovar/endorsar/aprovar
aporrinhar	enervar-se/irritar-se
aposentar-se	desinteressar
apostar	jogar
aprazer	satisfazer
apreciar	revalorizar/subir/aumentar
aprender	assegurar/averiguar/checar/conferir/verificar/determinar/controlar/achar
apresenta	ter/fruir/possuir/ter
apresentar	familiarizar/noticiar/notificar/informar
aprovar	respaldar/endossar/secundar/apoiar/endorsar/apoiar
apurar	distilar/destilar/purificar
aquietar	silenciar
aquilatar	assessar
arder	ferrar/picar/queimar
arquitetar	desenhar/criar
arredar	puxar/forçar
arruinar	destruir/quebrar
arrumar	acender/fazer
arrumar-se	agasalhar/aparelhar/vestir/vestir-se/vestir
asfixiar	estrangular/sufocar
assaltar	agredir/atacar
assegurar	checar/conferir/verificar/afiançar/constatar/aprender/averiguar/verificar/provar/descobrir/controlar/ver
assegurar-se	afiançar
assentar	sentar-se/sentar/sedimentar
assentar-se	sentar-se/sentar
assessar	aquilatar/avaliar
assinalar	distinguir/diferenciar
assistir	enxergar/olhar/ver/servir
assumir	ocupar
atacar	tirotear/agredir/assaltar/comover/afetar/impressionar/parecer/atirar/atingir
atar	grudar/colar
atestar	manifestar/demonstrar/certificar/confirmar/provar/dizer
atingir	comover/golpear/comprender/acertar/afetar/comprar/impressionar/executar/obter/realizar/parecer/atacar/ter/entender/pegar/bater
atirar	balear/disparar/tirotear/balear/repelir/atacar
atochar	lotar
atrair	retrair/fazer
atraiçoar	vender
atrapalhar	obnubilar/obscurecer/confundir/misturar
atravessar	voar/avionar/vassourar/pilotar/varrer/encostar/voar/cortar
atribuir	imputar
atuar	pretextar/actuar/aparentar/comportar-se/agir/simular/fingir/parecer/representar/fazer/performar/simular/fingir/brincar/representar/passar/fazer
aturar	sofrer
auferir	lucrar/conquistar/adquirir/fazer
aumentar	ampliar/estender/apreciar
avaliar	medir/estimar/assessar/estimar
avançar	preservar/continuar/manter
averiguar	checar/conferir/verificar/constatar/aprender/assegurar/checar/conferir/verificar/determinar/provar/descobrir/controlar/achar/ver
avionar	aerotransportar/voar/atravessar
avisar	alertar/advertir/desaconselhar/admoestar/prevenir/advertir
avizinhar	chegar
bailar	dançar
balancear	equilibrar/compensar/equilibrar-se/equilibrar
balançar	embalar/sacudir
balear	tirotear/atirar
banquetear	festejar
barricar	tapar
bater	colidir/atingir/golpear/palpitar/acertar/pulsar/enganar/ocupar/agitar
beber	tomar
beijar	foder/pinar/copular/meter/transar/trepar/montar/comer
berrar	urrar/gritar/bradar/exclamar/chamar/gritar
bifurcar	desgalhar/ramificar-se/ramificar
blasfemar	xingar/insultar/maldizer/praguejar
bloquear	tapar
boiar	flutuar
bolhar	empolar
bradar	urrar/berrar/gritar
brilhar	cintilar
brincar	folgar/recrear/flertar/divertir/atuar/jogar/representar/fazer
brotar	germinar/desgalhar/ramificar-se/ramificar
caber	incluir/compreender/conter/ter/acomodar/combinar/conter/terminar/ficar/cair
cagar	mijar/urinar
cair	largar/soltar/tombar/precipitar/caber/perder/terminar/ficar
calcinar	incinerar/queimar
calhar	acontecer
caminhar	ir/andar/deslocar/mover/passear/acompanhar/levar/andar
capitanear	desbravar/liderar
capturar	agarrar/segurar/guardar
carburar	queimar
carregar	transportar/levar/saturar/aguardar/parir/esperar/ter
casar	casar-se/esposar/juntar
