abaixo	deprimido/descendente
abastado	rica/rico
aberto	explícito/público
abominável	ofensivo/malvado
abrangente	totalizado/geral/integral/completo/largo/amplo
abreviado	curto
abrupto	rápida/veloz/rápido
abundante	rica/rico
acabado	liso/macio
aceitável	satisfatório
acessível	conveniente
aconselhável	sábio/judicioso/prudente/sensato
acordado	alerta/consciente/ciente/informado
acreditável	plausível
actual	moderno/contemporâneo/novo
acurado	correcto/precisa/correto/exato/preciso/certo/justo
acídulo	saboroso
adequado	satisfatório/correto/certo/apropriado/justo
adoentado	enfermo/doente/inapropriado
adormecido	desacordado/desfalecido/desmaiado/esmaecido/incônscio/inconsciente
adorável	desejável/queama/amoroso/afectuoso/amigável/carinhoso
afectuoso	passional/apaixonado/amorável/adorável/empenhado/amável
afetado	sobrecomum/trasladado/paranormal/sobrenatural/emocional
afiado	pontudo
afirmativo	favorável/positivo/vantajoso
afoito	arrojado/audacioso/audaz/corajoso/bravo/destemido/aventureiro/destemido
afortunado	bem-sucedido/próspero/sortudo/privilegiado
afável	simpático/agradável/amável/agradável
agradável	boa!/bem-humorado/lhano/aprazível/afável/amável/gentil
agressivo	assertivo/peremptório/ofensivo/malvado
airoso	sofisticado/grácil/mimoso/condigno/gracioso/digno
alegre	animador/animado/contente
alerta	desperto/acordado/vívido/cuidadoso/cauteloso/astuto
alienígena	internacional
alta	barulhento/ruidoso/audível
alto	barulhento/ruidoso/grande/audível
alvo	claro
ambicioso	empreendedor
ambíguo	dúbio/impreciso/indefinido/dúbio/vago/confuso
amigo	cálido/social/congenial/sociável/amigável/útil/social
amigável	amistoso/cálido/pacífico/amigo/social/amorável/adorável/congenial/sociável/amável/útil/social
amistoso	cálido/social/congenial/sociável/amigável/útil/social
amoroso	passional/apaixonado/amorável/adorável/empenhado/amável
amorável	desejável/queama/amoroso/afectuoso/amigável/carinhoso
amplo	abrangente/detalhado/totalizado/exaustivo/espesso/geral/extenso/grosso/integral/completo/largo
amável	simpático/desejável/agradável/bem-humorado/compassivo/lhano/queama/amoroso/brando/misericordioso/afectuoso/afável/agradável/amigável/carinhoso/benigno/gentil
analítico	lógico
angulado	quadrado/pontudo
angular	quadrado/pontudo
animado	grato/alegre/feliz/contente
animador	grato/alegre/feliz/contente
anormal	insano
antigo	passado/desgastado
antinatural	sobrecomum/paranormal/sobrenatural/afetado
antipático	desagradável
análogo	comparável/mesmo
apaixonado	entusiástico/esquentado/entusiasta/quente/queama/amoroso/afectuoso/carinhoso/emocional
apertado	tenso
apetitoso	saboroso
aprazível	simpático/atraente/belo/formoso/lindo/agradável/bonito/humorístico/engraçado
apressado	rápida/veloz/rápido
aprimorado	correcto/exato/preciso/certo/utópico
apropriado	próprio/conveniente/adequado
arrojado	afoito/brava/valoroso/valente/audacioso/audaz/corajoso/bravo/destemido/aventureiro/destemido
articulado	comunicativo
artificial	lógico/irreal
assertivo	agressivo
astuto	alerta/ágil/hábil
atarefado	diligente
atento	cautelosa/cauto/cuidadosa/cauteloso/prudente/judicioso/preocupado/diligente/prudente/sensato
atingido	avariado/danificado/ferido
ativo	vívido/energético/enérgico
atraente	belo/formoso/lindo/bonito/aprazível
atual	moderno/contemporâneo/novo
atípico	anormal
audacioso	afoito/brava/valoroso/arrojado/valente/corajoso/bravo/aventureiro/destemido
audaz	afoito/brava/valoroso/arrojado/valente/corajoso/bravo/aventureiro/destemido
audível	berrante/estrepitante/alta/alto/perceptível
auspicioso	propício
automático	mecânico
autêntico	honesta/sincera/honesto/sincero/existente/verdadeiro
avariado	partido/quebrado/atingido/deteriorado/lesionado/destruído/ferido
aventureiro	afoito/brava/valoroso/arrojado/valente/audacioso/audaz/corajoso/bravo/destemido
azedo	saboroso
açucarado	doce
baixa	inferior
baixo	deprimido/inferior
barulhento	berrante/estrepitante/alta/alto/cacofônico
bastante	rica/rico
basto	rica/rico
belo	atraente/aprazível/gracioso
bem	saudável/salubre/são/saudável
