algodao	algodão/enchimento
algodão	enchimento
amino-ácido	proteína
aminoácido	proteína
aminoácidos	proteína
ar	vento
cacau	chocolate
cafeina	chá/café
cafeína	chá/café
capsaicina	pimentão/pimenta
celulose	thread/fibras/fibra/papel
coalhada	queijo
colmo	enchimento
colágeno	osso
enxofre	sulfeto/sulfetos/sulfureto
enxôfre	sulfeto/sulfetos/sulfureto
epóxi	cimento
farinha	pão/pastel
ferro	aço
fisostigmina	medicamento/remédio
fosfolipido	membrana
fosfolípido	membrana
hidrogénio	água
hidrogênio	água
lignina	madeira
melanina	pele
mineral	rocha/pedra
minérios	rocha/pedra
osso	chifre/corno
oxigénio	água
oxigênio	água
palha	enchimento
papel	lauda/escudeiro/página
pigmento	tinta/pintura/cor
pigmentos	pigmento/tinta/pintura/cor
proteína	vianda/ovo/leite/carne
queratina	cabelo
silicone	areia
silício	areia
soro	sangue
tecido	organismo/ser
triacilglicerol	lípidos/gordura
urdume	têxteis/pano/tecido/fazenda
vapor	nuvem
