algodao	algodão
amino-ácido	proteina/proteína/proteínas/proteínas
aminoácido	proteina/proteína/proteínas/proteínas
aminoácidos	proteina/proteina/proteína/proteína/proteínas/proteínas/proteínas/proteínas
ar	vento
areia	formigão/betão/praia/concreto
argila	olaria/tijolo/cerâmica
argon	ar
argónio	ar
argônio	ar
azoto	ar
banha	sus/suíno/porco
cacau	chocolate
cafeina	chá/café
cafeína	chá/café
carbono	hulha/carvão
carvalho	carvalho-vermelho
celulose	thread/thread/fibras/fibras/fibra/fibra/papel/papel
cimento	formigão/formigão/betão/betão/concreto/concreto
coalhada	queijo
colágeno	osso
cripton	ar
criptónio	ar
criptônio	ar
cré	giz/griz
crípton	ar/ar
cânhamo	toa/lona/corda/cabo
farinha	pasta/pão/massa
ferro	aço
fisostigmina	medicamento/remédio
gelo	geleira/glaciares/glaciares/glaciar
greda	olaria/tijolo/cerâmica
hidrogénio	água
hidrogênio	água
juta	toa/corda/cabo
lignina	madeira
maconha	toa/lona/corda/cabo
madeira	viga/trave
melanina	pele/plumagem/pluma/pena/pele
neon	ar
neão	ar
neón	ar
neónio	ar
neônio	ar
nitrogénio	ar
nitrogênio	ar
néon	ar/ar
osso	chifre/corno
oxigénio	água/ar
oxigênio	água/ar
papel	lauda/escudeiro/página
pigmento	tinta/pintura/cor
pigmentos	pigmento/tinta/pintura/cor
piperina	pimenta-do-reino/pimenta-preta
progesterona	pílula
proteina	vianda/ovo/leite/carne
proteína	vianda/ovo/leite/carne
proteínas	vianda/vianda/ovo/ovo/leite/leite/carne/carne
queratina	plumagem/pluma/cabelo/pena
silicone	areia/argila/greda
silício	areia/argila/greda
soro	sangue/sangue
sílica	cristal
triacilglicerol	lípidos/gordura
urdume	têxteis/pano/tecido/fazenda
vapor	nuvem
xenonio	ar
xenão	ar
xenón	ar
xenónio	ar
xenônio	ar
água	perspiração/sudorese/gelo/lágrima/suor/transpiração
árgon	ar/ar

