algodão	algodao
ar	oxigénio/oxigênio/argon/argónio/argônio/cripton/criptónio/criptônio/crípton/neon/neão/neón/neónio/neônio/néon/xenonio/xenão/xenón/xenónio/xenônio/árgon/azoto/nitrogénio/nitrogênio
areia	silicone/silício
argila	silicone/silício
aço	ferro
betão	areia/cimento
cabelo	queratina
cabo	juta/cânhamo/maconha
café	cafeina/cafeína
carne	proteína
carvalho-vermelho	carvalho
carvão	carbono
cerâmica	argila/greda
chifre	osso
chocolate	cacau
chá	cafeina/cafeína
concreto	areia/cimento
cor	pigmentos/pigmento
corda	juta/cânhamo/maconha
corno	osso
cristal	sílica
escudeiro	papel
fazenda	urdume
fibra	celulose
fibras	celulose
formigão	areia/cimento
geleira	gelo
gelo	água
giz	cré
glaciar	gelo
glaciares	gelo
gordura	triacilglicerol
greda	silicone/silício
griz	cré
hulha	carbono
lauda	papel
leite	proteína
lona	cânhamo/maconha
lágrima	água
lípidos	triacilglicerol
madeira	lignina
massa	farinha
medicamento	fisostigmina
nuvem	vapor
olaria	argila/greda
osso	colágeno
ovo	proteína
pano	urdume
papel	celulose
pasta	farinha
pele	melanina
pena	melanina/queratina
perspiração	água
pigmento	pigmentos
pimenta-do-reino	piperina
pimenta-preta	piperina
pintura	pigmentos/pigmento
pluma	melanina/queratina
plumagem	melanina/queratina
porco	banha
praia	areia
proteína	amino-ácido/aminoácido/aminoácidos
página	papel
pão	farinha
pílula	progesterona
queijo	coalhada
remédio	fisostigmina
sangue	soro
sudorese	água
suor	água
sus	banha
suíno	banha
tecido	urdume
thread	celulose
tijolo	argila/greda
tinta	pigmentos/pigmento
toa	juta/cânhamo/maconha
transpiração	água
trave	madeira
têxteis	urdume
vento	ar
vianda	proteína
viga	madeira
água	oxigénio/oxigênio/hidrogénio/hidrogênio
