apatita	fosforo/fósforo
aço	ferro
betão	areia
bronze	cobre
calcocita	cobre
calcopirita	cobre
calcário	carbono
carne	proteína
carvão	carbono
cassiterita	estanho
chifre	osso
concreto	areia
cor	pigmentos/pigmento
corno	osso
cuprita	cobre
dourado	ouro
faixa	areia
formigão	areia
galena	chumbo
gelo	água
hulha	carbono
latão	cobre
legume	proteína
leite	proteína
lágrima	água
malaquita	cobre
opioides	ópio
organismo	tecido
ovo	proteína
pedra	minérios/mineral
perspiração	água
petróleo	carbono
petróleo-bruto	carbono
pigmento	pigmentos
pintura	pigmentos/pigmento
praia	areia
rocha	minérios/mineral
ser	tecido
sudorese	água
sulfeto	enxofre/enxôfre
sulfetos	enxofre/enxôfre
sulfureto	enxofre/enxôfre
suor	água
tinta	pigmentos/pigmento
transpiração	água
trave	madeira
uva	vinho
vegetal	proteína
vianda	proteína
viga	madeira
óleo	carbono
