acantita	prata
ar	oxigénio/oxigênio
aço	ferro
bauxita	aluminio/alumínio
betão	areia
bronze	cobre
calcocita	cobre
calcopirita	cobre
calcário	carbono
carne	proteína
carvão	carbono
cassiterita	estanho
cerâmica	argila/greda
chifre	osso
colmilho	marfim
concreto	areia
corno	osso
cuprita	cobre
dourado	ouro
duralumínio	aluminio/alumínio
faixa	areia
formigão	areia
galena	chumbo
geleira	gelo
gelo	água
glaciar	gelo
glaciares	gelo
halita	sodio/sódio
hidromel	mel
hulha	carbono
latão	cobre
legume	proteína
leite	proteína
lágrima	água
malaquita	cobre
margarina	óleo
massa	farinha
olaria	argila/greda
organismo	tecido
ovo	proteína
ozono	oxigénio/oxigênio
ozónio	oxigénio/oxigênio
ozônio	oxigénio/oxigênio
papel-alumínio	aluminio/alumínio
pasta	farinha
pastel	farinha
pedra	minérios/mineral
perspiração	água
petróleo	carbono
petróleo-bruto	carbono
praia	areia
pão	farinha
rocha	minérios/mineral
salmoura	sodio/sódio
ser	tecido
sudorese	água
sulfeto	enxofre/enxôfre
sulfetos	enxofre/enxôfre
sulfureto	enxofre/enxôfre
suor	água
telha	argila/greda
tijolo	argila/greda
transpiração	água
trave	madeira
tweed	lanígero/lã
uva	vinho
vegetal	proteína
vento	ar
vianda	proteína
viga	madeira
água	oxigénio/oxigênio
óleo	carbono
