abeto	pinheiro
absinto	erva-doce/erva-doce/anis/anis
absíntio	erva-doce/absinto/anis
acantita	prata
acácia	goma-arábica
adn	adenina/citosina/guanina/timina
adobo	adobe/adobe
agave-azul	tequila/tequila
alerce	lárix/larice
algodão	algodao
almofariz	cimento/cimento
ambligonita	lítio/lítio
anfibolito	anfíbola
anti-matéria	antipartícula
antimatéria	antipartícula
apatita	fosforo/terbio/tulio/térbio/túlio/fósforo
ar	oxigénio/oxigênio/argon/argónio/argônio/cripton/criptónio/criptônio/crípton/crípton/neon/neão/neón/neónio/neônio/néon/néon/xenonio/xenão/xenón/xenónio/xenônio/árgon/árgon/azoto/nitrogénio/nitrogênio
areia	silicone/silício
argamassa	cimento/cimento
argila	silicone/silício
arn	adenina/citosina/guanina/ribose/ribose/uracilo
arroz	saqué/saquê/saqué
arsenopirita	arsénico/arsénio/arsénio/arsênico/arsênico-branco/arsênio/mata-ratos
artemijem	erva-doce/absinto/anis
auripigmento	arsénico/arsénio/arsénio/arsênico/arsênico-branco/arsênio/mata-ratos
avelã	aveleiro
azeitona	azeite
aço	ferro
balsâmina	ungüento
bambu	cana-brava/cana-brava/taboca/taboca/taquara/taquara
basalto	piroxena/plagioclase/plagióclase
baseado	canabis/canabis/canábis/canábis/cânabis/cânabis/maconha/maconha/erva/erva/maconha/maconha
baunilha	vanilina
bauxita	aluminio/alumínio/galio/gibbsita/gálio
berilo	berilio/berílio
betão	areia/cimento/cimento
blenda	talio/tálio/índio/índio
borax	boro
bordo	ácer
bronze	cobre/cobre/cobre/cobre
bórax	boro
cabelo	queratina
cabo	juta/cânhamo/maconha
cafelo	cimento/cimento
café	cafeina/cafeína
cal	calcio/cálcio/cálcio
calamina	cadmio/cádmio
calcocita	cobre/cobre
calcopirita	cobre/cobre
calcário	carbono/calcio/calcita/cálcio/cálcio
camomila	camomila-romana/camomila-romana
carapaça	casca
carnallita	magnesio/magnésio/magnêsio/potassio/rubidio/rubídio/potássio
carne	proteina/proteína/proteínas/proteínas
carnotita	vanadio/vanádio
cartilagem	colágeno
carvalho-vermelho	carvalho
carvão	carbono
cassiterita	estanho
cebola	isotiocianato
celuloide	cânfora/trinitrocelulose/cânfora
celulóide	cânfora/trinitrocelulose/cânfora
cerâmica	argila/greda
chicla	chicle
chiclete	chicle
chifre	osso
chocolate	cacau
chuinga	chicle
chá	cafeina/cafeína
