adaptar	adaptador
administrar	administrador/administrador/administrador/administração
admirar	admirador
ajudar	ajudante/ajudante
amar	amante/amante
anunciar	anunciador
apostar	apostador
assassinar	assassino/assassino
assistir	assistente
atacar	atacante
avaliar	avaliador/avaliador/avaliador/avaliador
buscar	buscador/buscador
cantar	cantador/cantor
carregar	carregador
causar	causador
chupar	chupador
classificar	classificador
comer	comedor/comedor/comedor
competir	competidor
comprar	comprador
computar	computador
comunicar	comunicador
conduzir	condutor
construir	construtor
consumir	consumidor
cozinhar	cozinheiro/cozinheiro
criar	criador/criador
dançar	dançarino/dançarino
defender	defensor
demonstrar	demonstrador
depositar	depositante
descobrir	descobridor
desenhar	desenhista
destruir	destruidor
dirigir	diretor
editar	editor
eleger	eleitor
escrever	escritor/escritor/escritor
evaporar	evaporação
examinar	examinador
explorar	explorador
facilitar	facilitador
falar	falante/falante/falante
fornecer	fornecedor
fundar	fundador
ganhar	ganhador/ganhador
governar	governador/governante/governador
guerrear	guerreiro
habitar	habitante
iniciar	iniciante
inspecionar	inspetor
instruir	instrutor
investir	investidor
jogar	jogador/jogador
ler	leitor/leitor
liderar	líder/líder
lutar	lutador/lutador
matar	matador/matador
minerar	mineiro
morar	morador
nadar	nadador
narrar	narrador
observar	observador/observador
operar	operador
opor	opositor
perseguir	perseguidor
pesquisar	pesquisador
pintar	pintor/pintor/pintor
possuir	possuidor
procrastinar	procrastinador
promover	promotor
proteger	protetor
prover	provedor
sobreviver	sobrevivente
trabalhar	trabalhador/trabalhador
trapacear	trapaceiro
treinar	treinador/treinador/treinador
usar	usuário
vender	vendedor

