abusar	abusador
admirar	admirador
agredir	agressor
ajudar	ajudante
amar	amante
anunciar	anunciante
assaltar	assaltante
assistir	assistente
atacar	atacante
atuar	ator
avaliar	avaliador
buscar	buscador
cantar	cantador/cantor
carregar	carregador
colaborar	colaborador
comer	comedor
competir	competidor
compor	compositor
comprar	comprador
coordenar	coordenador
cozinhar	cozinheiro
criar	criador
curar	curandeiro
dançar	dançarino
defender	defensor
demonstrar	demonstrador
descobrir	descobridor
desenhar	desenhista
desperdiçar	desperdiçador
eleger	eleitor
empregar	empregador
escrever	escritor
estuprar	estuprador
explorar	explorador
exportar	exportador
fabricar	fabricante
falar	falante
falsificar	falsificador
fornecer	fornecedor
ganhar	ganhador
governar	governador/governante/governador
herdar	herdeiro
hipnotizar	hipnotizador
instruir	instrutor
interrogar	interrogador
jogar	jogador
julgar	juiz
legislar	legislador
ler	leitor
liderar	líder
lutar	lutador
matar	matador
mergulhar	mergulhador
nadar	nadador
narrar	narrador
operar	operador
orar	rezador
organizar	organizador/organização
pintar	pintor
plagiar	plagiador
procrastinar	procrastinador
produzir	produtor
proteger	protetor
prover	provedor
raptar	raptor
salvar	salvador
sequestrar	sequestrador/seqüestrador
supervisionar	supervisor
trabalhar	trabalhador
traduzir	tradutor
trapacear	trapaceiro
treinar	treinador
vencer	vencedor
vender	vendedor
visitar	visitante/visita
