administrar	administrador/administração
ajudar	ajudante
amar	amante
assistir	assistente
atuar	ator
avaliar	avaliador
causar	causador
competir	competidor
compor	compositor
comunicar	comunicador
construir	construtor
consumir	consumidor
criar	criador
defender	defensor
dirigir	diretor
educar	educador
empregar	empregador
escrever	escritor
fabricar	fabricante
fornecer	fornecedor
governar	governante/governador
habitar	habitante
julgar	juiz
liderar	líder
mediar	mediador
morar	morador
operar	operador
organizar	organização
possuir	possuidor
produzir	produtor
proteger	protetor
prover	provedor
roer	roedor
seguir	seguidor
supervisionar	supervisor
trabalhar	trabalhador
visitar	visitante/visita
