aconselhar	conselheiro
administrar	administrador/administrador
ajudar	ajudante/ajudante
amar	amante
assassinar	assassino
assinar	assinante
assistir	assistente
atuar	ator
cantar	cantador/cantador/cantador/cantor/cantor/cantor
causar	causador
caçar	caçador
compor	compositor
conduzir	condutor/condutor
consumir	consumidor
correr	corredor
cozinhar	cozinheiro/cozinheiro/cozinheiro
curar	curandeiro
dirigir	diretor
eleger	eleitor
empregar	empregador
escrever	escritor/escritor
examinar	examinador
fabricar	fabricante
falar	falante/falante/falante
ganhar	ganhador
governar	governador
guerrear	guerreiro
habitar	habitante
herdar	herdeiro
inovar	inovador
inspecionar	inspetor/inspetor
instruir	instrutor/instrutor
investigar	investigador/investigador
jogar	jogador
liderar	líder/líder/líder
matar	matador/matador
minerar	mineiro
morar	morador/morador
observar	observador/observador/observador/observador
opor	opositor
organizar	organização
pescar	pescador
pesquisar	pesquisador/pesquisador/pesquisador
pintar	pintor/pintor
produzir	produtor
rebelar	rebelde
sobreviver	sobrevivente/sobrevivente/sobrevivente
supervisionar	supervisor
trabalhar	trabalhador/trabalhador/trabalhador
treinar	treinador/treinador
tripular	tripulação
usar	usuário/usuário
utilizar	utilizador
vencer	vencedor
vender	vendedor/vendedor
visitar	visitante/visitante/visita/visita

