abusar	abusador
aconselhar	conselheiro/conselheiro
acusar	acusador/acusador
adaptar	adaptador
administrar	administrador/administrador/administrador/administração
admirar	admirador/admirador
adorar	adorador
afinar	afinador
agredir	agressor/agressor/agressor
ajudar	ajudante/ajudante/ajudante
amar	amante/amante/amante
anunciar	anunciador/anunciante
apostar	apostador
aprender	aprendiz
assaltar	assaltante
assassinar	assassino/assassino/assassino
assinar	assinante
assistir	assistente/assistente
atacar	atacante/atacante/atacante/atacante/atacante
atuar	ator
avaliar	avaliador/avaliador/avaliador/avaliador/avaliador
boxear	boxeador
buscar	buscador/buscador/buscador
cantar	cantador/cantador/cantador/cantor/cantor/cantor
carregar	carregador
catalogar	catalogador/catalogador
causar	causador
caçar	caçador
chantagear	chantagista/chantagista
chupar	chupador
classificar	classificador
colaborar	colaborador
comer	comedor/comedor/comedor
competir	competidor/competidor
compor	compositor
comprar	comprador
computar	computador
comunicar	comunicador
conduzir	condutor/condutor
conquistar	conquistador
construir	construtor
consumir	consumidor
contrabandear	contrabandista
coordenar	coordenador/coordenador
correr	corredor/corredor
cozinhar	cozinheiro/cozinheiro/cozinheiro
creditar	credor
criar	criador/criador
curar	curandeiro
dançar	dançarino/dançarino
decorar	decorador/decoração
defender	defensor/defensor/defensor/defensor
demonstrar	demonstrador
depositar	depositante
descobrir	descobridor/descobridor
desenhar	desenhista
desperdiçar	desperdiçador
destruir	destruidor/destruidor/destruidor
dirigir	diretor
ditar	ditador
domar	domador
editar	editor
educar	educador
eleger	eleitor
empregar	empregador
emular	emulador
entrevistar	entrevistador
escrever	escritor/escritor/escritor/escritor/escritor
estuprar	estuprador
evaporar	evaporação
examinar	examinador
explorar	explorador/explorador
exportar	exportador
fabricar	fabricante/fabricante
facilitar	facilitador
falar	falante/falante/falante
falsificar	falsificador
fiar	fiador
fornecer	fornecedor
fundar	fundador
ganhar	ganhador/ganhador/ganhador/ganhador
governar	governador/governante/governador
gravar	gravador
guerrear	guerreiro
habitar	habitante
herdar	herdeiro
hipnotizar	hipnotizador
ilustrar	ilustrador
imigrar	imigração
infestar	infestação
iniciar	iniciante
inovar	inovador
inspecionar	inspetor/inspetor
instruir	instrutor/instrutor
interrogar	interrogador
inventar	inventor
investigar	investigador/investigador
investir	investidor
jogar	jogador/jogador
julgar	juiz
lavrar	lavrador
legislar	legislador
ler	leitor/leitor
liderar	líder/líder/líder
lutar	lutador/lutador/lutador
matar	matador/matador
mediar	mediador
mergulhar	mergulhador
minerar	mineiro
morar	morador/morador
nadar	nadador
narrar	narrador
observar	observador/observador/observador/observador
operar	operador
opor	opositor
oprimir	opressor
orar	rezador
organizar	organização/organizador/organização/organização
pecar	pecador
perseguir	perseguidor
pescar	pescador
pesquisar	pesquisador/pesquisador/pesquisador
pintar	pintor/pintor/pintor
plagiar	plagiador
possuir	possuidor
prestidigitar	prestidigitador
procrastinar	procrastinador
produzir	produtor
programar	programador
promover	promotor
proteger	protetor/protetor
prover	provedor
raptar	raptor
rebelar	rebelde
redigir	redator/redator
roer	roedor
salvar	salvador
seguir	seguidor
sequestrar	sequestrador/seqüestrador
sobreviver	sobrevivente/sobrevivente/sobrevivente
substituir	substituto
subverter	subversivo
supervisionar	supervisor
trabalhar	trabalhador/trabalhador/trabalhador
traduzir	tradutor/tradutor
trapacear	trapaceiro/trapaceiro
treinar	treinador/treinador/treinador/treinador/treinador
tripular	tripulação/tripulação
usar	usuário/usuário
usurpar	usurpador
utilizar	utilizador
vandalizar	vândalo
vencer	vencedor/vencedor
vender	vendedor/vendedor
visitar	visitante/visitante/visita/visita

