aberto	fechado
abstrato	concreto
aconselhável	desaconselhável
acromático	cromático
acíclico	cíclico
afebril	febril
agnóstico	gnóstico
alienável	inalienável
alto	baixo
amigável	malvado
anabólico	catabólico
analítico	sintético
analógico	digital
anormal	normal
apegado	desvinculado
aplicado	teórico
arenoso	argiloso
argiloso	arenoso
ascendente	descendente
assexual	sexual
assimétrico	simétrico
atípico	típico
automático	manual
baixo	alto
barlavento	sotavento
caduco	duradouro
capaz	incapaz
carnívoro	herbívoro
casado	solteiro
catabólico	anabólico
central	periférico
centralizado	descentralizado
centrífugo	centrípeto
centrípeto	centrífugo
comparável	incomparável
compatível	incompatível
compreensível	incompreensível
comum	individual
conclusivo	inconclusivo
concreto	abstrato
condicionado	incondicional
consistente	inconsistente
constante	inconstante
constitucional	inconstitucional
construtivo	destrutivo
convergente	divergente
corrigível	incorrigível
cromático	acromático
curto	longo
curável	incurável
cíclico	acíclico
dependente	independente
desaconselhável	aconselhável
descendente	ascendente
descentralizado	centralizado
desempregado	ocupado
desfavorável	favorável
desobediente	obediente
desorganizado	organizado
desrespeitoso	respeitoso
destro	canhoto
destrutivo	construtivo
destrutível	indestrutível
diferente	similar
digital	analógico
diplóide	haplóide
distante	próximo
divergente	convergente
dramático	lírico
eficiente	ineficiente
elegível	inelegível
empírico	teórico
endotérmico	exotérmico
endógeno	exógeno
equatorial	polar
específico	geral
eufórico	triste
eupnéico	dispnéico
evitável	inevitável
exotérmico	endotérmico
explícito	implícito
externo	interno
extracelular	intracelular
extramural	intramural
extraterritorial	territorial
exógeno	endógeno
falível	infalível
favorável	desfavorável
febril	afebril
fechado	aberto
finito	infinito
flexível	inflexível
físico	mental
geocêntrico	heliocêntrico
geográfico	magnético
geral	específico
gnóstico	agnóstico
haplóide	diplóide
heliocêntrico	geocêntrico
herbívoro	carnívoro
heterológico	análogo
hipertensivo	hipotensivo
hipertônico	hipotônico/isotônico
hipotensivo	hipertensivo
hipotônico	hipertônico/isotônico
ilegal	legal
ilegítimo	legítimo
iluminado	escuro
ilícito	lícito
imaterial	material
imoral	moral
imortal	mortal
impaciente	paciente
imparcial	parcial
impermeável	permeável
implícito	explícito
impossível	possível
improvável	provável
inalienável	alienável
incapaz	capaz
incomparável	comparável
incompatível	compatível
incompreensível	compreensível
inconclusivo	conclusivo
incondicional	condicionado
inconsistente	consistente
inconstante	constante
inconstitucional	constitucional
inconteste	contestado
incorrigível	corrigível
incurável	curável
independente	dependente
indestrutível	destrutível
ineficiente	eficiente
inelegível	elegível
inevitável	evitável
infalível	falível
inferior	superior
infinito	finito
inflexível	flexível
inoperável	operável
insensível	diplomático
instrumental	vocal
insubstituível	substituível
integrado	segregado
internacional	nacional
interno	externo
intracelular	extracelular
intraduzível	traduzível
intramural	extramural
intransitivo	transitivo
invariável	variável
invulnerável	vulnerável
irracional	racional
irrecuperável	recuperável
irremediável	remediável
irreversível	reversvel
isotônico	hipertônico/hipotônico
jovem	velho
legal	ilegal
legítimo	ilegítimo
leve	pesado
local	nacional
longo	curto
lícito	ilícito
líquido	sólido
lírico	dramático
magnético	geográfico
manual	automático
material	imaterial
melhor	pior
mental	físico
monocromático	policromático
mononuclear	binucleado
moral	imoral
mortal	imortal
multidimensional	unidimensional
nacional	internacional/local
normal	anormal
nublado	nítido
nítido	nublado
obediente	desobediente
ocidental	oriental
operável	inoperável
organizado	desorganizado
oriental	ocidental
paciente	impaciente
parcial	imparcial
periférico	central
perinatal	pré-natal
permeável	impermeável
perpendicular	oblíquo
pesado	leve
pior	melhor
polar	equatorial
policromático	monocromático
possível	impossível
precoce	retardado
primário	secundário
privado	público
profano	sagrado
provincial	cosmopolita
provável	improvável
pré-natal	perinatal
próximo	distante
público	privado
qualitativo	quantitativo
quantitativo	qualitativo
racional	irracional
recuperável	irrecuperável
remediável	irremediável
respeitoso	desrespeitoso
retardado	precoce
reversvel	irreversível
rural	urbano
sagrado	profano
secundário	primário
segregado	integrado
sexual	assexual
simétrico	assimétrico
sintético	analítico
sofisticado	cândido
solteiro	casado
sotavento	barlavento
substituível	insubstituível
superior	inferior
sábio	tolo
sólido	líquido
taciturno	tagarela
tagarela	taciturno
tempestuoso	pacato
territorial	extraterritorial
teórico	aplicado/empírico
tolo	sábio
traduzível	intraduzível
transitivo	intransitivo
típico	atípico
unidimensional	multidimensional
urbano	rural
variável	invariável
velho	jovem
vocal	instrumental
vulnerável	invulnerável
