aberto	fechado
abstrato	concreto
amigável	malvado
anormal	normal
assexual	sexual
atípico	típico
automático	manual
baixo	alto
caduco	duradouro
casado	solteiro
concreto	abstrato
curto	longo
dependente	independente
desempregado	ocupado
desfavorável	favorável
destrutivo	construtivo
específico	geral
evitável	inevitável
explícito	implícito
externo	interno
fechado	aberto
ilegal	legal
iluminado	escuro
imoral	moral
impaciente	paciente
imparcial	parcial
implícito	explícito
improvável	provável
incapaz	capaz
incomparável	comparável
incompatível	compatível
inconsistente	consistente
inconstante	constante
independente	dependente
ineficiente	eficiente
inelegível	elegível
inferior	superior
inflexível	flexível
insensível	diplomático
interno	externo
invulnerável	vulnerável
irracional	racional
jovem	velho
legal	ilegal
leve	pesado
longo	curto
líquido	sólido
manual	automático
mental	físico
nacional	internacional
normal	anormal
nublado	nítido
parcial	imparcial
periférico	central
pesado	leve
possível	impossível
primário	secundário
privado	público
profano	sagrado
provável	improvável
próximo	distante
secundário	primário
segregado	integrado
solteiro	casado
sábio	tolo
sólido	líquido
teórico	aplicado/empírico
tolo	sábio
