aberto	fechado
abstrato	concreto
alto	baixo
anormal	normal
aplicado	teórico
automático	manual
capaz	incapaz
casado	solteiro
central	periférico
comparável	incomparável
compatível	incompatível
comum	individual
concreto	abstrato
consistente	inconsistente
constante	inconstante
construtivo	destrutivo
curto	longo
dependente	independente
distante	próximo
eficiente	ineficiente
elegível	inelegível
empírico	teórico
explícito	implícito
externo	interno
favorável	desfavorável
fechado	aberto
flexível	inflexível
físico	mental
geral	específico
ilegal	legal
iluminado	escuro
imparcial	parcial
implícito	explícito
impossível	possível
improvável	provável
independente	dependente
inevitável	evitável
integrado	segregado
internacional	nacional
interno	externo
legal	ilegal
leve	pesado
longo	curto
líquido	sólido
manual	automático
moral	imoral
normal	anormal
nítido	nublado
paciente	impaciente
parcial	imparcial
pesado	leve
primário	secundário
provincial	cosmopolita
provável	improvável
público	privado
racional	irracional
sagrado	profano
secundário	primário
sexual	assexual
sofisticado	cândido
solteiro	casado
superior	inferior
sábio	tolo
sólido	líquido
tolo	sábio
típico	atípico
velho	jovem
vulnerável	invulnerável
