abstrato	concreto
anormal	normal
automático	manual
casado	solteiro
comédia	tragédia
concreto	abstrato
curto	longo
dependente	independente
explícito	implícito
externo	interno
ilegal	legal
iluminado	escuro
imparcial	parcial
implícito	explícito
improvável	provável
independente	dependente
interno	externo
legal	ilegal
leve	pesado
longo	curto
líquido	sólido
manual	automático
normal	anormal
parcial	imparcial
pesado	leve
primário	secundário
provável	improvável
rainha	rei
rei	rainha
secundário	primário
solteiro	casado
sábio	tolo
sólido	líquido
tolo	sábio
tragédia	comédia

