aceleração	desaceleração
adequação	inadequação
afeição	indiferença/aversão
afirmativa	negação
anisotropia	isotropia
anormalidade	normalidade
aprovação	reprovação
assimetria	simetria
ausência	presença
aversão	afeição
benevolência	maldade
calor	frio
cenobita	eremita
civil	militar
complexidade	simplicidade
compreensibilidade	incompreensibilidade
comédia	tragédia
consistência	inconsistência
convergência	divergência
cortesia	descortesia
decisão	indecisão
deflação	inflação/inflação
depressão	euforia
desaceleração	aceleração
descortesia	cortesia
desembarque	embarque
desequilíbrio	equilíbrio
desigualdade	igualdade
deslealdade	lealdade
desmobilização	mobilização
desobediência	conformidade/obediência/obediência
dissonância	harmonia
divergência	convergência
eficiência	ineficiência
embarque	desembarque
equilíbrio	desequilíbrio
estabilidade	instabilidade
estupidez	inteligência
euforia	depressão
experiência	inexperiência
falsidade	veracidade/sinceridade
feminilidade	masculinidade
flexibilidade	inflexibilidade
fêmea	macho
generalidade	particularidade
gratidão	ingratidão
guerra	paz
heterogeneidade	homogeneidade
hiperpigmentação	hipopigmentação
hipertermia	hipotermia
hipopigmentação	hiperpigmentação
hipotermia	hipertermia
homogeneidade	heterogeneidade
humildade	vaidade
igualdade	desigualdade
ilegalidade	legalidade
imaturidade	maturidade
imortalidade	mortalidade
improbabilidade	probabilidade
imprudência	prudência
inadequação	adequação
incompreensibilidade	compreensibilidade
inconsistência	consistência
indecisão	decisão
indiferença	afeição
ineficiência	eficiência
inexperiência	experiência
inflação	deflação/deflação
inflexibilidade	flexibilidade
ingratidão	gratidão
insensibilidade	sensibilidade
instabilidade	estabilidade
integração	segregação
inteligência	estupidez
internacionalismo	nacionalismo
intolerância	tolerância
inutilidade	utilidade
invariabilidade	desigualdade
invisibilidade	visibilidade
irmã	irmão
irmão	irmã
irregularidade	regularidade
irreversibilidade	reversibilidade
juventude	velhice
lealdade	deslealdade
legalidade	ilegalidade
lisura	rugosidade
lonjura	proximidade
macho	fêmea
maldade	benevolência
masculinidade	feminilidade
maturidade	imaturidade
militar	civil
mobilização	desmobilização
monismo	pluralismo
monofonia	polifonia
mortalidade	imortalidade
morte	nascimento
nacionalismo	internacionalismo
nacionalização	privatização
nascimento	morte
normalidade	anormalidade
obediência	desobediência/desobediência
opacidade	transparência
otimismo	pessimismo
particularidade	generalidade
paz	guerra
pessimismo	otimismo
plural	singular
pluralismo	monismo
polifonia	monofonia
presença	ausência
privatização	nacionalização
probabilidade	improbabilidade
pronação	supinação
proximidade	lonjura
prudência	imprudência
rainha	rei
recruta	voluntário
regularidade	irregularidade
rei	rainha
reprovação	aprovação
reversibilidade	irreversibilidade
rugosidade	lisura
segregação	integração
sensibilidade	insensibilidade
simetria	assimetria
simplicidade	complexidade
sinceridade	falsidade
singular	plural
tolerância	intolerância
tragédia	comédia
transparência	opacidade
utilidade	inutilidade
vaidade	humildade
velhice	juventude
veracidade	falsidade
visibilidade	invisibilidade
voluntário	recruta

