abotoar	desabotoar
abrir	fechar
aceitar	rejeitar
acender	apagar
alegrar	entristecer
aparecer	desaparecer
atacar	defender
boicotar	patrocinar
colonizar	descolonizar
combinar	discordar
complicar	simplificar
contaminar	descontaminar
creditar	debitar
crer	desconfiar
debitar	creditar
defender	atacar
desabotoar	abotoar
desaparecer	aparecer
descolonizar	colonizar
desconfiar	crer
descontaminar	contaminar
desencadear	encadear
desengatar	prender
desestabilizar	estabilizar
desmaterializar	materializar
desmobilizar	mobilizar
desobedecer	obedecer
desorganizar	organizar
desoxidar	oxidar
desperdiçar	economizar
desregular	regularizar
desumanizar	humanizar
dividir	multiplicar
economizar	desperdiçar
embaçar	focar
emigrar	imigrar
empobrecer	enriquecer
encadear	desencadear
encher	esvaziar
enfrentar	evitar
enriquecer	empobrecer
entristecer	alegrar
estabilizar	desestabilizar
esvaziar	encher
evitar	enfrentar
explicar	ofuscar
fechar	abrir
focar	embaçar
humanizar	desumanizar
imigrar	emigrar
materializar	desmaterializar
maximizar	minimizar
minimizar	maximizar
mobilizar	desmobilizar
multiplicar	dividir
obedecer	desobedecer
ofuscar	explicar
organizar	desorganizar
oxidar	desoxidar
patrocinar	boicotar
preceder	seguir
rejeitar	aceitar
render-se	resistir
reprovar	atingir
resistir	render-se
seguir	preceder
segurar	soltar
simplificar	complicar
soltar	segurar
