abrigar	abrigo
adicionar	adição
administrar	administração
ajudar	ajuda
alarmar	alarme
ameaçar	ameaça
assistir	assistência
aumentar	aumento
beneficiar	benefício
confessar	confissão
controlar	controlador
decretar	decreto
despachar	despacho
diferenciar	diferenciação
disfarçar	disfarce
enganar	engano
esperar	esperança
expressar	expressão
finalizar	fim/final
fortificar	fortificação
forçar	força
gaguejar	gagueira
gerenciar	gerenciamento
gerir	gestão
governar	governo
imaginar	imaginação
impedir	impedimento
indicar	indicação
influenciar	influência
influir	influência
limitar	limitação
magoar	mágoa
manter	manutenção
ofender	ofensa
pagar	pagamento
refutar	refutação
responder	resposta
restringir	restrição
tentar	tentação
tolerar	tolerância
ver	visão
