administrar	administração
alimentar	alimentação/alimento
aquecer	aquecimento
aumentar	aumento
decorar	decoração
decretar	decreto
delimitar	delimitação
documentar	documentação/documento
encabeçar	encabeçamento
estigmatizar	estigma
forçar	força
garantir	garantia
gerenciar	gerenciamento
gerir	gestão
identificar	identificação
indicar	indicação
influenciar	influência
influir	influência
justificar	justificativa/justificação
medicar	medicamento
motivar	motivação/motivo
nutrir	nutrição
ofender	ofensa
ornar	ornamento
pagar	pagamento
praticar	prática
preocupar	preocupação
preparar	preparação
proteger	protecção
refutar	refutação
responder	resposta
rever	revisão
saudar	saudação
significar	significação/significado
tingir	tintura
ventilar	ventilador
