abrigar	abrigo
acalmar	calmante
adicionar	adição/adição
administrar	administração
ajudar	ajuda/ajuda/ajuda/ajuda
alarmar	alarme
alegrar	alegria
alimentar	alimentação/alimentação/alimento/alimento
aludir	alusão
ameaçar	ameaça/ameaça/ameaça
amortecer	amortecedor
amplificar	amplificador
anunciar	anúncio
aprimorar	aprimoramento
aprovar	aprovação
aquecer	aquecimento
assistir	assistência
augurar	augúrio
aumentar	aumento/aumento/aumento/aumento
aventurar	aventura
barricar	barricada
beneficiar	benefício/benefício
citar	citação/citação
comentar	comentário
complementar	complemento
completar	complemento
condescender	condescendência
confessar	confissão/confissão
confirmar	confirmação/confirmação/confirmação/confirmação
contaminar	contaminação/contaminação
controlar	controlador
cristalizar	cristalização
decorar	decoração/decoração/decoração/decoração
decretar	decreto
deduzir	dedução/dedução
delimitar	delimitação
despachar	despacho
diferenciar	diferenciação
disfarçar	disfarce
documentar	documentação/documento
emitir	emissor
encabeçar	encabeçamento
encomendar	encomenda
endossar	endosso
enganar	engano
enriquecer	enriquecimento
entrar	entrada
esperar	esperança/esperança
estigmatizar	estigma
excitar	excitação
expressar	expressão
filmar	filme
finalizar	fim/final
fortificar	fortificação/fortificação
forçar	força/força/força/força
gaguejar	gagueira
garantir	garantia/garantia/garantia/garantia
gerenciar	gerenciamento
gerir	gestão
governar	governo
hesitar	hesitação
identificar	identificação
imaginar	imaginação
impedir	impedimento
impulsionar	impulsão
incentivar	incentivo
indicar	indicação
influenciar	influência/influência
influir	influência/influência
injuriar	injúria
insultar	insulto
integrar	integração
interpolar	interpolação
irritar	irritação
justificar	justificativa/justificação/justificativa/justificação
ligar	ligação
limitar	limitação/limitação
magoar	mágoa
manobrar	manobra
manter	manutenção
medicar	medicamento
melhorar	melhoramento/melhoria
mencionar	menção
mentir	mentira
motivar	motivação/motivo
multiplicar	multiplicação/multiplicação
nutrir	nutrição/nutrição
obrigar	obrigação
ofender	ofensa
ornar	ornamento
pagar	pagamento
pedir	pedido
praticar	prática
predispor	predisposição
preocupar	preocupação/preocupação/preocupação
preparar	preparação
pressionar	pressão
prognosticar	prognóstico
proibir	proibição/proibição/proibição
proteger	protecção
provocar	provocação/provocação/provocação/provocação/provocação/provocação/provocação
recomendar	recomendação/recomendação
refutar	refutação/refutação
renunciar	renúncia
represar	represa
responder	resposta/resposta
restringir	restrição/restrição
rever	revisão
saudar	saudação
significar	significação/significado
silenciar	silenciador
simular	simulador
soldar	solda
supor	suposição
suturar	sutura
tentar	tentação
tingir	tintura
tolerar	tolerância
transformar	transformação
triangular	triangulação
ventilar	ventilador
ver	visão
verificar	verificação

