abastecer	abastecimento
acelerar	aceleração
acordar	acordo
acrescentar	acréscimo
acumular	acumulação/acúmulo
adquirir	aquisição
agitar	agitação
ajudar	ajuda
alterar	alteração
amar	amante
andar	andada
apostar	aposta
ascender	ascensão
assassinar	assassínio/assassinato
assistir	assistência
atacar	ataque
aumentar	aumento
autorizar	autorização
auxiliar	auxílio
avançar	avanço
avariar	avaria
batalhar	batalha
bater	batida
calcular	cálculo
caminhar	caminhada
caracterizar	caracterização
castigar	castigo
causar	causa
caçar	caçada
celebrar	celebração
chegar	chegada
chover	chuva
classificar	classificação
colidir	colisão
colocar	colocação
combater	combate
combinar	combinação
começar	começo
compor	composição
comprimir	compressão
comunicar	comunicação
conceber	concepção
concluir	conclusão
conectar	conexão
consertar	conserto
constituir	constituição
construir	construção
conversar	conversação/conversa
convidar	convite
correr	corrida
corrigir	correção
crescer	crescimento
criar	criação
cultivar	cultivo
custar	custo
danificar	dano
dançar	dança
decidir	decisão
demonstrar	demonstração
denominar	denominação
descobrir	descobrimento/descoberta
descrever	descrição
desejar	desejo
deslocar	deslocamento
desperdiçar	desperdício
destruir	destruição
deteriorar	deterioração
diferenciar	diferença
diminuir	diminuição
discriminar	discriminação
discutir	discussão
distribuir	distribuição
divertir	diversão/divertimento/diversão
dividir	divisão
edificar	edificação
elevar	elevação
emprestar	empréstimo
empurrar	empurrão
encontrar	encontro
enganar	enganação
entreter	entretenimento
enviar	envio
escapar	escapada
escolher	escolha
esperar	esperança
estabelecer	estabelecimento
estimar	estimativa
evoluir	evolução
executar	execução
exercitar	exercício
expedir	expedição
experimentar	experiência
explodir	explosão
explorar	exploração
expressar	expressão
ferir	ferimento
fornecer	fornecimento
fugir	fuga
funcionar	função
guerrear	guerra
iluminar	iluminação
imaginar	imaginação
impulsionar	impulsão
iniciar	início
inscrever	inscrição
inserir	inserção
insultar	insulto
interagir	interação
interessar	interesse
introduzir	introdução
inventar	invenção
inverter	inversão
investigar	investigação
investir	investimento
julgar	julgamento/julgador
levantar	levantamento
limitar	limitação
lutar	luta
magoar	mágoa
marchar	marcha
medir	medição/medida
melhorar	melhoramento/melhoria
mensurar	mensuração
modificar	modificação
morrer	morte
mover	movimento
mudar	mudança
obter	obtenção
ofender	ofensa
oferecer	oferecimento
olhar	olhada
operar	operação
ordenar	ordenação
organizar	organização
pagar	pagamento
participar	participação
partir	partida
penalizar	penalização
pensar	pensamento
perceber	percepção
permanecer	permanência
perseguir	perseguição
personificar	personificação
persuadir	persuasão
possuir	possessão
precipitar	precipitação
preparar	preparação
progredir	progressão/progresso
prometer	promessa
propor	proposição
propulsar	propulsão
proteger	protecção/proteção
protestar	protesto
punir	punição
puxar	puxão
realizar	realização
receber	recebimento
recuperar	recuperação
reduzir	redução
registrar	registro
rejeitar	rejeição
relacionar	relação
relatar	relato/relatório
reparar	reparo/reparação
resolver	resolução
responder	resposta
restringir	restrição
resultar	resultado
retificar	retificação
reunir	reunião
reverter	reversão
rodar	rotação
romper	rompimento
selecionar	selecção/seleção
separar	separação
socorrer	socorro
supor	suposição
surpreender	surpresa
tentar	tentativa
tocar	toque
trabalhar	trabalho
transferir	transferência
transportar	transporte
treinar	treino
tremer	tremura
unificar	unificação
usar	uso
variar	variação
vender	venda
viajar	viagem
vir	vinda
votar	votação/voto/votação
