abandonar	abandono
abastecer	abastecimento
abortar	abortamento/aborto
acabar	acabamento/acabamento
aceitar	aceitação/aceitação/aceitação/aceitação/aceitação/aceitação
acelerar	aceleração/aceleração
acompanhar	acompanhamento
acordar	acordo/acordo/acordo
acrescentar	acréscimo
acumular	acumulação/acúmulo
adiar	adiamento
admitir	admissão
adotar	adopção/adoção
adquirir	aquisição/aquisição/aquisição
afetar	efeito
afirmar	afirmação
agitar	agitação
ajudar	ajuda
ajustar	ajustamento
aliviar	alívio
alongar	alongamento/alongamento
alterar	alteração/alteração/alteração/alteração
alugar	aluguel
amadurecer	amadurecimento
amar	amante
amortizar	amortização
amputar	amputação
andar	andada
aniquilar	aniquilamento/aniquilação
anunciar	anúncio/anúncio
aparecer	aparição
aperfeiçoar	aperfeiçoamento
apostar	aposta/aposta
apresentar	apresentação
aprovar	aprovação
arrepender	arrependimento
ascender	ascensão
assassinar	assassínio/assassinato
assemelhar	semelhança
assistir	assistência
assobiar	assobio
atacar	ataque
aumentar	aumento/aumento/aumento/aumento/aumento/aumento
autorizar	autorização
auxiliar	auxílio
avaliar	avaliação/avaliação/avaliação
avançar	avanço/avanço
avariar	avaria
batalhar	batalha/batalha/batalha
bater	batida
beber	bebida
cair	queda
calcular	cálculo/cálculo
caminhar	caminhada/caminhada
caracterizar	caracterização/caracterização
castigar	castigo
castrar	castração
causar	causa
cauterizar	cauterização
caçar	caçada
ceder	cessão/cessão
celebrar	celebração/celebração
cessar	cessação/cessação
chegar	chegada
cheirar	cheiro/cheiro
chocar	choque
chover	chuva/chuva
classificar	classificação/classificação/classificação
cochichar	cochicho
codificar	codificação
colher	colheita
colidir	colisão
colocar	colocação
combater	combate/combate/combate
combinar	combinação/combinação/combinação/combinação
começar	começo/começo/começo/começo/começo/começo
compensar	compensação
competir	competição
compor	composição
comprar	compra/compra
compreender	compreensão/compreensão/compreensão/compreensão
comprimir	compressão/compressão
comunicar	comunicação
conceber	concepção
concluir	conclusão/conclusão/conclusão
conectar	conexão
confessar	confissão/confissão
confundir	confusão
consentir	consentimento
consertar	conserto
constituir	constituição
construir	construção
consultar	consulta
contemplar	contemplação
continuar	continuação/continuação
contrair	contração/contracção
contribuir	contribuição
convalescer	convalescência
conversar	conversação/conversa/conversa
convidar	convite/convite/convite
copular	cópula
correr	corrida/corrida
corrigir	correção
corromper	corrupção
crescer	crescimento/crescimento
criar	criação/criação
cultivar	cultivo
cumprir	cumprimento
custar	custo
danificar	dano
dançar	dança/dança
decidir	decisão
declarar	declaração
dedicar	dedicação
deformar	deformação
deglutir	deglutição
demandar	demanda
demonstrar	demonstração/demonstração
denominar	denominação
derrapar	derrapagem
derreter	derretimento/derretimento
desafiar	desafio
desaparecer	desaparição
descobrir	descobrimento/descoberta
descontinuar	descontinuação
descrever	descrição/descrição/descrição
desejar	desejo/desejo/desejo/desejo/desejo/desejo
desintegrar	desintegração
deslizar	deslizamento/deslizamento
deslocar	deslocamento
desperdiçar	desperdício/desperdício
destruir	destruição/destruição
deteriorar	deterioração
diferenciar	diferença
diminuir	diminuição/diminuição
discriminar	discriminação
discutir	discussão
distribuir	distribuição
divertir	diversão/divertimento/diversão
dividir	divisão/divisão/divisão
doer	dor/dor
drenar	drenagem/dreno
edificar	edificação
ejetar	ejeção
eleger	eleição
elevar	elevador/elevação
elogiar	elogio
elucidar	elucidação
embelezar	embelezamento
