abandonar	abandono
abastecer	abastecimento
abduzir	abdução
abolir	abolimento/abolição
abraçar	abraço/abraço
absorver	absorção
acabar	acabamento
acalmar	calma
aclamar	aclamação
acompanhar	acompanhamento
acrescentar	acréscimo
adiar	adiamento
adicionar	adição
admitir	admissão
adotar	adoção/adopção/adoção
adquirir	aquisição/aquisição/aquisição
afetar	efeito
agachar	agachamento
agitar	agitação
ajudar	ajuda/ajuda
ajustar	ajustamento
alterar	alteração/alteração/alteração
aludir	alusão
amadurecer	amadurecimento
amaldiçoar	maldição/maldição/maldição/maldição
amputar	amputação
andar	andada
anular	anulação
anunciar	anúncio
aparecer	aparição
apelar	apelação/apelo
aplaudir	aplauso
aplicar	aplicação
apostar	aposta/aposta/aposta
apresentar	apresentação
aprisionar	aprisionamento
aprovar	aprovação/aprovação
arrepender	arrependimento
articular	articulação
ascender	ascensão
assaltar	assalto/assalto
assemelhar	semelhança
assistir	assistência/assistência
atacar	ataque
ativar	ativação
atrasar	atraso
aumentar	aumento/aumento/aumento
auxiliar	auxílio
avaliar	avaliação/avaliação/avaliação
bater	batida/batida
beber	bebida
beijar	beijo
berrar	berro
bradar	brado
cair	queda
caminhar	caminhada/caminhada
cancelar	cancelamento
castigar	castigo
caçar	caçada
celebrar	celebração/celebração
cessar	cessação/cessação
cheirar	cheiro
citar	citação
cochichar	cochicho
colaborar	colaboração/colaboração
colidir	colisão
colocar	colocação
combinar	combinação
comentar	comentário
comercializar	comercialização
começar	começo/começo/começo
compensar	compensação
competir	competição
comprar	compra/compra
compreender	compreensão/compreensão
comprimir	compressão/compressão
comprometer	compromisso/compromisso
conceber	concepção
condenar	condenação
conectar	conexão
confirmar	confirmação
confortar	conforto
consertar	conserto
considerar	consideração/consideração
consolar	consolação/consolo
contemplar	contemplação
contrair	contração
contratar	contratação
convalescer	convalescência
convidar	convite
cooperar	cooperação/cooperação/cooperação
correr	corrida
corresponder	correspondência
crescer	crescimento/crescimento
criar	criação/criação/criação/criação
culpar	culpa
danificar	dano
dançar	dança/dança
debater	debate/debate/debate
decepcionar	decepção
decidir	decisão
decrescer	decréscimo
dedicar	dedicação
deglutir	deglutição
demandar	demanda
demitir	demissão
demonstrar	demonstração/demonstração
denunciar	denúncia
derrapar	derrapagem
derreter	derretimento
desabar	desabamento/desabamento
desaparecer	desaparição
descobrir	descobrimento/descoberta
descontinuar	descontinuação
descrever	descrição/descrição
desdenhar	desdém
desejar	desejo/desejo
desenhar	desenho
desenvolver	desenvolvimento
desfalecer	desfalecimento
deslizar	deslizamento/deslizamento
desmaiar	desmaio
desmoronar	desmoronamento
desperdiçar	desperdício
desprezar	desprezo
destruir	destruição
deteriorar	deterioração/deterioração
diminuir	diminuição/diminuição/diminuição
discriminar	discriminação
discutir	discussão
disputar	disputa/disputa/disputa/disputa/disputa/disputa
disseminar	disseminação
dissuadir	dissuasão
distorcer	distorção
dividir	divisão
divorciar	divórcio
doar	doação/doação
doer	dor/dor
drenar	drenagem/dreno
eleger	eleição
elevar	elevador/elevação
empatar	empate
emprestar	empréstimo
empurrar	empurrão/empurrão
encarcerar	encarceramento
enganar	enganação
engatinhar	engatinhamento
ensinar	ensinamento/ensino
entrar	entrada
enumerar	enumeração
escandalizar	escândalo
escapar	escapada
escolher	escolha/escolha
esmagar	esmagamento
espalhar	espalhamento
esperar	espera
estender	extensão
estudar	estudo
estuprar	estupro
evitar	evitação
evocar	evocação
exagerar	exagero/exagero/exagero
executar	execução
experimentar	experimento/experiência/experiência/experimento/experiência/experiência
explicar	explicação/explicação/explicação
explodir	explosão
explorar	exploração/exploração/exploração
expor	exposição
exportar	exportação/exportação
expulsar	expulsão
extorquir	extorsão
extraditar	extradição
fabricar	fabricação/fabricação
falsificar	falsificação
felicitar	felicitação
ferir	ferimento
finalizar	fim/finalização/fim
formar	formação/formação/formação/formação
formular	formulação
fornecer	fornecimento
fugir	fuga/fuga
fundir	fusão/fusão
garantir	garantia
gemer	gemido
germinar	germinação
governar	governação/governo
herdar	herança
hesitar	hesitação
identificar	identificação
iluminar	iluminamento/iluminação/iluminação/iluminação
imaginar	imaginação
imitar	imitação
importar	importação
impulsionar	impulsão
infectar	infecção
iniciar	início/início/início
inscrever	inscrição
instalar	instalação/instalação
instruir	instrução/instrução
intensificar	intensificação
interrogar	interrogação/interrogatório/interrogação
interromper	interrupção/interrupção
inundar	inundação/inundação
inventar	invenção/invenção
irritar	irritação/irritação/irritação/irritação
jogar	jogo
julgar	juiz
justificar	justificativa/justificação
lançar	lançamento/lançamento
legislar	legislação/legislação
levantar	levantamento
limitar	limitação
lutar	luta/luta/luta/luta/luta
marchar	marcha/marcha
mastigar	mastigação
melhorar	melhoramento/melhoramento/melhoria
mensurar	mensuração
mentir	mentira
minimizar	minimização
misturar	mistura/mistura/mistura/mistura/mistura/mistura/mistura
modernizar	modernização
modificar	modificação/modificação/modificação
morrer	morte/morte
mudar	mudança/mudança/mudança/mudança/mudança
nadar	nadada/nadada/natação/natação
narrar	narração
negar	negação
nomear	nomeação
obedecer	obediência
observar	observação
obstruir	obstrução
obter	obtenção
olhar	olhadela
orar	oração
organizar	organização/organização/organização/organização/organização/organização/organização
ostentar	ostentamento
pagar	pagamento
parabenizar	parabéns
participar	participação
partir	partida
passear	passeio
pedir	pedido
penalizar	penalização
perceber	percepção/percepção
perdoar	perdão
perfurar	perfuração
perguntar	pergunta/pergunta
permanecer	permanência
permitir	permissão
perseguir	perseguição
perseverar	perseverança
persistir	persistência
persuadir	persuasão
piorar	piora
plagiar	plágio
preceder	precedência/precedência
predizer	predição
preparar	preparação
pressionar	pressão
pressupor	pressuposto
prever	previsão/previsão
privar	privação
prognosticar	prognóstico
projetar	projeto
propor	proposição/proposição/proposta
proteger	protecção/proteção
provar	prova
publicar	publicação/publicação
pular	pulo/pulo
punir	punição
puxar	puxão
quantificar	quantificação
questionar	questão/questão/questão
racionalizar	racionalização
raptar	rapto/rapto
rastejar	rastejamento
realizar	realização/realização
reclamar	reclamação
recompensar	recompensa
reconhecer	reconhecimento
recrutar	recrutamento
recuperar	recuperação/recuperação
recusar	recusa
reduzir	redução
refletir	reflexão
registrar	registro
regressar	regresso/regresso
rejeitar	rejeição
relacionar	relação
relaxar	relaxação
remunerar	remuneração
renunciar	renúncia/renúncia/renúncia
reparar	reparo/reparação
representar	representação/representação
rescindir	rescisão
reservar	reserva
resgatar	resgate
resignar	resignação
resolver	resolução
respeitar	respeito
respirar	respiração
responder	resposta/resposta
restringir	restrição/restrição
retornar	retorno/retorno
revelar	revelação/revelação
rever	revisão
revogar	revogação
rezar	reza
rir	risada/riso
romper	rompimento
saltar	salto/salto/salto
salvar	salvamento/salvação
sangrar	sangramento
selecionar	selecção/seleção
separar	separação
sequestrar	sequestro
simular	simulação
socorrer	socorro
solicitar	solicitação
sorrir	sorriso/sorriso
subir	subida
substituir	substituição/substituição/substituição
sugerir	sugestão/sugestão
supervisionar	supervisão
supor	suposição/suposição/suposição/suposição
suspirar	suspiro
sussurrar	sussurro
