abastecer	abastecimento
abjurar	abjuração
acelerar	aceleração
acordar	acordo
acrescentar	acréscimo
acumular	acumulação/acúmulo
adquirir	aquisição
agitar	agitação
agredir	agressão
ajudar	ajuda
alterar	alteração
amar	amante
andar	andada
anular	anulação
aplicar	aplicação
apostar	aposta
aprender	aprendizagem
argumentar	argumentação
ascender	ascensão
assaltar	assalto
assassinar	assassínio/assassinato
assistir	assistência
atacar	ataque
atrasar	atraso
aumentar	aumento
ausentar	ausência
autorizar	autorização
auxiliar	auxílio
avançar	avanço
avariar	avaria
aventurar	aventura
batalhar	batalha
bater	batida
beijar	beijo
calcular	cálculo
calibrar	calibração
caminhar	caminhada
cancelar	cancelamento
caracterizar	caracterização
castigar	castigo
categorizar	categorização
causar	causa
caçar	caçada
celebrar	celebração
chegar	chegada
chover	chuva
classificar	classificação
colaborar	colaboração
colidir	colisão
colocar	colocação
combater	combate
combinar	combinação
comentar	comentário
começar	começo
compor	composição
comprimir	compressão
comunicar	comunicação
conceber	concepção
concentrar	concentração
concluir	conclusão
conectar	conexão
confortar	conforto
consagrar	consagração
consertar	conserto
consolar	consolação/consolo
constituir	constituição
construir	construção
consultar	consulta
contactar	contato
contaminar	contaminação
contatar	contato
controlar	controle
conversar	conversação/conversa
convidar	convite
cooperar	cooperação
correr	corrida
corrigir	correção
crescer	crescimento
criar	criação
cultivar	cultivo
custar	custo
danificar	dano
dançar	dança
debater	debate
decidir	decisão
decorar	decoração
decrescer	decréscimo
degradar	degradação
demitir	demissão
demonstrar	demonstração
denominar	denominação
desabafar	desabafo
desaparecer	desaparecimento
descobrir	descobrimento/descoberta
descrever	descrição
desejar	desejo
desenvolver	desenvolvimento
desgraçar	desgraça
deslocar	deslocamento
desperdiçar	desperdício
destruir	destruição
deteriorar	deterioração
diferenciar	diferença
diminuir	diminuição
discriminar	discriminação
discutir	discussão
disputar	disputa
dissimular	dissimulação
distribuir	distribuição
divertir	diversão/divertimento/diversão
dividir	divisão
documentar	documentação/documento
edificar	edificação
elevar	elevação
emigrar	emigração
emprestar	empréstimo
empurrar	empurrão
encontrar	encontro
enganar	enganação
entrar	entrada
entreter	entretenimento
enviar	envio
erodir	erosão
escapar	escapada
escolher	escolha
esmagar	esmagamento
esperar	esperança
estabelecer	estabelecimento
estimar	estimativa
evoluir	evolução
examinar	exame
executar	execução
exercitar	exercício
expatriar	expatriação
expedir	expedição
experienciar	experiência
experimentar	experimento/experiência
explicar	explicação
explodir	explosão
explorar	exploração
exportar	exportação
expressar	expressão
fabricar	fabricação
falsificar	falsificação
ferir	ferimento
fornecer	fornecimento
fraturar	fractura
fugir	fuga
funcionar	função
gorjear	gorjeio
guerrear	guerra
herdar	herança
iluminar	iluminação
imaginar	imaginação
impulsionar	impulsão
inflamar	inflamação
infringir	infracção/infração
iniciar	início
inscrever	inscrição
inserir	inserção
insultar	insulto
insurgir	insurreição
interagir	interação
interessar	interesse
interferir	interferência
interrogar	interrogação/interrogatório
interromper	interrupção
introduzir	introdução
inventar	invenção
inverter	inversão
investigar	investigação
investir	investimento
julgar	juiz/julgamento/julgador
legislar	legislação
levantar	levantamento
limitar	limitação
lutar	luta
magoar	mágoa
marchar	marcha
medir	medição/medida
melhorar	melhoramento/melhoria
mensurar	mensuração
migrar	migração
modificar	modificação
morrer	morte
mover	movimento
mudar	mudança
negar	negação
negociar	negociação
nevar	nevada
obstruir	obstrução
obter	obtenção
ofender	ofensa
oferecer	oferecimento
olhar	olhada
operar	operação
orar	oração
ordenar	ordem/ordenação/ordem
organizar	organização
ornar	ornamento
pagar	pagamento
participar	participação
partir	partida
pedir	pedido
penalizar	penalização
pensar	pensamento
perceber	percepção
perguntar	pergunta
permanecer	permanência
perseguir	perseguição
personificar	personificação
persuadir	persuasão
pesquisar	pesquisa
poluir	poluição
possuir	possessão
praticar	prática
precipitar	precipitação
preparar	preparação
processar	processo
progredir	progressão/progresso
prometer	promessa
propor	proposição
propulsar	propulsão
proteger	protecção/proteção
protestar	protesto
pular	pulo
punir	punição
puxar	puxão
questionar	questão
reagir	reação
realizar	realização
rebelar	rebelião
receber	recebimento
recompensar	recompensa
reconhecer	reconhecimento
recuperar	recuperação
reduzir	redução
registrar	registro
regressar	regresso
rejeitar	rejeição
relacionar	relação
relatar	relato/relatório
remunerar	remuneração
reorientar	reorientação
reparar	reparo/reparação
representar	representação
resolver	resolução
respirar	respiração
responder	resposta
restringir	restrição
resultar	resultado
retificar	retificação
retornar	retorno
reunir	reunião
rever	revisão
reverter	reversão
revoltar	revolta
rezar	reza
rodar	rotação
romper	rompimento
saltar	salto
salvar	salvamento/salvação
segmentar	segmentação
selecionar	selecção/seleção
separar	separação
socorrer	socorro
solicitar	solicitação
supor	suposição
surpreender	surpresa
suspender	suspensão
taxar	taxa
tentar	tentativa
tocar	toque
trabalhar	trabalho
trair	traição
transferir	transferência
transgredir	transgressão
transmitir	transmissão
transportar	transporte
tratar	tratamento
treinar	treino
tremer	tremura
trocar	troca
unificar	unificação
usar	uso
utilizar	utilização
variar	variação
vencer	vitória
vender	venda
verificar	verificação
viajar	viagem
vir	vinda
votar	votação/voto/votação
