abastecer	abastecimento
abortar	abortamento/aborto
aceitar	aceitação
acrescentar	acréscimo
adicionar	adição
adotar	adopção/adoção
afetar	efeito
afiliar	afiliação
afirmar	afirmação
agredir	agressão
ajudar	ajuda
alistar	alistamento
alterar	alteração
alugar	aluguel
amar	amante
anunciar	anúncio
aplicar	aplicação
apostar	aposta
apresentar	apresentação
aprovar	aprovação
argumentar	argumentação
assaltar	assalto
assassinar	assassínio/assassinato
assimilar	assimilação
assistir	assistência
atacar	ataque
atrasar	atraso
aumentar	aumento
ausentar	ausência
auxiliar	auxílio
avaliar	avaliação
avariar	avaria
aventurar	aventura
avisar	aviso
batalhar	batalha
beber	bebida
bradar	brado
cair	queda
calcular	cálculo
castigar	castigo
celebrar	celebração
chantagear	chantagem
chover	chuva
circular	circulação
citar	citação
colocar	colocação
combater	combate
comemorar	comemoração
comentar	comentário
começar	começo
compensar	compensação
competir	competição
complicar	complicação
compor	composição
comportar	comportamento
comprometer	compromisso
conceber	concepção
condenar	condenação
confessar	confissão
confirmar	confirmação
confortar	conforto
considerar	consideração
consolar	consolação/consolo
conspirar	conspiração
constituir	constituição
consultar	consulta
contactar	contato
contaminar	contaminação
contatar	contato
contratar	contrato
convalescer	convalescência
conversar	conversação/conversa
convidar	convite
cooperar	cooperação
correlacionar	correlação
correr	corrida
corresponder	correspondência
corrigir	correção
cortar	corte
crescer	crescimento
criar	criação
danificar	dano
debater	debate
declarar	declaração
decrescer	decréscimo
dedicar	dedicação
demonstrar	demonstração
deportar	deportação
desconfiar	desconfiança
desdenhar	desdém
desgraçar	desgraça
desjejuar	desjejum
desprezar	desprezo
destruir	destruição
diminuir	diminuição
discriminar	discriminação
discutir	discussão
disputar	disputa
distorcer	distorção
divertir	diversão/divertimento
dividir	divisão
divorciar	divórcio
doar	doação
documentar	documentação/documento
educar	educação
eleger	eleição
elevar	elevador
elogiar	elogio
empatar	empate
emprestar	empréstimo
encontrar	encontro
ensaiar	ensaio
ensinar	ensinamento/ensino
enterrar	enterro
entreter	entretenimento
entrevistar	entrevista
equacionar	equação
escandalizar	escândalo
escapar	escapada
especular	especulação
estuprar	estupro
evoluir	evolução
examinar	examinação/exame
executar	execução
exercitar	exercício
exilar	exílio
expedir	expedição
experienciar	experiência
experimentar	experimento/experiência
explicar	explicação
explorar	exploração
fabricar	fabricação
finalizar	fim
formar	formação
fornecer	fornecimento
fraturar	fractura
fugir	fuga
imigrar	imigração
infectar	infecção
infringir	infracção/infração
iniciar	início
injetar	injeção
inscrever	inscrição
instruir	instrução
insultar	insulto
insurgir	insurreição
interagir	interação
interrogar	interrogação
interromper	interrupção
inundar	inundação
invadir	invasão
inventar	invenção
investigar	investigação
jogar	jogo
julgar	juiz/julgamento
legislar	legislação
leiloar	leilão
louvar	louvor
lutar	luta
marchar	marcha
mentir	mentira
migrar	migração
misturar	mistura
modificar	modificação
morrer	morte
mudar	mutação/troca/mudança
negociar	negociação
nevar	nevada
nomear	nomeação
ocupar	ocupação
oferecer	oferecimento
olhar	olhadela
operar	operação
opinar	opinião
ordenar	ordem
pagar	pagamento
partir	partida
penalizar	penalização
perguntar	pergunta
pesquisar	pesquisa
poluir	poluição
possuir	possessão
praticar	prática
preferir	preferência
pressionar	pressão
pressupor	pressuposto
prever	previsão
processar	processo
procurar	procura
prognosticar	prognóstico
progredir	progresso
prometer	promessa
propor	proposição/proposta
proteger	protecção/proteção
protestar	protesto
provar	prova
publicar	publicação
punir	punição
questionar	questão
realizar	realização
rebelar	rebelião
recuperar	recuperação
reduzir	redução
registrar	registro
regressar	regresso
rejeitar	rejeição
relatar	relato/relatório
remunerar	remuneração
resignar	resignação
resolver	resolução
responder	resposta
resultar	resultado
retificar	retificação
retornar	retorno
reverter	reversão
revoltar	revolta
revolucionar	revolução
rodar	rotação
sacrificar	sacrifício
separar	separação
sepultar	sepultamento/sepultura
silenciar	silêncio
socorrer	socorro
sorrir	sorriso
sugerir	sugestão
supor	suposição
surpreender	surpresa
suspender	suspensão
taxar	taxa
telefonar	telefonema
tentar	tentativa
torturar	tortura
trabalhar	trabalho
transferir	transferência
transportar	transporte
treinar	treino
tremer	tremor
trocar	troca
utilizar	utilização
variar	variação
vencer	vitória
vingar	vingança
votar	votação/voto
