abandonar	abandono
abastecer	abastecimento
abdicar	abdicação
abduzir	abdução
abjurar	abjuração
abolir	abolimento/abolição
abominar	abominação
abortar	abortamento/aborto/abortamento/aborto
abraçar	abraço
abrir	abertura
absorver	absorção
acabar	acabamento
acalmar	calma
acampar	acampamento
aceitar	aceitação
acelerar	aceleração
acentuar	acentuação
acessar	acesso
acidificar	acidificação
aclamar	aclamação
aclimatar	aclimatação/aclimação
acompanhar	acompanhamento
acordar	acordo
acrescentar	acréscimo
acumular	acumulação/acúmulo
acusar	acusação
adiar	adiamento
adicionar	adição
admitir	admissão
adornar	adornamento
adotar	adopção/adoção/adopção/adoção
adquirir	aquisição
afetar	efeito
afiliar	afiliação
afirmar	afirmação
agachar	agachamento
agitar	agitação
aglutinar	aglutinação
agredir	agressão
ajudar	ajuda
ajustar	ajustamento
alimentar	alimentação
alistar	alistamento
aliviar	alívio
alongar	alongamento
alterar	alteração
alucinar	alucinação
aludir	alusão
alugar	aluguel
amadurecer	amadurecimento
amaldiçoar	maldição
amar	amante
americanizar	americanização
amortizar	amortização
amputar	amputação
andar	andada
angustiar	angústia
aniquilar	aniquilamento/aniquilação
anotar	anotação
anular	anulação
anunciar	anúncio
aparecer	aparição
apelar	apelação/apelo
aperfeiçoar	aperfeiçoamento
aplaudir	aplauso
aplicar	aplicação
apostar	aposta
aprender	aprendizagem
apresentar	apresentação
aprisionar	aprisionamento
aprovar	aprovação
aquiescer	aquiescência
arejar	arejamento
argumentar	argumentação
arrepender	arrependimento
articular	articulação
ascender	ascensão
assaltar	assalto
assassinar	assassínio/assassinato
assemelhar	semelhança
assentir	assentimento
assimilar	assimilação
assistir	assistência
assobiar	assobio
assumir	assunção
atacar	ataque
ativar	ativação
atrasar	atraso
atrofiar	atrofia
augurar	augúrio
aumentar	aumento
auscultar	auscultação
ausentar	ausência
automatizar	automatização/automação
autorizar	autorização
auxiliar	auxílio
avaliar	avaliação
avançar	avanço
avariar	avaria
aventurar	aventura
avisar	aviso
batalhar	batalha
bater	batida
beatificar	beatificação
beber	bebida
beijar	beijo
berrar	berro
bifurcar	bifurcação
boicotar	boicote
bradar	brado
brotar	brotação
cair	queda
calcificar	calcificação
calcular	cálculo
calibrar	calibração
caminhar	caminhada
cancelar	cancelamento
canonizar	canonização
capitalizar	capitalização
caracterizar	caracterização
castigar	castigo
castrar	castração
catalogar	catalogação
categorizar	categorização
causar	causa
cauterizar	cauterização
caçar	caçada
ceder	cessão
celebrar	celebração
centralizar	centralização
centrifugar	centrifugação
cessar	cessação
chantagear	chantagem
chegar	chegada
cheirar	cheiro
chocar	choque
chover	chuva
chuviscar	chuvisco
circular	circulação
circuncidar	circuncisão
citar	citação
civilizar	civilização
clarificar	clarificação
classificar	classificação
coabitar	coabitação
coagular	coagulação
cochichar	cochicho
cochilar	cochilo
codificar	codificação
coexistir	coexistência
cogitar	cogitação
colaborar	colaboração
colher	colheita
colidir	colisão
colocar	colocação
colonizar	colonização
combater	combate
combinar	combinação
comemorar	comemoração
comentar	comentário
comercializar	comercialização
começar	começo
compensar	compensação
competir	competição
compilar	compilação
complicar	complicação
compor	composição
comportar	comportamento
comprar	compra
compreender	compreensão
comprimir	compressão
comprometer	compromisso
comungar	comunhão
comunicar	comunicação
conceber	concepção
concentrar	concentração
concluir	conclusão
condenar	condenação
conectar	conexão
confeccionar	confecção
confederar	confederação
confessar	confissão
confirmar	confirmação
confortar	conforto
confundir	confusão
consagrar	consagração
consentir	consentimento
consertar	conserto
considerar	consideração
consolar	consolação/consolo
consolidar	consolidação
conspirar	conspiração
constituir	constituição
construir	construção
consultar	consulta
contactar	contato
contaminar	contaminação
contatar	contato
contemplar	contemplação
contentar	contentamento
continuar	continuação
contradizer	contradição
contrair	contração/contracção
contratar	contrato/contratação
contribuir	contribuição
controlar	controle
contundir	contusão
convalescer	convalescência
conversar	conversação/conversa
convidar	convite
convocar	convocação
convulsionar	convulsão
cooperar	cooperação
coordenar	coordenação
copular	cópula
correlacionar	correlação
correr	corrida
corresponder	correspondência
corrigir	correção
corroer	corrosão
corromper	corrupção
cortar	corte
crescer	crescimento
criar	criação
cristalizar	cristalização
culminar	culminância/culminação
culpar	culpa
cultivar	cultivo
cumprir	cumprimento
custar	custo
danificar	dano
dançar	dança
debater	debate
decair	decadência
decepcionar	decepção
decidir	decisão
declarar	declaração
decorar	decoração
decrescer	decréscimo
dedicar	dedicação
deduzir	dedução
deformar	deformação
deglutir	deglutição
degradar	degradação
degustar	degustação
delegar	delegação
deletar	deletamento/deleção
demandar	demanda
demitir	demissão
demolir	demolição
demonstrar	demonstração
denominar	denominação
denunciar	denúncia
deportar	deportação
derramar	derramamento
derrapar	derrapagem
derreter	derretimento
desabafar	desabafo
desabar	desabamento
desacelerar	desaceleração
desafiar	desafio
desanimar	desânimo
desaparecer	desaparecimento/desaparição
desarmar	desarmamento
desativar	desativação
descentralizar	descentralização
descobrir	descobrimento/descoberta
descolonizar	descolonização
desconfiar	desconfiança
descontaminar	descontaminação
descontinuar	descontinuação
descrever	descrição
desdenhar	desdém
desejar	desejo
desencantar	desencantamento
desenhar	desenho
desenvolver	desenvolvimento
desfalecer	desfalecimento
desfigurar	desfiguramento
desgraçar	desgraça
desidratar	desidratação
desiludir	desilusão
desintegrar	desintegração
desintoxicar	desintoxicação
desjejuar	desjejum
deslizar	deslizamento
deslocar	deslocamento
desmaiar	desmaio
desmineralizar	desmineralização
desmobilizar	desmobilização
desmoronar	desmoronamento
desobedecer	desobediência
desorganizar	desorganização
desorientar	desorientação
desperdiçar	desperdício
desprezar	desprezo
dessalinizar	dessalinização
destilar	destilação
destruir	destruição
desumanizar	desumanização
desvalorizar	desvalorização
detectar	detecção
deteriorar	deterioração
detonar	detonação
devanear	devaneio
difamar	difamação
diferenciar	diferença
dilatar	dilatação
diminuir	diminuição
discordar	discórdia
discriminar	discriminação
discutir	discussão
disputar	disputa
dissecar	dissecção
disseminar	disseminação
dissimular	dissimulação
dissuadir	dissuasão
distorcer	distorção
distribuir	distribuição
diversificar	diversificação
divertir	diversão/divertimento/diversão
dividir	divisão
divorciar	divórcio
doar	doação
documentar	documentação/documento
doer	dor
dramatizar	dramatização
drenar	drenagem/dreno
edificar	edificação
educar	educação
ejacular	ejaculação
ejetar	ejeção
elaborar	elaboração
eleger	eleição
elevar	elevador/elevação
elogiar	elogio
elucidar	elucidação
emanar	emanação
emancipar	emancipação
embarcar	embarque
embelezar	embelezamento
emboscar	emboscada
emendar	emenda
emergir	emergência
emigrar	emigração
empatar	empate
empobrecer	empobrecimento
emprestar	empréstimo
empurrar	empurrão
encarcerar	encarceramento
encontrar	encontro
endossar	endosso
enganar	enganação
engatinhar	engatinhamento
enriquecer	enriquecimento
ensaiar	ensaio
ensinar	ensinamento/ensino
enterrar	enterro
entrar	entrada
entreter	entretenimento
entrevistar	entrevista
enumerar	enumeração
enviar	envio
envolver	envolvimento
equacionar	equação
equalizar	equalização
erodir	erosão
erradicar	erradicação
escalar	escalada
escandalizar	escândalo
escapar	escapada
esclarecer	esclarecimento
escolher	escolha
esculpir	escultura
esmagar	esmagamento
espalhar	espalhamento
especializar	especialização
especular	especulação
esperar	espera/esperança
espessar	espessamento
espreitar	espreita
estabelecer	estabelecimento
estabilizar	estabilização
estender	extensão
esterilizar	esterilização
estimar	estimativa
estrear	estreia
estudar	estudo
estuprar	estupro
evacuar	evacuação
evaporar	evaporação
evitar	evitação
evocar	evocação
evoluir	evolução
exacerbar	exacerbação
exagerar	exagero
examinar	examinação/exame
exasperar	exasperação
excitar	excitação
exclamar	exclamação
executar	execução
exercitar	exercício
exilar	exílio
expatriar	expatriação
expedir	expedição
experienciar	experiência
experimentar	experimento/experiência/experimento/experiência
expirar	expiração
explicar	explicação
explodir	explosão
explorar	exploração
expor	exposição
exportar	exportação
expressar	expressão
expropriar	expropriação
expulsar	expulsão
exteriorizar	exteriorização
extinguir	extinção
extorquir	extorsão
extraditar	extradição
extrapolar	extrapolação
exumar	exumação
fabricar	fabricação
facilitar	facilitação
falsificar	falsificação
familiarizar	familiarização
fecundar	fecundação
feder	fedor
felicitar	felicitação
ferir	ferimento
fertilizar	fertilização
fibrilar	fibrilação
finalizar	fim/finalização/fim/final
focalizar	focalização
formalizar	formalização
formar	formação
formular	formulação
fornecer	fornecimento
fortificar	fortificação
fragmentar	fragmentação
fraturar	fractura
frustrar	frustração
fugir	fuga
funcionar	função
fundar	fundação
fundir	fusão
gaguejar	gagueira
galvanizar	galvanização
garantir	garantia
gemer	gemido
generalizar	generalização
gerar	geração
gerir	gerência/gestão
germinar	germinação
gorjear	gorjeio
governar	governação/governo
granizar	granizo
guerrear	guerra
harmonizar	harmonização
herdar	herança
hesitar	hesitação
hospitalizar	hospitalização
humanizar	humanização
humilhar	humilhação
identificar	identificação
iludir	ilusão
iluminar	iluminamento/iluminação
imaginar	imaginação
imigrar	imigração
imitar	imitação
impor	imposição
importar	importação
impulsionar	impulsão
imputar	imputação
inalar	inalação
inaugurar	inauguração
inchar	inchaço
incinerar	incineração
incluir	inclusão
incorporar	incorporação
indispor	indisposição
induzir	indução
infectar	infecção
inferir	inferência
inflamar	inflamação
infringir	infracção/infração
iniciar	início
injetar	injeção
inscrever	inscrição
inserir	inserção
insinuar	insinuação
inspecionar	inspecção/inspeção
inspirar	inspiração
instalar	instalação
instruir	instrução
insultar	insulto
insurgir	insurreição
integrar	integração
intensificar	intensificação
interagir	interação
interessar	interesse
interferir	interferência
interpolar	interpolação
interpretar	interpretação
interrogar	interrogação/interrogatório/interrogação
interromper	interrupção
intimidar	intimidação
introduzir	introdução
inundar	inundação
invadir	invasão
inventar	invenção
inverter	inversão
investigar	investigação
investir	investimento
invocar	invocação
irradiar	irradiação
irritar	irritação
jogar	jogo
julgar	juiz/julgamento/julgador
juntar	junção
justificar	justificativa/justificação
lançar	lançamento
legalizar	legalização
legendar	legenda
legislar	legislação
leiloar	leilão
levantar	levantamento
limitar	limitação
localizar	localização
louvar	louvor
lutar	luta
magoar	mágoa
manejar	manejo
manifestar	manifestação
manipular	manipulação
marchar	marcha
massacrar	massacre
mastigar	mastigação
masturbar	masturbação
matricular	matrícula
mediar	mediação
medir	medição/medida
meditar	meditação
melhorar	melhoramento/melhoria
menstruar	menstruação
mensurar	mensuração
mentir	mentira
migrar	migração
minimizar	minimização
misturar	mistura
mobilizar	mobilização
modernizar	modernização
modificar	modificação
monopolizar	monopolização
morrer	morte
mover	movimento
mudar	mutação/troca/mudança
multar	multa
multiplicar	multiplicação
mutilar	mutilação
nacionalizar	nacionalização
nadar	nadada/natação
narrar	narração
navegar	navegação
negar	negação
negociar	negociação
neutralizar	neutralização
nevar	nevada
nomear	nomeação
notificar	notificação
nutrir	nutrição
obedecer	obediência
observar	observância/observação
obstruir	obstrução
obter	obtenção
ocupar	ocupação
ofender	ofensa
oferecer	oferecimento
olhar	olhadela/olhada
operar	operação
opinar	opinião
oprimir	opressão
optimizar	optimização
orar	oração
ordenar	ordem/ordenação/ordem
organizar	organização
ornar	ornamento
orquestrar	orquestração
ostentar	ostentamento
otimizar	otimização
oxidar	oxidação
padronizar	padronização
pagar	pagamento
paginar	paginação
parabenizar	parabéns
parafrasear	paráfrase
participar	participação
partir	partida
passear	passeio
pasteurizar	pasteurização
pedir	pedido
penalizar	penalização
pensar	pensamento
perceber	percepção
perder	perda
perdoar	perdão
peregrinar	peregrinação
perfurar	perfuração
perguntar	pergunta
permanecer	permanência
permitir	permissão
perseguir	perseguição
perseverar	perseverança
persistir	persistência
personificar	personificação
persuadir	persuasão
pesquisar	pesquisa
piar	pio
