abster	abstenção/abstinência
abundar	abundância
alcançar	alcance
alinhar	alinhamento
atrair	atração/atração
comparar	comparação/comparação
compreender	compreensão
contrapor	contraposição
contrastar	contraste/contraste
custar	custo
deliberar	deliberação/deliberação
desconfiar	desconfiança
desdenhar	desdém
desperdiçar	desperdício/desperdício
desprezar	desprezo/desprezo
diferenciar	diferença
difundir	difusão
disseminar	disseminação
flutuar	flutuação
inclinar	inclinação
limitar	limitação/limitação/limitação/limitação/limite/limite
lucrar	lucro
merecer	merecimento
mudar	mudança/mudança
negligenciar	negligência
obedecer	obediência
polir	polimento/polimento/polimento
posicionar	posição
preferir	preferência
resolver	resolução
respeitar	respeito/respeito

