acumular	acúmulo
agrupar	grupo
cheirar	cheiro
comentar	comentário
compor	composição
configurar	configuração
contornar	contorno
copiar	cópia
criar	criação
curvar	curva
declarar	declaração
delegar	delegação
editar	edição
elevar	elevação
experienciar	experiência
experimentar	experiência
fermentar	fermentação
filmar	filme
influenciar	influência
influir	influência
instalar	instalação
instruir	instrução
julgar	julgamento
ordenar	ordem
organizar	organização
planejar	plano
programar	programação/programa
publicar	publicação
representar	representação
responder	resposta
segmentar	segmento
sindicar	sindicato
somar	soma
tingir	tintura
trabalhar	trabalho
transferir	transferência
variar	variante
