abominar	abominação
abreviar	abreviação/abreviatura
aceitar	aceitação
acentuar	acentuação
acompanhar	acompanhamento
acumular	acúmulo
adulterar	adulteração
agrupar	grupo
aliviar	alívio
anotar	anotação
anunciar	anúncio
atrasar	atraso
bifurcar	bifurcação
caricaturar	caricatura
catalogar	catalogação
categorizar	categorização
cheirar	cheiro
civilizar	civilização
classificar	classificação
comentar	comentário
compor	composição
concentrar	concentração
configurar	configuração
confundir	confusão
consolar	consolo
conspirar	conspiração
contar	conta
contornar	contorno
convocar	convocação
copiar	cópia
criar	criação
curvar	curva
custar	custo
decidir	decisão
declarar	declaração
definir	definição
delegar	delegação
descobrir	descoberta
desidratar	desidratação
destilar	destilado/destilação
determinar	determinação
doer	dor
editar	edição
educar	educação
elevar	elevação
enumerar	enumeração
equilibrar	equilíbrio
esculpir	escultura
experienciar	experiência
experimentar	experiência
falsear	falsidade
falsificar	falsificação
fermentar	fermentação
filmar	filme
formatar	formatação
generalizar	generalização
imprimir	impressão
influenciar	influência
influir	influência
inovar	inovação
instalar	instalação
instruir	instrução
julgar	julgamento
lascar	lasca
limitar	limitação
morder	mordedura/mordida
mudar	mudança
multar	multa
observar	observação
omitir	omissão
ordenar	ordem
organizar	organização
orçar	orçamento
perfurar	perfuração
picar	picada
planejar	plano
presumir	presunção
programar	programação/programa
publicar	publicação
questionar	questão
realizar	realização
refinar	refinamento
registrar	registro
render	rendimento
representar	representação
resgatar	resgate
resolver	resolução
responder	resposta
resumir	resumo
retratar	retrato
satisfazer	satisfação
segmentar	segmento
sincronizar	sincronização
sindicar	sindicato
somar	soma
suar	suor
tentar	tentativa
tingir	tintura
titular	titulação
trabalhar	trabalho
transferir	transferência
transpirar	transpiração
vacinar	vacinação
variar	variante
visualizar	visualização
