abominar	abominação
admirar	admiração/admiração
agitar	agitação
alegrar	alegria
alienar	alienação
aliviar	alívio
amputar	amputação
assimilar	assimilação
atrair	atração
banir	banimento
compreender	compreensão
conceder	concessão/concessão
conectar	conexão
confundir	confusão/confusão
conhecer	conhecimento
consolar	consolo
contaminar	contaminação/contaminação/contaminação
contentar	contentamento/contentamento
corroer	corrosão
decepcionar	decepção
degenerar	degeneração
desanimar	desânimo
desapontar	desapontamento
desaprovar	desaprovação
desejar	desejo
desencantar	desencantamento
desgraçar	desgraça
desiludir	desilusão
desonrar	desonra/desonra
desprezar	desprezo
duvidar	dúvida/dúvida
embriagar	embriaguez
encapsular	encapsulamento
equilibrar	equilíbrio
erodir	erosão
espantar	espanto
esperar	esperança/esperança
exasperar	exasperação/exasperação
excitar	excitamento/excitação
existir	existência
faltar	falta
fascinar	fascinação
fragmentar	fragmentação
frustrar	frustração/frustração
fundir	fusão
humilhar	humilhação
ignorar	ignorância
incentivar	incentivo
infectar	infecção
intimidar	intimidação
intoxicar	intoxicação
irritar	irritação
isolar	isolamento/isolação/isolamento
magoar	mágoa
necessitar	necessidade
numerar	número
obrigar	obrigação
ornamentar	ornamentação
participar	participação
poluir	poluição/poluição
predominar	predominância
preocupar	preocupação/preocupação
preparar	preparação
privar	privação/privação
rebaixar	rebaixe/rebaixe
reconhecer	reconhecimento/reconhecimento
refinar	refinamento
renovar	renovação/renovação
respeitar	respeito/respeito
ressentir	ressentimento
restaurar	restauração/restauração
satisfazer	satisfação
sobreviver	sobrevivência/sobrevivência/sobrevivência
surpreender	surpresa
suspeitar	suspeita

