adquirir	aquisição
alocar	alocação
apostar	aposta
autorizar	autorização
beber	bebida/bebida
cheirar	cheiro
classificar	classificação
cobrir	cobertura
colher	colheita
comissionar	comissão
compensar	compensação
comprar	compra
comunicar	comunicação
convidar	convidado
desejar	desejo
embrulhar	embrulhador
escolher	escolha
esperar	esperança
exibir	exibição
expor	exposição
ganhar	ganho
influenciar	influência/influência/influência
influir	influência/influência/influência
lacrimejar	lágrima
ler	leitura
medir	medida
necessitar	necessidade/necessidade
pagar	pagamento
recomendar	recomendação
significar	significação/significação/significado/significado/significado
subir	subida
subornar	suborno
substituir	substituto
ver	visão

