abstrair	abstracção
acumular	acúmulo
amar	amante
aspirar	aspiração
beber	bebida
bombear	bomba
cheirar	cheiro
cobrir	cobertura
colher	colheita
comissionar	comissão
compensar	compensação
comunicar	comunicação
considerar	consideração
decretar	decreto
empregar	empregado
escolher	escolha
esperar	esperança
exibir	exibição
experimentar	experiência
expor	exposição
exportar	exportação
garantir	garantia
importar	importação
influenciar	influência
influir	influência
mudar	mutação
numerar	número
ordenar	ordem
pagar	pagamento
remunerar	remuneração
significar	significação/significado
