acumular	acúmulo
alocar	alocação
amar	amante
anotar	anotação
apostar	aposta
aspirar	aspiração
atrair	atração
beber	bebida
bombear	bomba
caçoar	caçoada
cheirar	cheiro
citar	citação
colher	colheita
comissionar	comissão
comunicar	comunicação
considerar	consideração
convidar	convidado
decretar	decreto
desculpar	desculpa
desenhar	desenho
destacar	destaque
empregar	empregado
exibir	exibição
expor	exposição
ganhar	ganho
garantir	garantia
hipotecar	hipoteca
importar	importação
influenciar	influência
influir	influência
lacrimejar	lágrima
mencionar	menção
mentir	mentira
necessitar	necessidade
numerar	número
roubar	roubo
saquear	saque
significar	significação/significado
suar	suor
transpirar	transpiração
