abstrair	abstracção
acumular	acúmulo
adquirir	aquisição
alocar	alocação
amar	amante
anotar	anotação
apostar	aposta
aspirar	aspiração/aspiração
atrair	atração
autorizar	autorização
babar	baba
beber	bebida/bebida
bombear	bomba
cantar	canto
caçoar	caçoada
cheirar	cheiro
citar	citação/citação/citação/citação/citação/citação
classificar	classificação
cobrir	cobertura
colher	colheita
comissionar	comissão
compensar	compensação/compensação/compensação/compensação
compilar	compilação
comprar	compra
comunicar	comunicação
condenar	condenado
conotar	conotação
considerar	consideração/consideração
convidar	convidado
decretar	decreto
desculpar	desculpa
desejar	desejo/desejo/desejo
desenhar	desenho
destacar	destaque
embrulhar	embrulhador
empregar	empregado
escolher	escolha
esperar	esperança/esperança
exibir	exibição
experimentar	experiência
expor	exposição
exportar	exportação
faturar	fatura
ganhar	ganho
garantir	garantia/garantia
hipotecar	hipoteca
implantar	implantação
importar	importação
influenciar	influência/influência/influência
influir	influência/influência/influência
lacrimejar	lágrima
ler	leitura
medir	medida
mencionar	menção
mentir	mentira
mudar	mutação
multiplicar	multiplicador
necessitar	necessidade/necessidade
numerar	número/número/número
ordenar	ordem
pagar	pagamento
prescrever	prescrição
recomendar	recomendação
recorrer	recurso
reembolsar	reembolso/reembolso
rejeitar	rejeição
remunerar	remuneração
roubar	roubo/roubo
saquear	saque/saque
significar	significação/significação/significação/significado/significado/significado/significado
suar	suor
subir	subida
subornar	suborno
substituir	substituto
torturar	tortura
transpirar	transpiração
ver	visão

