abastecer	abastecimento
abrigar	abrigo
acentuar	acentuação
alimentar	alimento/alimentação/alimento
anotar	anotação
aprovar	aprovação
armar	arma
augurar	augúrio
brilhar	brilho
cobrir	cobertura
comemorar	comemoração
condenar	condenação
consolar	consolo
divertir	diversão/divertimento
documentar	documentação
doer	dor
dotar	dotação
encontrar	encontro
entreter	entretenimento
equipar	equipamento
estruturar	estrutura
fornecer	fornecimento
identificar	identificação
ilustrar	ilustração
informar	informação
interpretar	interpretação
listar	lista
manter	manutenção
multar	multa
nomear	nome
notificar	notificação
numerar	número
nutrir	nutrição
patentear	patente
perdoar	perdão
picar	picada
pintar	pintura
prognosticar	prognóstico
provar	prova
prover	provisão
resumir	resumo
sancionar	sanção
taxar	taxa
temperar	tempero
testemunhar	testemunho/testemunha
vestir	vestuário
